Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
dermamnist,224,BioMedCLIP,concat,0,1,0.7996,0.9429,0.7995,0.9481,4.63,0.10
dermamnist,224,PubMedCLIP,concat,0,1,0.8106,0.9422,0.7915,0.9383,4.56,0.07
dermamnist,224,CONCH,concat,0,1,0.7956,0.9399,0.7855,0.9447,4.61,0.07
dermamnist,224,rad-dino,concat,0,1,0.7507,0.9069,0.7516,0.9124,5.65,0.08
dermamnist,224,UNI,concat,0,1,0.8245,0.9558,0.8214,0.9519,6.46,0.09
dermamnist,224,Prov-GigaPath,concat,0,1,0.8325,0.9558,0.8209,0.9559,8.23,0.10
dermamnist,224,Hibou-B,concat,0,1,0.8225,0.9588,0.8239,0.9593,5.28,0.08
dermamnist,224,CheXagent,concat,0,1,0.8674,0.9690,0.8364,0.9601,7.77,0.10
dermamnist,224,UNI2,concat,0,1,0.8285,0.9551,0.8155,0.9490,8.21,0.10
dermamnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.8126,0.9537,0.8140,0.9523,6.31,0.09
dermamnist,224,"BioMedCLIP,CONCH",concat,0,1,0.8195,0.9597,0.8244,0.9606,6.26,0.09
dermamnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.8086,0.9525,0.8065,0.9523,7.29,0.09
dermamnist,224,"BioMedCLIP,UNI",concat,0,1,0.8375,0.9622,0.8269,0.9623,8.08,0.10
dermamnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.8385,0.9579,0.8294,0.9636,10.00,0.12
dermamnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.8395,0.9649,0.8239,0.9611,7.20,0.10
dermamnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.8674,0.9704,0.8524,0.9647,9.40,0.12
dermamnist,224,"BioMedCLIP,UNI2",concat,0,1,0.8405,0.9623,0.8289,0.9600,10.07,0.13
dermamnist,224,"PubMedCLIP,CONCH",concat,0,1,0.8166,0.9565,0.8025,0.9519,6.40,0.09
dermamnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.7956,0.9443,0.7980,0.9410,7.30,0.09
dermamnist,224,"PubMedCLIP,UNI",concat,0,1,0.8315,0.9553,0.8274,0.9549,8.33,0.10
dermamnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.8325,0.9592,0.8329,0.9629,10.10,0.13
dermamnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.8355,0.9600,0.8244,0.9601,7.23,0.09
dermamnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.8554,0.9666,0.8434,0.9617,9.48,0.11
dermamnist,224,"PubMedCLIP,UNI2",concat,0,1,0.8415,0.9585,0.8209,0.9530,10.06,0.11
dermamnist,224,"CONCH,rad-dino",concat,0,1,0.7827,0.9475,0.8010,0.9526,7.32,0.09
dermamnist,224,"CONCH,UNI",concat,0,1,0.8355,0.9570,0.8259,0.9592,8.28,0.10
dermamnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.8375,0.9591,0.8269,0.9619,10.07,0.12
dermamnist,224,"CONCH,Hibou-B",concat,0,1,0.8325,0.9645,0.8294,0.9628,7.29,0.10
dermamnist,224,"CONCH,CheXagent",concat,0,1,0.8614,0.9675,0.8369,0.9632,9.45,0.12
dermamnist,224,"CONCH,UNI2",concat,0,1,0.8325,0.9585,0.8200,0.9561,10.12,0.11
dermamnist,224,"rad-dino,UNI",concat,0,1,0.8166,0.9557,0.8229,0.9562,9.20,0.12
dermamnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.8265,0.9534,0.8234,0.9551,11.16,0.14
dermamnist,224,"rad-dino,Hibou-B",concat,0,1,0.8195,0.9605,0.8204,0.9591,8.28,0.10
dermamnist,224,"rad-dino,CheXagent",concat,0,1,0.8554,0.9677,0.8419,0.9627,10.46,0.13
dermamnist,224,"rad-dino,UNI2",concat,0,1,0.8355,0.9584,0.8145,0.9522,11.07,0.13
dermamnist,224,"UNI,Prov-GigaPath",concat,0,1,0.8315,0.9650,0.8344,0.9623,11.92,0.15
dermamnist,224,"UNI,CheXagent",concat,0,1,0.8694,0.9660,0.8514,0.9637,11.39,0.14
dermamnist,224,"UNI,UNI2",concat,0,1,0.8385,0.9574,0.8284,0.9540,11.95,0.15
dermamnist,224,"Prov-GigaPath,Hibou-B",concat,0,1,0.8475,0.9646,0.8419,0.9637,10.91,0.12
dermamnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.8504,0.9706,0.8434,0.9649,13.19,0.16
dermamnist,224,"Prov-GigaPath,UNI2",concat,0,1,0.8455,0.9619,0.8309,0.9622,13.96,0.16
dermamnist,224,"Hibou-B,CheXagent",concat,0,1,0.8684,0.9717,0.8464,0.9672,10.42,0.13
dermamnist,224,"Hibou-B,UNI2",concat,0,1,0.8495,0.9608,0.8349,0.9599,11.00,0.13
dermamnist,224,"CheXagent,UNI2",concat,0,1,0.8694,0.9699,0.8464,0.9637,13.30,0.16
dermamnist,224,"BioMedCLIP,PubMedCLIP,CONCH",concat,0,1,0.8295,0.9560,0.8339,0.9618,8.19,0.11
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.8175,0.9555,0.8155,0.9555,9.10,0.12
dermamnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.8345,0.9582,0.8344,0.9611,10.06,0.13
dermamnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.8425,0.9606,0.8414,0.9664,11.79,0.14
dermamnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.8644,0.9676,0.8554,0.9669,11.15,0.13
dermamnist,224,"BioMedCLIP,PubMedCLIP,UNI2",concat,0,1,0.8524,0.9643,0.8319,0.9613,11.78,0.14
dermamnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.8166,0.9562,0.8175,0.9586,9.04,0.11
dermamnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.8435,0.9623,0.8349,0.9638,9.99,0.13
dermamnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.8365,0.9610,0.8379,0.9680,11.81,0.15
dermamnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.8415,0.9656,0.8354,0.9648,9.04,0.12
dermamnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.8714,0.9715,0.8499,0.9652,11.29,0.14
dermamnist,224,"BioMedCLIP,CONCH,UNI2",concat,0,1,0.8445,0.9663,0.8349,0.9624,11.71,0.13
dermamnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.8465,0.9616,0.8304,0.9622,10.97,0.14
dermamnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.8365,0.9616,0.8364,0.9644,12.85,0.15
dermamnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.8465,0.9646,0.8259,0.9632,10.09,0.13
dermamnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.8594,0.9696,0.8499,0.9649,12.23,0.15
dermamnist,224,"BioMedCLIP,rad-dino,UNI2",concat,0,1,0.8554,0.9635,0.8229,0.9579,12.80,0.16
dermamnist,224,"BioMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.8395,0.9678,0.8434,0.9682,13.78,0.16
dermamnist,224,"BioMedCLIP,UNI,Hibou-B",concat,0,1,0.8534,0.9654,0.8389,0.9652,10.93,0.13
dermamnist,224,"BioMedCLIP,UNI,CheXagent",concat,0,1,0.8724,0.9712,0.8504,0.9683,13.23,0.16
dermamnist,224,"BioMedCLIP,UNI,UNI2",concat,0,1,0.8425,0.9650,0.8289,0.9621,13.81,0.15
dermamnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",concat,0,1,0.8445,0.9683,0.8394,0.9692,12.87,0.15
dermamnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.8664,0.9728,0.8519,0.9694,15.03,0.18
dermamnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",concat,0,1,0.8554,0.9648,0.8414,0.9689,15.72,0.18
dermamnist,224,"BioMedCLIP,Hibou-B,CheXagent",concat,0,1,0.8784,0.9732,0.8499,0.9688,12.31,0.15
dermamnist,224,"BioMedCLIP,Hibou-B,UNI2",concat,0,1,0.8375,0.9656,0.8324,0.9625,12.89,0.13
dermamnist,224,"BioMedCLIP,CheXagent,UNI2",concat,0,1,0.8734,0.9725,0.8529,0.9681,15.11,0.18
dermamnist,224,"PubMedCLIP,CONCH,rad-dino",concat,0,1,0.8096,0.9573,0.8065,0.9554,9.20,0.11
dermamnist,224,"PubMedCLIP,CONCH,UNI",concat,0,1,0.8375,0.9590,0.8289,0.9591,10.12,0.11
dermamnist,224,"PubMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.8345,0.9609,0.8299,0.9620,11.95,0.14
dermamnist,224,"PubMedCLIP,CONCH,Hibou-B",concat,0,1,0.8325,0.9659,0.8284,0.9611,9.20,0.12
dermamnist,224,"PubMedCLIP,CONCH,CheXagent",concat,0,1,0.8584,0.9663,0.8464,0.9639,11.40,0.14
dermamnist,224,"PubMedCLIP,CONCH,UNI2",concat,0,1,0.8425,0.9616,0.8254,0.9565,12.05,0.15
dermamnist,224,"PubMedCLIP,rad-dino,UNI",concat,0,1,0.8265,0.9554,0.8264,0.9563,11.07,0.12
dermamnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.8325,0.9585,0.8264,0.9595,13.04,0.16
dermamnist,224,"PubMedCLIP,rad-dino,Hibou-B",concat,0,1,0.8275,0.9614,0.8254,0.9609,10.20,0.11
dermamnist,224,"PubMedCLIP,rad-dino,CheXagent",concat,0,1,0.8524,0.9665,0.8414,0.9638,12.45,0.15
dermamnist,224,"PubMedCLIP,rad-dino,UNI2",concat,0,1,0.8415,0.9616,0.8269,0.9557,13.05,0.15
dermamnist,224,"PubMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.8405,0.9639,0.8369,0.9653,13.79,0.17
dermamnist,224,"PubMedCLIP,UNI,Hibou-B",concat,0,1,0.8415,0.9644,0.8354,0.9612,11.06,0.14
dermamnist,224,"PubMedCLIP,UNI,CheXagent",concat,0,1,0.8644,0.9669,0.8484,0.9627,13.23,0.16
dermamnist,224,"PubMedCLIP,UNI,UNI2",concat,0,1,0.8485,0.9574,0.8339,0.9579,13.95,0.16
dermamnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B",concat,0,1,0.8475,0.9677,0.8409,0.9671,13.01,0.15
dermamnist,224,"PubMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.8514,0.9691,0.8484,0.9660,15.12,0.18
dermamnist,224,"PubMedCLIP,Prov-GigaPath,UNI2",concat,0,1,0.8385,0.9620,0.8369,0.9643,15.74,0.17
dermamnist,224,"PubMedCLIP,Hibou-B,CheXagent",concat,0,1,0.8644,0.9681,0.8474,0.9671,12.42,0.15
dermamnist,224,"PubMedCLIP,Hibou-B,UNI2",concat,0,1,0.8534,0.9643,0.8369,0.9616,13.02,0.15
dermamnist,224,"PubMedCLIP,CheXagent,UNI2",concat,0,1,0.8694,0.9707,0.8384,0.9658,15.10,0.17
dermamnist,224,"CONCH,rad-dino,UNI",concat,0,1,0.8445,0.9595,0.8274,0.9607,11.18,0.14
dermamnist,224,"CONCH,rad-dino,Prov-GigaPath",concat,0,1,0.8255,0.9594,0.8324,0.9631,12.94,0.15
dermamnist,224,"CONCH,rad-dino,Hibou-B",concat,0,1,0.8315,0.9642,0.8284,0.9640,10.21,0.13
dermamnist,224,"CONCH,rad-dino,CheXagent",concat,0,1,0.8634,0.9680,0.8359,0.9642,12.36,0.13
dermamnist,224,"CONCH,rad-dino,UNI2",concat,0,1,0.8415,0.9614,0.8244,0.9575,12.99,0.15
dermamnist,224,"CONCH,UNI,Prov-GigaPath",concat,0,1,0.8475,0.9671,0.8379,0.9650,13.91,0.17
dermamnist,224,"CONCH,UNI,Hibou-B",concat,0,1,0.8445,0.9645,0.8379,0.9636,11.14,0.12
dermamnist,224,"CONCH,UNI,CheXagent",concat,0,1,0.8694,0.9692,0.8464,0.9650,13.29,0.16
dermamnist,224,"CONCH,UNI,UNI2",concat,0,1,0.8395,0.9608,0.8369,0.9595,14.05,0.16
dermamnist,224,"CONCH,Prov-GigaPath,Hibou-B",concat,0,1,0.8475,0.9675,0.8344,0.9657,12.98,0.15
dermamnist,224,"CONCH,Prov-GigaPath,CheXagent",concat,0,1,0.8524,0.9710,0.8489,0.9662,15.12,0.18
dermamnist,224,"CONCH,Prov-GigaPath,UNI2",concat,0,1,0.8475,0.9663,0.8339,0.9654,15.79,0.19
dermamnist,224,"CONCH,Hibou-B,CheXagent",concat,0,1,0.8694,0.9739,0.8459,0.9674,12.43,0.15
dermamnist,224,"CONCH,Hibou-B,UNI2",concat,0,1,0.8465,0.9655,0.8324,0.9614,12.97,0.15
dermamnist,224,"CONCH,CheXagent,UNI2",concat,0,1,0.8724,0.9677,0.8424,0.9658,15.13,0.18
dermamnist,224,"rad-dino,UNI,Prov-GigaPath",concat,0,1,0.8345,0.9634,0.8349,0.9629,14.98,0.17
dermamnist,224,"rad-dino,UNI,Hibou-B",concat,0,1,0.8375,0.9628,0.8314,0.9625,12.22,0.14
dermamnist,224,"rad-dino,UNI,CheXagent",concat,0,1,0.8654,0.9674,0.8449,0.9639,14.29,0.16
dermamnist,224,"rad-dino,UNI,UNI2",concat,0,1,0.8425,0.9599,0.8259,0.9584,15.02,0.16
dermamnist,224,"rad-dino,Prov-GigaPath,Hibou-B",concat,0,1,0.8495,0.9649,0.8414,0.9648,14.08,0.17
dermamnist,224,"rad-dino,Prov-GigaPath,CheXagent",concat,0,1,0.8504,0.9715,0.8499,0.9660,16.28,0.18
dermamnist,224,"rad-dino,Prov-GigaPath,UNI2",concat,0,1,0.8435,0.9626,0.8259,0.9637,16.88,0.18
dermamnist,224,"rad-dino,Hibou-B,CheXagent",concat,0,1,0.8684,0.9694,0.8449,0.9661,13.52,0.16
dermamnist,224,"rad-dino,Hibou-B,UNI2",concat,0,1,0.8435,0.9648,0.8284,0.9594,14.09,0.16
dermamnist,224,"rad-dino,CheXagent,UNI2",concat,0,1,0.8694,0.9693,0.8409,0.9635,16.30,0.20
dermamnist,224,"UNI,Prov-GigaPath,Hibou-B",concat,0,1,0.8405,0.9686,0.8434,0.9668,14.97,0.18
dermamnist,224,"UNI,Prov-GigaPath,CheXagent",concat,0,1,0.8604,0.9724,0.8544,0.9691,17.27,0.18
dermamnist,224,"UNI,Prov-GigaPath,UNI2",concat,0,1,0.8435,0.9638,0.8354,0.9650,17.76,0.19
dermamnist,224,"UNI,Hibou-B,CheXagent",concat,0,1,0.8714,0.9683,0.8509,0.9648,14.43,0.17
dermamnist,224,"UNI,Hibou-B,UNI2",concat,0,1,0.8465,0.9632,0.8344,0.9606,15.00,0.17
dermamnist,224,"Prov-GigaPath,Hibou-B,CheXagent",concat,0,1,0.8724,0.9758,0.8519,0.9691,16.11,0.17
dermamnist,224,"Prov-GigaPath,Hibou-B,UNI2",concat,0,1,0.8524,0.9670,0.8419,0.9679,16.68,0.18
dermamnist,224,"Prov-GigaPath,CheXagent,UNI2",concat,0,1,0.8604,0.9726,0.8494,0.9655,19.04,0.20
dermamnist,224,"Hibou-B,CheXagent,UNI2",concat,0,1,0.8734,0.9718,0.8484,0.9657,16.24,0.17
dermamnist,224,"BioMedCLIP,PubMedCLIP,CONCH,rad-dino",concat,0,1,0.8295,0.9577,0.8259,0.9612,10.91,0.14
