Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
octmnist,224,BioMedCLIP,concat,0,1,0.9230,0.9782,0.7670,0.9728,15.99,0.29
octmnist,224,PubMedCLIP,concat,0,1,0.9306,0.9829,0.7640,0.9819,15.74,0.25
octmnist,224,CONCH,concat,0,1,0.9131,0.9758,0.6990,0.9587,15.95,0.22
octmnist,224,rad-dino,concat,0,1,0.9298,0.9820,0.6860,0.9675,22.86,0.35
octmnist,224,UNI,concat,0,1,0.9406,0.9874,0.7560,0.9817,29.62,0.44
octmnist,224,Prov-GigaPath,concat,0,1,0.9386,0.9875,0.7920,0.9903,45.25,0.58
octmnist,224,Hibou-B,concat,0,1,0.9255,0.9800,0.6810,0.9748,22.84,0.35
octmnist,224,CheXagent,concat,0,1,0.9459,0.9900,0.6980,0.9673,40.50,0.55
octmnist,224,UNI2,concat,0,1,0.9395,0.9868,0.8120,0.9830,43.96,0.61
octmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.9393,0.9864,0.7970,0.9846,29.55,0.44
octmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.9344,0.9848,0.7460,0.9773,29.42,0.43
octmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.9405,0.9862,0.7570,0.9827,37.18,0.53
octmnist,224,"BioMedCLIP,UNI",concat,0,1,0.9439,0.9890,0.7870,0.9867,44.45,0.62
octmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.9465,0.9894,0.7980,0.9912,58.37,0.84
octmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.9377,0.9854,0.7390,0.9804,36.51,0.51
octmnist,224,"BioMedCLIP,UNI2",concat,0,1,0.9460,0.9884,0.7990,0.9856,57.69,0.82
octmnist,224,"PubMedCLIP,CONCH",concat,0,1,0.9383,0.9872,0.7920,0.9823,29.47,0.43
octmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.9416,0.9877,0.7770,0.9833,36.68,0.54
octmnist,224,"PubMedCLIP,UNI",concat,0,1,0.9459,0.9899,0.8030,0.9890,43.60,0.57
octmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.9495,0.9911,0.8080,0.9944,58.20,0.79
octmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.9382,0.9868,0.7720,0.9872,36.42,0.52
octmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.9503,0.9916,0.7260,0.9820,54.16,0.75
octmnist,224,"PubMedCLIP,UNI2",concat,0,1,0.9453,0.9889,0.8200,0.9869,57.58,0.76
octmnist,224,"CONCH,rad-dino",concat,0,1,0.9361,0.9869,0.7460,0.9778,36.49,0.53
octmnist,224,"CONCH,UNI",concat,0,1,0.9414,0.9890,0.7760,0.9825,44.31,0.59
octmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.9461,0.9898,0.7900,0.9894,58.28,0.79
octmnist,224,"CONCH,Hibou-B",concat,0,1,0.9352,0.9851,0.7430,0.9789,36.41,0.52
octmnist,224,"CONCH,CheXagent",concat,0,1,0.9483,0.9905,0.7100,0.9722,54.59,0.78
octmnist,224,"CONCH,UNI2",concat,0,1,0.9403,0.9878,0.7970,0.9823,58.27,0.82
octmnist,224,"rad-dino,UNI",concat,0,1,0.9423,0.9894,0.7830,0.9838,51.23,0.73
octmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.9473,0.9906,0.7860,0.9904,66.33,0.92
octmnist,224,"rad-dino,Hibou-B",concat,0,1,0.9417,0.9865,0.7330,0.9815,43.51,0.64
octmnist,224,"rad-dino,CheXagent",concat,0,1,0.9518,0.9911,0.7240,0.9771,62.11,0.77
octmnist,224,"rad-dino,UNI2",concat,0,1,0.9471,0.9894,0.7930,0.9826,65.76,0.85
octmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.9521,0.9912,0.8080,0.9920,73.12,0.87
octmnist,224,"UNI,Hibou-B",concat,0,1,0.9424,0.9882,0.7780,0.9852,51.29,0.67
octmnist,224,"UNI,CheXagent",concat,0,1,0.9533,0.9920,0.7440,0.9841,68.42,0.97
octmnist,224,"UNI,UNI2",concat,0,1,0.9461,0.9894,0.8300,0.9869,72.47,0.97
octmnist,224,"Prov-GigaPath,Hibou-B",concat,0,1,0.9476,0.9900,0.7610,0.9905,64.98,0.81
octmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.9544,0.9922,0.7650,0.9864,83.65,1.06
octmnist,224,"Prov-GigaPath,UNI2",concat,0,1,0.9496,0.9905,0.8330,0.9921,87.64,1.14
octmnist,224,"Hibou-B,CheXagent",concat,0,1,0.9503,0.9908,0.7030,0.9771,61.33,0.82
octmnist,224,"Hibou-B,UNI2",concat,0,1,0.9425,0.9883,0.7940,0.9894,65.18,0.80
octmnist,224,"CheXagent,UNI2",concat,0,1,0.9513,0.9914,0.7710,0.9829,83.35,1.15
octmnist,224,"BioMedCLIP,PubMedCLIP,CONCH",concat,0,1,0.9446,0.9885,0.7970,0.9858,43.08,0.63
octmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.9457,0.9891,0.7940,0.9873,50.78,0.72
octmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.9483,0.9903,0.8140,0.9905,57.94,0.79
octmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.9521,0.9914,0.8100,0.9941,71.76,1.02
octmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.9524,0.9919,0.7470,0.9835,68.32,0.91
octmnist,224,"BioMedCLIP,PubMedCLIP,UNI2",concat,0,1,0.9493,0.9901,0.8190,0.9884,72.49,0.88
octmnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.9441,0.9883,0.7610,0.9844,50.39,0.75
octmnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.9462,0.9896,0.7820,0.9869,57.97,0.84
octmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.9511,0.9903,0.7960,0.9916,73.00,1.02
octmnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.9410,0.9879,0.7570,0.9848,50.23,0.68
octmnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.9532,0.9913,0.7230,0.9788,68.32,0.91
octmnist,224,"BioMedCLIP,CONCH,UNI2",concat,0,1,0.9473,0.9892,0.8010,0.9858,72.22,1.03
octmnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.9465,0.9903,0.8230,0.9893,64.39,1.00
octmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.9526,0.9912,0.7980,0.9918,79.19,1.19
octmnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.9455,0.9882,0.7580,0.9847,58.28,0.90
octmnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.9525,0.9917,0.7220,0.9812,75.45,1.12
octmnist,224,"BioMedCLIP,rad-dino,UNI2",concat,0,1,0.9505,0.9901,0.7850,0.9855,79.05,1.12
octmnist,224,"BioMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.9535,0.9911,0.8050,0.9941,85.99,1.03
octmnist,224,"BioMedCLIP,UNI,Hibou-B",concat,0,1,0.9474,0.9893,0.7940,0.9889,65.32,0.85
octmnist,224,"BioMedCLIP,UNI,CheXagent",concat,0,1,0.9537,0.9923,0.7680,0.9882,82.86,1.01
octmnist,224,"BioMedCLIP,UNI,UNI2",concat,0,1,0.9481,0.9901,0.8250,0.9884,85.59,1.04
octmnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",concat,0,1,0.9517,0.9904,0.7930,0.9923,79.39,0.98
octmnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.9545,0.9923,0.7610,0.9883,96.71,1.38
octmnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",concat,0,1,0.9515,0.9907,0.8290,0.9912,101.39,1.27
octmnist,224,"BioMedCLIP,Hibou-B,CheXagent",concat,0,1,0.9508,0.9910,0.7160,0.9807,75.22,0.99
octmnist,224,"BioMedCLIP,Hibou-B,UNI2",concat,0,1,0.9488,0.9892,0.7890,0.9867,78.35,0.98
octmnist,224,"BioMedCLIP,CheXagent,UNI2",concat,0,1,0.9548,0.9918,0.7640,0.9825,96.61,1.47
octmnist,224,"PubMedCLIP,CONCH,rad-dino",concat,0,1,0.9430,0.9895,0.8000,0.9857,50.00,0.72
octmnist,224,"PubMedCLIP,CONCH,UNI",concat,0,1,0.9462,0.9904,0.8030,0.9889,57.42,0.76
octmnist,224,"PubMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.9504,0.9915,0.8100,0.9939,72.55,0.98
octmnist,224,"PubMedCLIP,CONCH,Hibou-B",concat,0,1,0.9419,0.9889,0.8030,0.9874,49.99,0.72
octmnist,224,"PubMedCLIP,CONCH,CheXagent",concat,0,1,0.9510,0.9920,0.7460,0.9834,67.72,0.85
octmnist,224,"PubMedCLIP,CONCH,UNI2",concat,0,1,0.9477,0.9902,0.8370,0.9880,72.30,0.91
octmnist,224,"PubMedCLIP,rad-dino,UNI",concat,0,1,0.9477,0.9907,0.8120,0.9887,64.10,0.92
octmnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.9519,0.9918,0.8060,0.9934,79.69,1.12
octmnist,224,"PubMedCLIP,rad-dino,Hibou-B",concat,0,1,0.9451,0.9892,0.8070,0.9884,57.14,0.78
octmnist,224,"PubMedCLIP,rad-dino,CheXagent",concat,0,1,0.9531,0.9921,0.7440,0.9838,76.39,0.93
octmnist,224,"PubMedCLIP,rad-dino,UNI2",concat,0,1,0.9496,0.9905,0.8050,0.9878,78.35,1.05
octmnist,224,"PubMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.9521,0.9922,0.8130,0.9951,85.96,1.05
octmnist,224,"PubMedCLIP,UNI,Hibou-B",concat,0,1,0.9459,0.9901,0.8230,0.9886,64.97,0.98
octmnist,224,"PubMedCLIP,UNI,CheXagent",concat,0,1,0.9530,0.9926,0.7670,0.9876,82.61,1.16
octmnist,224,"PubMedCLIP,UNI,UNI2",concat,0,1,0.9495,0.9905,0.8340,0.9899,85.33,1.21
octmnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B",concat,0,1,0.9520,0.9917,0.8000,0.9942,79.49,1.08
octmnist,224,"PubMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.9551,0.9930,0.7820,0.9922,97.79,1.34
octmnist,224,"PubMedCLIP,Prov-GigaPath,UNI2",concat,0,1,0.9523,0.9917,0.8440,0.9938,100.67,1.27
octmnist,224,"PubMedCLIP,Hibou-B,CheXagent",concat,0,1,0.9520,0.9915,0.7350,0.9861,75.76,1.08
octmnist,224,"PubMedCLIP,Hibou-B,UNI2",concat,0,1,0.9478,0.9902,0.8100,0.9903,78.69,1.11
octmnist,224,"PubMedCLIP,CheXagent,UNI2",concat,0,1,0.9522,0.9919,0.7570,0.9852,96.36,1.15
octmnist,224,"CONCH,rad-dino,UNI",concat,0,1,0.9455,0.9899,0.8060,0.9852,64.15,0.84
octmnist,224,"CONCH,rad-dino,Prov-GigaPath",concat,0,1,0.9511,0.9910,0.8050,0.9903,79.01,1.03
octmnist,224,"CONCH,rad-dino,Hibou-B",concat,0,1,0.9425,0.9885,0.7510,0.9850,57.50,0.78
octmnist,224,"CONCH,rad-dino,CheXagent",concat,0,1,0.9526,0.9914,0.7330,0.9813,75.17,0.95
octmnist,224,"CONCH,rad-dino,UNI2",concat,0,1,0.9467,0.9896,0.8060,0.9857,79.30,1.06
octmnist,224,"CONCH,UNI,Prov-GigaPath",concat,0,1,0.9529,0.9912,0.8170,0.9926,86.65,1.15
octmnist,224,"CONCH,UNI,Hibou-B",concat,0,1,0.9439,0.9893,0.8050,0.9859,65.45,0.81
octmnist,224,"CONCH,UNI,CheXagent",concat,0,1,0.9514,0.9921,0.7520,0.9863,82.48,1.02
octmnist,224,"CONCH,UNI,UNI2",concat,0,1,0.9458,0.9895,0.8230,0.9877,86.19,1.10
octmnist,224,"CONCH,Prov-GigaPath,Hibou-B",concat,0,1,0.9486,0.9905,0.8010,0.9911,78.96,0.96
octmnist,224,"CONCH,Prov-GigaPath,CheXagent",concat,0,1,0.9546,0.9926,0.7690,0.9871,97.55,1.31
octmnist,224,"CONCH,Prov-GigaPath,UNI2",concat,0,1,0.9514,0.9907,0.8330,0.9919,100.43,1.40
octmnist,224,"CONCH,Hibou-B,CheXagent",concat,0,1,0.9489,0.9912,0.7100,0.9794,76.24,0.93
octmnist,224,"CONCH,Hibou-B,UNI2",concat,0,1,0.9432,0.9890,0.7980,0.9873,78.28,1.00
octmnist,224,"CONCH,CheXagent,UNI2",concat,0,1,0.9524,0.9915,0.7610,0.9815,96.20,1.31
octmnist,224,"rad-dino,UNI,Prov-GigaPath",concat,0,1,0.9541,0.9921,0.8270,0.9933,94.49,1.25
octmnist,224,"rad-dino,UNI,Hibou-B",concat,0,1,0.9441,0.9898,0.7980,0.9873,72.35,1.04
octmnist,224,"rad-dino,UNI,CheXagent",concat,0,1,0.9535,0.9927,0.7610,0.9872,89.60,1.12
octmnist,224,"rad-dino,UNI,UNI2",concat,0,1,0.9497,0.9908,0.8240,0.9873,93.07,1.18
octmnist,224,"rad-dino,Prov-GigaPath,Hibou-B",concat,0,1,0.9526,0.9912,0.7780,0.9912,86.05,1.21
octmnist,224,"rad-dino,Prov-GigaPath,CheXagent",concat,0,1,0.9549,0.9927,0.7610,0.9889,105.12,1.33
octmnist,224,"rad-dino,Prov-GigaPath,UNI2",concat,0,1,0.9525,0.9916,0.8240,0.9915,108.90,1.39
