Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
organcmnist,224,BioMedCLIP,concat,0,1,0.9319,0.9975,0.8395,0.9863,7.66,0.14
organcmnist,224,PubMedCLIP,concat,0,1,0.9273,0.9978,0.8325,0.9869,7.37,0.11
organcmnist,224,CONCH,concat,0,1,0.8257,0.9902,0.7757,0.9760,7.71,0.11
organcmnist,224,rad-dino,concat,0,1,0.9239,0.9976,0.8133,0.9829,9.36,0.13
organcmnist,224,UNI,concat,0,1,0.9122,0.9966,0.8050,0.9829,11.09,0.14
organcmnist,224,Prov-GigaPath,concat,0,1,0.9114,0.9969,0.8177,0.9849,15.95,0.18
organcmnist,224,Hibou-B,concat,0,1,0.9202,0.9975,0.8213,0.9855,8.73,0.12
organcmnist,224,CheXagent,concat,0,1,0.9490,0.9986,0.8586,0.9897,12.99,0.17
organcmnist,224,UNI2,concat,0,1,0.9256,0.9978,0.8043,0.9838,15.10,0.18
organcmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.9486,0.9984,0.8589,0.9906,10.87,0.14
organcmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.9344,0.9980,0.8536,0.9890,10.92,0.14
organcmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.9482,0.9991,0.8653,0.9904,11.97,0.16
organcmnist,224,"BioMedCLIP,UNI",concat,0,1,0.9477,0.9990,0.8576,0.9906,14.17,0.18
organcmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.9444,0.9988,0.8587,0.9905,18.07,0.21
organcmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.9498,0.9990,0.8622,0.9901,11.79,0.16
organcmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.9624,0.9993,0.8769,0.9918,16.26,0.20
organcmnist,224,"BioMedCLIP,UNI2",concat,0,1,0.9582,0.9991,0.8533,0.9895,18.19,0.21
organcmnist,224,"PubMedCLIP,CONCH",concat,0,1,0.9289,0.9980,0.8370,0.9880,10.89,0.14
organcmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.9469,0.9984,0.8582,0.9900,12.32,0.16
organcmnist,224,"PubMedCLIP,UNI",concat,0,1,0.9440,0.9987,0.8393,0.9894,14.13,0.18
organcmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.9427,0.9983,0.8532,0.9899,17.66,0.21
organcmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.9561,0.9990,0.8520,0.9899,12.16,0.16
organcmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.9565,0.9992,0.8711,0.9919,16.26,0.21
organcmnist,224,"PubMedCLIP,UNI2",concat,0,1,0.9469,0.9991,0.8437,0.9892,18.15,0.21
organcmnist,224,"CONCH,rad-dino",concat,0,1,0.9327,0.9982,0.8329,0.9858,12.61,0.16
organcmnist,224,"CONCH,UNI",concat,0,1,0.9110,0.9967,0.8129,0.9845,14.57,0.18
organcmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.9243,0.9975,0.8330,0.9875,18.23,0.22
organcmnist,224,"CONCH,Hibou-B",concat,0,1,0.9168,0.9974,0.8279,0.9856,12.21,0.16
organcmnist,224,"CONCH,CheXagent",concat,0,1,0.9511,0.9988,0.8588,0.9899,16.44,0.20
organcmnist,224,"CONCH,UNI2",concat,0,1,0.9310,0.9978,0.8214,0.9860,18.61,0.22
organcmnist,224,"rad-dino,UNI",concat,0,1,0.9457,0.9987,0.8386,0.9874,15.97,0.19
organcmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.9444,0.9989,0.8493,0.9895,19.41,0.23
organcmnist,224,"rad-dino,Hibou-B",concat,0,1,0.9444,0.9988,0.8453,0.9886,13.52,0.17
organcmnist,224,"rad-dino,CheXagent",concat,0,1,0.9574,0.9991,0.8676,0.9905,17.88,0.23
organcmnist,224,"rad-dino,UNI2",concat,0,1,0.9427,0.9989,0.8357,0.9873,19.57,0.24
organcmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.9373,0.9985,0.8343,0.9884,21.59,0.25
organcmnist,224,"UNI,Hibou-B",concat,0,1,0.9252,0.9980,0.8284,0.9862,16.02,0.20
organcmnist,224,"UNI,CheXagent",concat,0,1,0.9536,0.9990,0.8588,0.9901,18.77,0.25
organcmnist,224,"UNI,UNI2",concat,0,1,0.9390,0.9987,0.8235,0.9865,22.20,0.27
organcmnist,224,"Prov-GigaPath,Hibou-B",concat,0,1,0.9423,0.9989,0.8474,0.9896,20.03,0.24
organcmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.9544,0.9989,0.8619,0.9905,23.73,0.28
organcmnist,224,"Prov-GigaPath,UNI2",concat,0,1,0.9385,0.9986,0.8358,0.9886,26.75,0.29
organcmnist,224,"Hibou-B,CheXagent",concat,0,1,0.9544,0.9991,0.8612,0.9904,18.51,0.23
organcmnist,224,"Hibou-B,UNI2",concat,0,1,0.9398,0.9989,0.8353,0.9872,20.04,0.24
organcmnist,224,"CheXagent,UNI2",concat,0,1,0.9544,0.9993,0.8612,0.9903,23.96,0.28
organcmnist,224,"BioMedCLIP,PubMedCLIP,CONCH",concat,0,1,0.9519,0.9984,0.8661,0.9912,14.43,0.19
organcmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.9486,0.9989,0.8748,0.9919,15.35,0.20
organcmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.9661,0.9993,0.8667,0.9917,17.75,0.22
organcmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.9523,0.9989,0.8706,0.9920,21.95,0.27
organcmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.9611,0.9994,0.8817,0.9927,19.79,0.24
organcmnist,224,"BioMedCLIP,PubMedCLIP,UNI2",concat,0,1,0.9553,0.9993,0.8666,0.9913,21.60,0.26
organcmnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.9503,0.9991,0.8649,0.9907,15.99,0.20
organcmnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.9574,0.9990,0.8611,0.9909,17.79,0.23
organcmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.9473,0.9988,0.8653,0.9913,21.08,0.26
organcmnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.9515,0.9991,0.8620,0.9903,15.60,0.20
organcmnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.9636,0.9993,0.8756,0.9919,19.91,0.26
organcmnist,224,"BioMedCLIP,CONCH,UNI2",concat,0,1,0.9569,0.9991,0.8543,0.9902,21.56,0.25
organcmnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.9611,0.9994,0.8699,0.9912,19.18,0.23
organcmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.9486,0.9994,0.8733,0.9920,23.40,0.27
organcmnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.9536,0.9993,0.8721,0.9913,16.66,0.22
organcmnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.9632,0.9995,0.8808,0.9919,21.30,0.26
