Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
organsmnist,224,BioMedCLIP,concat,0,1,0.8601,0.9896,0.7218,0.9628,8.80,0.16
organsmnist,224,PubMedCLIP,concat,0,1,0.8356,0.9884,0.7466,0.9703,8.57,0.12
organsmnist,224,CONCH,concat,0,1,0.7957,0.9826,0.7105,0.9607,8.64,0.12
organsmnist,224,rad-dino,concat,0,1,0.8157,0.9852,0.7175,0.9622,10.84,0.14
organsmnist,224,UNI,concat,0,1,0.8536,0.9883,0.7618,0.9723,12.35,0.17
organsmnist,224,Prov-GigaPath,concat,0,1,0.8454,0.9894,0.7458,0.9693,17.14,0.21
organsmnist,224,Hibou-B,concat,0,1,0.8499,0.9876,0.7563,0.9696,10.21,0.14
organsmnist,224,CheXagent,concat,0,1,0.8650,0.9911,0.7710,0.9733,14.89,0.20
organsmnist,224,UNI2,concat,0,1,0.8711,0.9909,0.7467,0.9688,16.26,0.20
organsmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.8675,0.9915,0.7594,0.9717,12.52,0.17
organsmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.8658,0.9907,0.7462,0.9685,12.10,0.17
organsmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.8622,0.9912,0.7548,0.9704,14.13,0.20
organsmnist,224,"BioMedCLIP,UNI",concat,0,1,0.8842,0.9919,0.7755,0.9750,16.24,0.20
organsmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.8825,0.9922,0.7627,0.9729,21.30,0.26
organsmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.8809,0.9907,0.7671,0.9728,14.02,0.20
organsmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.8699,0.9911,0.7747,0.9740,18.78,0.24
organsmnist,224,"BioMedCLIP,UNI2",concat,0,1,0.8862,0.9922,0.7580,0.9717,20.01,0.25
organsmnist,224,"PubMedCLIP,CONCH",concat,0,1,0.8475,0.9899,0.7557,0.9728,12.51,0.17
organsmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.8670,0.9903,0.7579,0.9737,14.32,0.19
organsmnist,224,"PubMedCLIP,UNI",concat,0,1,0.8695,0.9909,0.7803,0.9762,16.19,0.20
organsmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.8646,0.9912,0.7706,0.9755,20.81,0.26
organsmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.8748,0.9903,0.7662,0.9736,14.05,0.19
organsmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.8691,0.9916,0.7786,0.9754,18.70,0.23
organsmnist,224,"PubMedCLIP,UNI2",concat,0,1,0.8715,0.9912,0.7692,0.9740,20.39,0.28
organsmnist,224,"CONCH,rad-dino",concat,0,1,0.8389,0.9885,0.7400,0.9687,13.88,0.21
organsmnist,224,"CONCH,UNI",concat,0,1,0.8560,0.9884,0.7655,0.9727,16.19,0.20
organsmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.8593,0.9903,0.7578,0.9731,20.98,0.27
organsmnist,224,"CONCH,CheXagent",concat,0,1,0.8654,0.9911,0.7679,0.9743,18.84,0.25
organsmnist,224,"CONCH,UNI2",concat,0,1,0.8736,0.9903,0.7491,0.9706,19.88,0.24
organsmnist,224,"rad-dino,UNI",concat,0,1,0.8585,0.9900,0.7727,0.9737,18.12,0.23
organsmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.8630,0.9913,0.7701,0.9744,22.15,0.29
organsmnist,224,"rad-dino,Hibou-B",concat,0,1,0.8711,0.9897,0.7593,0.9718,16.24,0.20
organsmnist,224,"rad-dino,CheXagent",concat,0,1,0.8687,0.9916,0.7743,0.9743,20.57,0.28
organsmnist,224,"rad-dino,UNI2",concat,0,1,0.8723,0.9914,0.7569,0.9719,22.18,0.29
organsmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.8756,0.9916,0.7819,0.9764,24.29,0.31
organsmnist,224,"UNI,Hibou-B",concat,0,1,0.8699,0.9895,0.7729,0.9739,17.93,0.24
organsmnist,224,"UNI,CheXagent",concat,0,1,0.8752,0.9914,0.7833,0.9763,22.55,0.30
organsmnist,224,"UNI,UNI2",concat,0,1,0.8764,0.9912,0.7746,0.9743,24.16,0.30
organsmnist,224,"Prov-GigaPath,Hibou-B",concat,0,1,0.8768,0.9908,0.7709,0.9757,22.07,0.31
organsmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.8764,0.9917,0.7831,0.9760,26.70,0.31
organsmnist,224,"Prov-GigaPath,UNI2",concat,0,1,0.8801,0.9920,0.7624,0.9732,27.91,0.36
organsmnist,224,"Hibou-B,CheXagent",concat,0,1,0.8756,0.9911,0.7794,0.9745,20.29,0.27
organsmnist,224,"Hibou-B,UNI2",concat,0,1,0.8789,0.9906,0.7611,0.9726,21.21,0.29
organsmnist,224,"CheXagent,UNI2",concat,0,1,0.8723,0.9914,0.7801,0.9754,26.42,0.34
organsmnist,224,"BioMedCLIP,PubMedCLIP,CONCH",concat,0,1,0.8675,0.9917,0.7646,0.9735,16.39,0.21
organsmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.8834,0.9922,0.7684,0.9746,18.30,0.23
organsmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.8846,0.9924,0.7838,0.9769,19.94,0.26
organsmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.8825,0.9929,0.7757,0.9760,23.41,0.32
organsmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.8748,0.9919,0.7820,0.9762,22.19,0.30
organsmnist,224,"BioMedCLIP,PubMedCLIP,UNI2",concat,0,1,0.8891,0.9923,0.7736,0.9744,23.10,0.31
organsmnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.8719,0.9909,0.7630,0.9724,17.44,0.23
organsmnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.8834,0.9916,0.7724,0.9750,19.86,0.26
organsmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.8825,0.9922,0.7613,0.9743,24.42,0.31
organsmnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.8813,0.9907,0.7656,0.9728,17.58,0.22
organsmnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.8768,0.9917,0.7721,0.9747,22.45,0.30
organsmnist,224,"BioMedCLIP,CONCH,UNI2",concat,0,1,0.8813,0.9915,0.7603,0.9727,23.02,0.30
organsmnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.8858,0.9919,0.7780,0.9754,21.88,0.29
organsmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.8821,0.9925,0.7802,0.9755,25.59,0.33
organsmnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.8887,0.9914,0.7695,0.9743,19.76,0.25
organsmnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.8862,0.9920,0.7781,0.9751,24.53,0.32
organsmnist,224,"BioMedCLIP,rad-dino,UNI2",concat,0,1,0.8858,0.9926,0.7655,0.9733,25.14,0.33
organsmnist,224,"BioMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.8915,0.9932,0.7900,0.9776,28.07,0.36
organsmnist,224,"BioMedCLIP,UNI,Hibou-B",concat,0,1,0.8927,0.9914,0.7755,0.9747,21.67,0.27
organsmnist,224,"BioMedCLIP,UNI,CheXagent",concat,0,1,0.8907,0.9919,0.7841,0.9768,26.31,0.34
organsmnist,224,"BioMedCLIP,UNI,UNI2",concat,0,1,0.8850,0.9923,0.7746,0.9751,27.85,0.35
organsmnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",concat,0,1,0.8895,0.9919,0.7777,0.9764,25.96,0.32
organsmnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.8834,0.9922,0.7816,0.9765,30.73,0.39
organsmnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",concat,0,1,0.8895,0.9927,0.7674,0.9746,31.14,0.39
organsmnist,224,"BioMedCLIP,Hibou-B,CheXagent",concat,0,1,0.8842,0.9912,0.7826,0.9754,24.36,0.32
organsmnist,224,"BioMedCLIP,Hibou-B,UNI2",concat,0,1,0.8931,0.9919,0.7729,0.9748,24.48,0.32
organsmnist,224,"BioMedCLIP,CheXagent,UNI2",concat,0,1,0.8850,0.9918,0.7828,0.9760,30.42,0.38
organsmnist,224,"PubMedCLIP,CONCH,rad-dino",concat,0,1,0.8670,0.9910,0.7605,0.9746,18.08,0.23
