Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
dermamnist,224,BioMedCLIP,self_attention,256,1,0.7856,0.9318,0.0,0.0,3.56,0.06
dermamnist,224,PubMedCLIP,self_attention,256,1,0.7827,0.9364,0.0,0.0,3.56,0.06
dermamnist,224,CONCH,self_attention,256,1,0.7807,0.9379,0.0,0.0,3.51,0.06
dermamnist,224,rad-dino,self_attention,256,1,0.7388,0.8957,0.0,0.0,3.62,0.06
dermamnist,224,UNI,self_attention,256,1,0.7717,0.9347,0.0,0.0,3.6,0.06
dermamnist,224,Prov-GigaPath,self_attention,256,1,0.7846,0.9396,0.0,0.0,3.48,0.06
dermamnist,224,Hibou-B,self_attention,256,1,0.7677,0.9243,0.0,0.0,3.5,0.06
dermamnist,224,CheXagent,self_attention,256,1,0.8295,0.9564,0.0,0.0,3.47,0.06
dermamnist,224,UNI2,self_attention,256,1,0.7757,0.9338,0.0,0.0,3.55,0.06
dermamnist,224,"BioMedCLIP,PubMedCLIP",self_attention,256,1,0.7817,0.9253,0.0,0.0,3.47,0.06
dermamnist,224,"BioMedCLIP,CONCH",self_attention,256,1,0.7807,0.9244,0.0,0.0,3.48,0.06
dermamnist,224,"BioMedCLIP,rad-dino",self_attention,256,1,0.7916,0.9212,0.0,0.0,3.46,0.06
dermamnist,224,"BioMedCLIP,UNI",self_attention,256,1,0.7986,0.936,0.0,0.0,3.48,0.06
dermamnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,256,1,0.7787,0.9323,0.0,0.0,3.46,0.06
dermamnist,224,"BioMedCLIP,Hibou-B",self_attention,256,1,0.7936,0.9425,0.0,0.0,3.49,0.06
dermamnist,224,"BioMedCLIP,CheXagent",self_attention,256,1,0.7986,0.9446,0.0,0.0,3.48,0.06
dermamnist,224,"BioMedCLIP,UNI2",self_attention,256,1,0.7866,0.9303,0.0,0.0,3.5,0.06
dermamnist,224,"PubMedCLIP,CONCH",self_attention,256,1,0.7727,0.9355,0.0,0.0,3.51,0.06
dermamnist,224,"PubMedCLIP,rad-dino",self_attention,256,1,0.7577,0.915,0.0,0.0,3.55,0.06
dermamnist,224,"PubMedCLIP,UNI",self_attention,256,1,0.7797,0.9327,0.0,0.0,3.53,0.06
dermamnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,256,1,0.7936,0.9422,0.0,0.0,3.49,0.06
dermamnist,224,"PubMedCLIP,Hibou-B",self_attention,256,1,0.7687,0.9212,0.0,0.0,3.49,0.06
dermamnist,224,"PubMedCLIP,CheXagent",self_attention,256,1,0.8295,0.9403,0.0,0.0,3.48,0.06
dermamnist,224,"PubMedCLIP,UNI2",self_attention,256,1,0.7856,0.9339,0.0,0.0,3.49,0.06
dermamnist,224,"CONCH,rad-dino",self_attention,256,1,0.7717,0.9393,0.0,0.0,3.5,0.06
dermamnist,224,"CONCH,UNI",self_attention,256,1,0.7896,0.9409,0.0,0.0,3.51,0.06
dermamnist,224,"CONCH,Prov-GigaPath",self_attention,256,1,0.7986,0.9383,0.0,0.0,3.48,0.06
dermamnist,224,"CONCH,Hibou-B",self_attention,256,1,0.7846,0.936,0.0,0.0,3.47,0.06
dermamnist,224,"CONCH,CheXagent",self_attention,256,1,0.8026,0.9448,0.0,0.0,3.49,0.06
dermamnist,224,"CONCH,UNI2",self_attention,256,1,0.7807,0.9344,0.0,0.0,3.51,0.06
dermamnist,224,"rad-dino,UNI",self_attention,256,1,0.7856,0.9324,0.0,0.0,3.48,0.06
dermamnist,224,"rad-dino,Prov-GigaPath",self_attention,256,1,0.7936,0.9371,0.0,0.0,3.51,0.06
dermamnist,224,"rad-dino,Hibou-B",self_attention,256,1,0.7647,0.9188,0.0,0.0,3.49,0.06
dermamnist,224,"rad-dino,CheXagent",self_attention,256,1,0.7906,0.9471,0.0,0.0,3.52,0.06
