Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
organsmnist,224,BioMedCLIP,self_attention,256,1,0.8279,0.9871,0.0,0.0,6.75,0.11
organsmnist,224,PubMedCLIP,self_attention,256,1,0.8312,0.9873,0.0,0.0,6.56,0.1
organsmnist,224,CONCH,self_attention,256,1,0.7814,0.981,0.0,0.0,6.61,0.11
organsmnist,224,rad-dino,self_attention,256,1,0.772,0.9791,0.0,0.0,6.58,0.1
organsmnist,224,UNI,self_attention,256,1,0.8022,0.9839,0.0,0.0,6.67,0.11
organsmnist,224,Prov-GigaPath,self_attention,256,1,0.7843,0.9818,0.0,0.0,7.07,0.12
organsmnist,224,Hibou-B,self_attention,256,1,0.825,0.9852,0.0,0.0,6.34,0.11
organsmnist,224,CheXagent,self_attention,256,1,0.8263,0.9878,0.0,0.0,6.23,0.11
organsmnist,224,UNI2,self_attention,256,1,0.8185,0.9838,0.0,0.0,6.72,0.11
organsmnist,224,"BioMedCLIP,PubMedCLIP",self_attention,256,1,0.8148,0.9848,0.0,0.0,6.8,0.11
organsmnist,224,"BioMedCLIP,CONCH",self_attention,256,1,0.8238,0.9864,0.0,0.0,6.72,0.11
organsmnist,224,"BioMedCLIP,rad-dino",self_attention,256,1,0.8193,0.9854,0.0,0.0,6.84,0.11
organsmnist,224,"BioMedCLIP,UNI",self_attention,256,1,0.8458,0.9888,0.0,0.0,6.6,0.11
organsmnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,256,1,0.8165,0.9872,0.0,0.0,6.92,0.11
organsmnist,224,"BioMedCLIP,Hibou-B",self_attention,256,1,0.8312,0.9872,0.0,0.0,6.71,0.11
organsmnist,224,"BioMedCLIP,CheXagent",self_attention,256,1,0.8348,0.9887,0.0,0.0,6.82,0.11
organsmnist,224,"BioMedCLIP,UNI2",self_attention,256,1,0.8193,0.9862,0.0,0.0,6.81,0.11
organsmnist,224,"PubMedCLIP,CONCH",self_attention,256,1,0.7985,0.9829,0.0,0.0,6.49,0.1
organsmnist,224,"PubMedCLIP,rad-dino",self_attention,256,1,0.8157,0.9854,0.0,0.0,6.61,0.11
organsmnist,224,"PubMedCLIP,UNI",self_attention,256,1,0.7859,0.9821,0.0,0.0,6.63,0.11
organsmnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,256,1,0.8002,0.9822,0.0,0.0,6.98,0.11
organsmnist,224,"PubMedCLIP,Hibou-B",self_attention,256,1,0.8279,0.9868,0.0,0.0,6.3,0.1
organsmnist,224,"PubMedCLIP,CheXagent",self_attention,256,1,0.8442,0.989,0.0,0.0,6.26,0.1
organsmnist,224,"PubMedCLIP,UNI2",self_attention,256,1,0.8495,0.9892,0.0,0.0,6.63,0.11
organsmnist,224,"CONCH,rad-dino",self_attention,256,1,0.7838,0.9801,0.0,0.0,6.56,0.11
organsmnist,224,"CONCH,UNI",self_attention,256,1,0.8116,0.9848,0.0,0.0,6.63,0.1
organsmnist,224,"CONCH,Prov-GigaPath",self_attention,256,1,0.7863,0.9833,0.0,0.0,6.91,0.11
organsmnist,224,"CONCH,Hibou-B",self_attention,256,1,0.8189,0.9851,0.0,0.0,6.38,0.1
organsmnist,224,"CONCH,CheXagent",self_attention,256,1,0.8479,0.9887,0.0,0.0,6.39,0.11
organsmnist,224,"CONCH,UNI2",self_attention,256,1,0.8046,0.9841,0.0,0.0,6.58,0.1
organsmnist,224,"rad-dino,UNI",self_attention,256,1,0.8128,0.9827,0.0,0.0,6.59,0.11
organsmnist,224,"rad-dino,Prov-GigaPath",self_attention,256,1,0.792,0.9838,0.0,0.0,6.99,0.11
organsmnist,224,"rad-dino,Hibou-B",self_attention,256,1,0.8336,0.9863,0.0,0.0,6.34,0.11
organsmnist,224,"rad-dino,CheXagent",self_attention,256,1,0.8254,0.9874,0.0,0.0,6.33,0.1
organsmnist,224,"rad-dino,UNI2",self_attention,256,1,0.8181,0.9849,0.0,0.0,6.54,0.1
organsmnist,224,"UNI,Prov-GigaPath",self_attention,256,1,0.8124,0.9852,0.0,0.0,6.89,0.11
organsmnist,224,"UNI,Hibou-B",self_attention,256,1,0.8316,0.9864,0.0,0.0,6.54,0.11
organsmnist,224,"UNI,CheXagent",self_attention,256,1,0.8316,0.9866,0.0,0.0,6.41,0.1
organsmnist,224,"UNI,UNI2",self_attention,256,1,0.8136,0.9847,0.0,0.0,6.54,0.11
organsmnist,224,"Prov-GigaPath,Hibou-B",self_attention,256,1,0.8116,0.9853,0.0,0.0,6.82,0.11
organsmnist,224,"Prov-GigaPath,CheXagent",self_attention,256,1,0.792,0.9843,0.0,0.0,6.81,0.11
organsmnist,224,"Prov-GigaPath,UNI2",self_attention,256,1,0.781,0.9839,0.0,0.0,6.99,0.11
organsmnist,224,"Hibou-B,CheXagent",self_attention,256,1,0.823,0.9867,0.0,0.0,6.27,0.1
organsmnist,224,"Hibou-B,UNI2",self_attention,256,1,0.8259,0.9863,0.0,0.0,6.37,0.11
organsmnist,224,"CheXagent,UNI2",self_attention,256,1,0.8397,0.9886,0.0,0.0,6.35,0.11
