Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
pneumoniamnist,224,BioMedCLIP,self_attention,256,1,0.9637,0.993,0.0,0.0,0.69,0.02
pneumoniamnist,224,PubMedCLIP,self_attention,256,1,0.9618,0.9848,0.0,0.0,0.64,0.02
pneumoniamnist,224,CONCH,self_attention,256,1,0.9351,0.9824,0.0,0.0,0.68,0.02
pneumoniamnist,224,rad-dino,self_attention,256,1,0.9656,0.9923,0.0,0.0,0.63,0.02
pneumoniamnist,224,UNI,self_attention,256,1,0.9485,0.9882,0.0,0.0,0.65,0.02
pneumoniamnist,224,Prov-GigaPath,self_attention,256,1,0.9485,0.9855,0.0,0.0,0.65,0.02
pneumoniamnist,224,Hibou-B,self_attention,256,1,0.958,0.9909,0.0,0.0,0.65,0.02
pneumoniamnist,224,CheXagent,self_attention,256,1,0.9828,0.9981,0.0,0.0,0.58,0.02
pneumoniamnist,224,UNI2,self_attention,256,1,0.9637,0.9897,0.0,0.0,0.66,0.02
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP",self_attention,256,1,0.9599,0.9938,0.0,0.0,0.65,0.02
pneumoniamnist,224,"BioMedCLIP,CONCH",self_attention,256,1,0.9714,0.995,0.0,0.0,0.65,0.02
pneumoniamnist,224,"BioMedCLIP,rad-dino",self_attention,256,1,0.9828,0.9984,0.0,0.0,0.61,0.02
pneumoniamnist,224,"BioMedCLIP,UNI",self_attention,256,1,0.9733,0.9958,0.0,0.0,0.63,0.02
pneumoniamnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,256,1,0.9752,0.9973,0.0,0.0,0.63,0.02
pneumoniamnist,224,"BioMedCLIP,Hibou-B",self_attention,256,1,0.9656,0.9942,0.0,0.0,0.62,0.02
pneumoniamnist,224,"BioMedCLIP,CheXagent",self_attention,256,1,0.9809,0.9959,0.0,0.0,0.63,0.02
pneumoniamnist,224,"BioMedCLIP,UNI2",self_attention,256,1,0.9504,0.9902,0.0,0.0,0.64,0.02
pneumoniamnist,224,"PubMedCLIP,CONCH",self_attention,256,1,0.9523,0.9871,0.0,0.0,0.65,0.02
pneumoniamnist,224,"PubMedCLIP,rad-dino",self_attention,256,1,0.9695,0.9953,0.0,0.0,0.63,0.02
pneumoniamnist,224,"PubMedCLIP,UNI",self_attention,256,1,0.9637,0.9899,0.0,0.0,0.64,0.02
pneumoniamnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,256,1,0.9466,0.9862,0.0,0.0,0.63,0.02
pneumoniamnist,224,"PubMedCLIP,Hibou-B",self_attention,256,1,0.9599,0.9922,0.0,0.0,0.63,0.02
pneumoniamnist,224,"PubMedCLIP,CheXagent",self_attention,256,1,0.9809,0.9987,0.0,0.0,0.58,0.02
pneumoniamnist,224,"PubMedCLIP,UNI2",self_attention,256,1,0.9618,0.9882,0.0,0.0,0.65,0.02
pneumoniamnist,224,"CONCH,rad-dino",self_attention,256,1,0.9847,0.9975,0.0,0.0,0.62,0.02
pneumoniamnist,224,"CONCH,UNI",self_attention,256,1,0.9561,0.989,0.0,0.0,0.65,0.02
pneumoniamnist,224,"CONCH,Prov-GigaPath",self_attention,256,1,0.9599,0.9903,0.0,0.0,0.65,0.02
pneumoniamnist,224,"CONCH,Hibou-B",self_attention,256,1,0.9561,0.9906,0.0,0.0,0.65,0.02
pneumoniamnist,224,"CONCH,CheXagent",self_attention,256,1,0.9752,0.9984,0.0,0.0,0.58,0.02
pneumoniamnist,224,"CONCH,UNI2",self_attention,256,1,0.9676,0.9919,0.0,0.0,0.66,0.02
pneumoniamnist,224,"rad-dino,UNI",self_attention,256,1,0.9771,0.997,0.0,0.0,0.62,0.02
pneumoniamnist,224,"rad-dino,Prov-GigaPath",self_attention,256,1,0.9771,0.994,0.0,0.0,0.62,0.02
pneumoniamnist,224,"rad-dino,Hibou-B",self_attention,256,1,0.979,0.9958,0.0,0.0,0.61,0.02
pneumoniamnist,224,"rad-dino,CheXagent",self_attention,256,1,0.9828,0.9984,0.0,0.0,0.56,0.02
pneumoniamnist,224,"rad-dino,UNI2",self_attention,256,1,0.9714,0.9965,0.0,0.0,0.6,0.02
pneumoniamnist,224,"UNI,Prov-GigaPath",self_attention,256,1,0.9618,0.9853,0.0,0.0,0.65,0.02
pneumoniamnist,224,"UNI,Hibou-B",self_attention,256,1,0.9485,0.9897,0.0,0.0,0.64,0.02
pneumoniamnist,224,"UNI,CheXagent",self_attention,256,1,0.9676,0.9971,0.0,0.0,0.61,0.02
pneumoniamnist,224,"UNI,UNI2",self_attention,256,1,0.9504,0.9882,0.0,0.0,0.67,0.02
pneumoniamnist,224,"Prov-GigaPath,Hibou-B",self_attention,256,1,0.9599,0.9937,0.0,0.0,0.65,0.02
pneumoniamnist,224,"Prov-GigaPath,CheXagent",self_attention,256,1,0.9828,0.9978,0.0,0.0,0.57,0.02
pneumoniamnist,224,"Prov-GigaPath,UNI2",self_attention,256,1,0.9485,0.9884,0.0,0.0,0.67,0.02
pneumoniamnist,224,"Hibou-B,CheXagent",self_attention,256,1,0.9847,0.9987,0.0,0.0,0.59,0.02
pneumoniamnist,224,"Hibou-B,UNI2",self_attention,256,1,0.9485,0.9911,0.0,0.0,0.66,0.02
pneumoniamnist,224,"CheXagent,UNI2",self_attention,256,1,0.979,0.9978,0.0,0.0,0.59,0.02
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,CONCH",self_attention,256,1,0.9599,0.9925,0.0,0.0,0.65,0.02
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",self_attention,256,1,0.9771,0.9975,0.0,0.0,0.61,0.02
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,UNI",self_attention,256,1,0.9618,0.9952,0.0,0.0,0.62,0.02
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",self_attention,256,1,0.9676,0.9955,0.0,0.0,0.63,0.02
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",self_attention,256,1,0.9733,0.9954,0.0,0.0,0.63,0.02
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",self_attention,256,1,0.9637,0.9973,0.0,0.0,0.6,0.02
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,UNI2",self_attention,256,1,0.9637,0.9952,0.0,0.0,0.62,0.02
pneumoniamnist,224,"BioMedCLIP,CONCH,rad-dino",self_attention,256,1,0.9771,0.9971,0.0,0.0,0.62,0.02
pneumoniamnist,224,"BioMedCLIP,CONCH,UNI",self_attention,256,1,0.9771,0.9967,0.0,0.0,0.64,0.02
pneumoniamnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",self_attention,256,1,0.9676,0.9944,0.0,0.0,0.63,0.02
pneumoniamnist,224,"BioMedCLIP,CONCH,Hibou-B",self_attention,256,1,0.9714,0.9956,0.0,0.0,0.61,0.02
pneumoniamnist,224,"BioMedCLIP,CONCH,CheXagent",self_attention,256,1,0.9733,0.9962,0.0,0.0,0.62,0.02
pneumoniamnist,224,"BioMedCLIP,CONCH,UNI2",self_attention,256,1,0.9714,0.9947,0.0,0.0,0.63,0.02
pneumoniamnist,224,"BioMedCLIP,rad-dino,UNI",self_attention,256,1,0.9733,0.9961,0.0,0.0,0.63,0.02
pneumoniamnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",self_attention,256,1,0.9714,0.9957,0.0,0.0,0.61,0.02
pneumoniamnist,224,"BioMedCLIP,rad-dino,Hibou-B",self_attention,256,1,0.9771,0.9975,0.0,0.0,0.61,0.02
pneumoniamnist,224,"BioMedCLIP,rad-dino,CheXagent",self_attention,256,1,0.9809,0.9977,0.0,0.0,0.6,0.02
pneumoniamnist,224,"BioMedCLIP,rad-dino,UNI2",self_attention,256,1,0.9695,0.9958,0.0,0.0,0.62,0.02
pneumoniamnist,224,"BioMedCLIP,UNI,Prov-GigaPath",self_attention,256,1,0.9618,0.9939,0.0,0.0,0.62,0.02
pneumoniamnist,224,"BioMedCLIP,UNI,Hibou-B",self_attention,256,1,0.9733,0.995,0.0,0.0,0.62,0.02
pneumoniamnist,224,"BioMedCLIP,UNI,CheXagent",self_attention,256,1,0.9695,0.9926,0.0,0.0,0.63,0.02
pneumoniamnist,224,"BioMedCLIP,UNI,UNI2",self_attention,256,1,0.9676,0.9951,0.0,0.0,0.63,0.02
pneumoniamnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9733,0.9966,0.0,0.0,0.62,0.02
pneumoniamnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",self_attention,256,1,0.979,0.9972,0.0,0.0,0.6,0.02
pneumoniamnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",self_attention,256,1,0.9695,0.9907,0.0,0.0,0.62,0.02
pneumoniamnist,224,"BioMedCLIP,Hibou-B,CheXagent",self_attention,256,1,0.979,0.9978,0.0,0.0,0.6,0.02
pneumoniamnist,224,"BioMedCLIP,Hibou-B,UNI2",self_attention,256,1,0.9809,0.998,0.0,0.0,0.6,0.02
pneumoniamnist,224,"BioMedCLIP,CheXagent,UNI2",self_attention,256,1,0.9637,0.9957,0.0,0.0,0.59,0.02
pneumoniamnist,224,"PubMedCLIP,CONCH,rad-dino",self_attention,256,1,0.9771,0.9953,0.0,0.0,0.6,0.02
pneumoniamnist,224,"PubMedCLIP,CONCH,UNI",self_attention,256,1,0.9485,0.9854,0.0,0.0,0.65,0.02
pneumoniamnist,224,"PubMedCLIP,CONCH,Prov-GigaPath",self_attention,256,1,0.9485,0.9886,0.0,0.0,0.65,0.02
pneumoniamnist,224,"PubMedCLIP,CONCH,Hibou-B",self_attention,256,1,0.9542,0.993,0.0,0.0,0.65,0.02
pneumoniamnist,224,"PubMedCLIP,CONCH,CheXagent",self_attention,256,1,0.9714,0.9977,0.0,0.0,0.6,0.02
pneumoniamnist,224,"PubMedCLIP,CONCH,UNI2",self_attention,256,1,0.9504,0.9883,0.0,0.0,0.66,0.02
pneumoniamnist,224,"PubMedCLIP,rad-dino,UNI",self_attention,256,1,0.9676,0.9957,0.0,0.0,0.62,0.02
pneumoniamnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath",self_attention,256,1,0.9752,0.9949,0.0,0.0,0.6,0.02
pneumoniamnist,224,"PubMedCLIP,rad-dino,Hibou-B",self_attention,256,1,0.9771,0.997,0.0,0.0,0.61,0.03
pneumoniamnist,224,"PubMedCLIP,rad-dino,CheXagent",self_attention,256,1,0.979,0.9967,0.0,0.0,0.59,0.02
pneumoniamnist,224,"PubMedCLIP,rad-dino,UNI2",self_attention,256,1,0.979,0.9965,0.0,0.0,0.62,0.02
pneumoniamnist,224,"PubMedCLIP,UNI,Prov-GigaPath",self_attention,256,1,0.958,0.9904,0.0,0.0,0.65,0.02
pneumoniamnist,224,"PubMedCLIP,UNI,Hibou-B",self_attention,256,1,0.9561,0.9901,0.0,0.0,0.63,0.02
pneumoniamnist,224,"PubMedCLIP,UNI,CheXagent",self_attention,256,1,0.979,0.9963,0.0,0.0,0.6,0.02
