Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
bloodmnist,224,BioMedCLIP,self_attention,512,1,0.9463,0.9972,0.0,0.0,6.0,0.09
bloodmnist,224,PubMedCLIP,self_attention,512,1,0.9387,0.997,0.0,0.0,5.83,0.08
bloodmnist,224,CONCH,self_attention,512,1,0.9626,0.9988,0.0,0.0,5.29,0.08
bloodmnist,224,rad-dino,self_attention,512,1,0.9147,0.9941,0.0,0.0,6.13,0.09
bloodmnist,224,UNI,self_attention,512,1,0.9749,0.9993,0.0,0.0,5.18,0.08
bloodmnist,224,Prov-GigaPath,self_attention,512,1,0.9661,0.9989,0.0,0.0,5.89,0.08
bloodmnist,224,Hibou-B,self_attention,512,1,0.9796,0.9996,0.0,0.0,4.82,0.08
bloodmnist,224,CheXagent,self_attention,512,1,0.9714,0.9992,0.0,0.0,5.2,0.08
bloodmnist,224,UNI2,self_attention,512,1,0.9614,0.9983,0.0,0.0,5.47,0.08
bloodmnist,224,"BioMedCLIP,PubMedCLIP",self_attention,512,1,0.9474,0.997,0.0,0.0,5.73,0.08
bloodmnist,224,"BioMedCLIP,CONCH",self_attention,512,1,0.9521,0.9984,0.0,0.0,5.5,0.08
bloodmnist,224,"BioMedCLIP,rad-dino",self_attention,512,1,0.9556,0.9974,0.0,0.0,5.7,0.08
bloodmnist,224,"BioMedCLIP,UNI",self_attention,512,1,0.9632,0.9988,0.0,0.0,5.43,0.09
bloodmnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,512,1,0.9521,0.998,0.0,0.0,5.5,0.08
bloodmnist,224,"BioMedCLIP,Hibou-B",self_attention,512,1,0.9725,0.9993,0.0,0.0,5.15,0.08
bloodmnist,224,"BioMedCLIP,CheXagent",self_attention,512,1,0.9498,0.9978,0.0,0.0,5.56,0.08
bloodmnist,224,"BioMedCLIP,UNI2",self_attention,512,1,0.9533,0.998,0.0,0.0,5.46,0.08
bloodmnist,224,"PubMedCLIP,CONCH",self_attention,512,1,0.9661,0.9987,0.0,0.0,5.3,0.08
bloodmnist,224,"PubMedCLIP,rad-dino",self_attention,512,1,0.941,0.997,0.0,0.0,5.86,0.08
