Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
octmnist,224,BioMedCLIP,self_attention,512,1,0.9189,0.9756,0.0,0.0,15.61,0.22
octmnist,224,PubMedCLIP,self_attention,512,1,0.9252,0.9817,0.0,0.0,15.31,0.22
octmnist,224,CONCH,self_attention,512,1,0.9093,0.9736,0.0,0.0,15.18,0.21
octmnist,224,rad-dino,self_attention,512,1,0.9237,0.9805,0.0,0.0,15.4,0.21
octmnist,224,UNI,self_attention,512,1,0.9273,0.9826,0.0,0.0,15.55,0.21
octmnist,224,Prov-GigaPath,self_attention,512,1,0.9239,0.9829,0.0,0.0,15.64,0.22
octmnist,224,Hibou-B,self_attention,512,1,0.9141,0.9746,0.0,0.0,15.37,0.21
octmnist,224,CheXagent,self_attention,512,1,0.9358,0.9864,0.0,0.0,15.4,0.21
octmnist,224,UNI2,self_attention,512,1,0.9237,0.9811,0.0,0.0,15.57,0.21
octmnist,224,"BioMedCLIP,PubMedCLIP",self_attention,512,1,0.9156,0.9759,0.0,0.0,15.48,0.21
octmnist,224,"BioMedCLIP,CONCH",self_attention,512,1,0.9201,0.9779,0.0,0.0,15.7,0.21
octmnist,224,"BioMedCLIP,rad-dino",self_attention,512,1,0.9199,0.9771,0.0,0.0,15.5,0.22
octmnist,224,"BioMedCLIP,UNI",self_attention,512,1,0.9262,0.9809,0.0,0.0,15.79,0.21
octmnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,512,1,0.9232,0.9794,0.0,0.0,15.38,0.21
octmnist,224,"BioMedCLIP,Hibou-B",self_attention,512,1,0.9202,0.9781,0.0,0.0,15.53,0.21
octmnist,224,"BioMedCLIP,CheXagent",self_attention,512,1,0.9229,0.9791,0.0,0.0,15.63,0.21
octmnist,224,"BioMedCLIP,UNI2",self_attention,512,1,0.9221,0.979,0.0,0.0,15.65,0.21
octmnist,224,"PubMedCLIP,CONCH",self_attention,512,1,0.9215,0.9799,0.0,0.0,15.23,0.21
octmnist,224,"PubMedCLIP,rad-dino",self_attention,512,1,0.9284,0.9831,0.0,0.0,15.78,0.21
octmnist,224,"PubMedCLIP,UNI",self_attention,512,1,0.9288,0.9828,0.0,0.0,15.5,0.21
octmnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,512,1,0.9273,0.9841,0.0,0.0,15.77,0.21
octmnist,224,"PubMedCLIP,Hibou-B",self_attention,512,1,0.9219,0.9797,0.0,0.0,15.27,0.22
octmnist,224,"PubMedCLIP,CheXagent",self_attention,512,1,0.9385,0.988,0.0,0.0,15.84,0.22
octmnist,224,"PubMedCLIP,UNI2",self_attention,512,1,0.9281,0.9835,0.0,0.0,15.32,0.21
octmnist,224,"CONCH,rad-dino",self_attention,512,1,0.9201,0.9791,0.0,0.0,15.73,0.21
octmnist,224,"CONCH,UNI",self_attention,512,1,0.93,0.9831,0.0,0.0,15.26,0.23
octmnist,224,"CONCH,Prov-GigaPath",self_attention,512,1,0.9279,0.9839,0.0,0.0,15.88,0.22
octmnist,224,"CONCH,Hibou-B",self_attention,512,1,0.9237,0.9816,0.0,0.0,15.27,0.21
octmnist,224,"CONCH,CheXagent",self_attention,512,1,0.9362,0.9852,0.0,0.0,15.53,0.21
octmnist,224,"CONCH,UNI2",self_attention,512,1,0.9246,0.9813,0.0,0.0,15.47,0.21
octmnist,224,"rad-dino,UNI",self_attention,512,1,0.9283,0.9838,0.0,0.0,15.59,0.22
octmnist,224,"rad-dino,Prov-GigaPath",self_attention,512,1,0.9325,0.9847,0.0,0.0,15.59,0.21
octmnist,224,"rad-dino,Hibou-B",self_attention,512,1,0.9259,0.9803,0.0,0.0,15.63,0.22
octmnist,224,"rad-dino,CheXagent",self_attention,512,1,0.9397,0.9877,0.0,0.0,15.48,0.21
octmnist,224,"rad-dino,UNI2",self_attention,512,1,0.9329,0.984,0.0,0.0,15.68,0.21
octmnist,224,"UNI,Prov-GigaPath",self_attention,512,1,0.9304,0.9846,0.0,0.0,15.42,0.21
octmnist,224,"UNI,Hibou-B",self_attention,512,1,0.9298,0.9833,0.0,0.0,15.69,0.22
octmnist,224,"UNI,CheXagent",self_attention,512,1,0.9358,0.9847,0.0,0.0,15.48,0.21
octmnist,224,"UNI,UNI2",self_attention,512,1,0.9263,0.9839,0.0,0.0,15.59,0.22
octmnist,224,"Prov-GigaPath,Hibou-B",self_attention,512,1,0.9328,0.9842,0.0,0.0,15.63,0.21
octmnist,224,"Prov-GigaPath,CheXagent",self_attention,512,1,0.9367,0.9863,0.0,0.0,15.76,0.22
octmnist,224,"Prov-GigaPath,UNI2",self_attention,512,1,0.9284,0.9847,0.0,0.0,15.65,0.21
octmnist,224,"Hibou-B,CheXagent",self_attention,512,1,0.9325,0.9847,0.0,0.0,15.66,0.22
octmnist,224,"Hibou-B,UNI2",self_attention,512,1,0.9285,0.9817,0.0,0.0,15.45,0.22
octmnist,224,"CheXagent,UNI2",self_attention,512,1,0.9405,0.9869,0.0,0.0,15.61,0.22
octmnist,224,"BioMedCLIP,PubMedCLIP,CONCH",self_attention,512,1,0.9193,0.9794,0.0,0.0,15.7,0.21
octmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",self_attention,512,1,0.9213,0.9785,0.0,0.0,15.52,0.22
octmnist,224,"BioMedCLIP,PubMedCLIP,UNI",self_attention,512,1,0.9284,0.9808,0.0,0.0,15.86,0.21
octmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",self_attention,512,1,0.9272,0.9811,0.0,0.0,15.57,0.21
octmnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",self_attention,512,1,0.9232,0.9795,0.0,0.0,15.61,0.21
octmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",self_attention,512,1,0.9263,0.9812,0.0,0.0,15.62,0.22
octmnist,224,"BioMedCLIP,PubMedCLIP,UNI2",self_attention,512,1,0.9213,0.9794,0.0,0.0,15.76,0.21
octmnist,224,"BioMedCLIP,CONCH,rad-dino",self_attention,512,1,0.9222,0.9791,0.0,0.0,15.58,0.22
octmnist,224,"BioMedCLIP,CONCH,UNI",self_attention,512,1,0.9294,0.9816,0.0,0.0,15.65,0.22
octmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",self_attention,512,1,0.9285,0.9815,0.0,0.0,15.46,0.22
octmnist,224,"BioMedCLIP,CONCH,Hibou-B",self_attention,512,1,0.9282,0.9801,0.0,0.0,15.62,0.22
octmnist,224,"BioMedCLIP,CONCH,CheXagent",self_attention,512,1,0.9245,0.9802,0.0,0.0,15.32,0.21
octmnist,224,"BioMedCLIP,CONCH,UNI2",self_attention,512,1,0.9228,0.9795,0.0,0.0,15.83,0.21
octmnist,224,"BioMedCLIP,rad-dino,UNI",self_attention,512,1,0.9285,0.9817,0.0,0.0,15.55,0.21
octmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",self_attention,512,1,0.9266,0.9811,0.0,0.0,15.91,0.21
octmnist,224,"BioMedCLIP,rad-dino,Hibou-B",self_attention,512,1,0.9252,0.9792,0.0,0.0,15.47,0.21
octmnist,224,"BioMedCLIP,rad-dino,CheXagent",self_attention,512,1,0.9235,0.9795,0.0,0.0,15.63,0.21
octmnist,224,"BioMedCLIP,rad-dino,UNI2",self_attention,512,1,0.9241,0.9792,0.0,0.0,15.38,0.21
octmnist,224,"BioMedCLIP,UNI,Prov-GigaPath",self_attention,512,1,0.9296,0.9818,0.0,0.0,15.84,0.21
octmnist,224,"BioMedCLIP,UNI,Hibou-B",self_attention,512,1,0.928,0.9808,0.0,0.0,15.53,0.21
octmnist,224,"BioMedCLIP,UNI,CheXagent",self_attention,512,1,0.9255,0.9807,0.0,0.0,15.82,0.21
octmnist,224,"BioMedCLIP,UNI,UNI2",self_attention,512,1,0.927,0.9818,0.0,0.0,15.32,0.21
octmnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",self_attention,512,1,0.9266,0.9815,0.0,0.0,15.76,0.21
octmnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",self_attention,512,1,0.9284,0.9814,0.0,0.0,15.46,0.21
octmnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",self_attention,512,1,0.9261,0.9813,0.0,0.0,15.76,0.22
octmnist,224,"BioMedCLIP,Hibou-B,CheXagent",self_attention,512,1,0.9279,0.9816,0.0,0.0,15.55,0.21
octmnist,224,"BioMedCLIP,Hibou-B,UNI2",self_attention,512,1,0.9257,0.98,0.0,0.0,15.71,0.21
octmnist,224,"BioMedCLIP,CheXagent,UNI2",self_attention,512,1,0.9265,0.9814,0.0,0.0,15.48,0.21
octmnist,224,"PubMedCLIP,CONCH,rad-dino",self_attention,512,1,0.9265,0.9819,0.0,0.0,15.61,0.21
octmnist,224,"PubMedCLIP,CONCH,UNI",self_attention,512,1,0.9299,0.9833,0.0,0.0,15.41,0.21
octmnist,224,"PubMedCLIP,CONCH,Prov-GigaPath",self_attention,512,1,0.9316,0.9851,0.0,0.0,15.77,0.22
octmnist,224,"PubMedCLIP,CONCH,Hibou-B",self_attention,512,1,0.924,0.9811,0.0,0.0,15.39,0.21
octmnist,224,"PubMedCLIP,CONCH,CheXagent",self_attention,512,1,0.9337,0.9846,0.0,0.0,15.41,0.22
octmnist,224,"PubMedCLIP,CONCH,UNI2",self_attention,512,1,0.9277,0.983,0.0,0.0,15.41,0.21
octmnist,224,"PubMedCLIP,rad-dino,UNI",self_attention,512,1,0.9295,0.9837,0.0,0.0,15.53,0.21
octmnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath",self_attention,512,1,0.932,0.9847,0.0,0.0,16.04,0.21
octmnist,224,"PubMedCLIP,rad-dino,Hibou-B",self_attention,512,1,0.9265,0.982,0.0,0.0,15.32,0.21
octmnist,224,"PubMedCLIP,rad-dino,CheXagent",self_attention,512,1,0.9404,0.9876,0.0,0.0,15.92,0.21
octmnist,224,"PubMedCLIP,rad-dino,UNI2",self_attention,512,1,0.9352,0.985,0.0,0.0,15.36,0.21
octmnist,224,"PubMedCLIP,UNI,Prov-GigaPath",self_attention,512,1,0.9346,0.985,0.0,0.0,15.7,0.21
octmnist,224,"PubMedCLIP,UNI,Hibou-B",self_attention,512,1,0.9306,0.9845,0.0,0.0,15.48,0.21
octmnist,224,"PubMedCLIP,UNI,CheXagent",self_attention,512,1,0.9333,0.985,0.0,0.0,15.57,0.21
octmnist,224,"PubMedCLIP,UNI,UNI2",self_attention,512,1,0.9316,0.9839,0.0,0.0,15.25,0.21
octmnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B",self_attention,512,1,0.934,0.9844,0.0,0.0,15.86,0.21
octmnist,224,"PubMedCLIP,Prov-GigaPath,CheXagent",self_attention,512,1,0.9381,0.9875,0.0,0.0,15.71,0.21
octmnist,224,"PubMedCLIP,Prov-GigaPath,UNI2",self_attention,512,1,0.9344,0.9853,0.0,0.0,15.95,0.21
octmnist,224,"PubMedCLIP,Hibou-B,CheXagent",self_attention,512,1,0.9357,0.9861,0.0,0.0,15.61,0.22
octmnist,224,"PubMedCLIP,Hibou-B,UNI2",self_attention,512,1,0.9288,0.9829,0.0,0.0,15.8,0.21
octmnist,224,"PubMedCLIP,CheXagent,UNI2",self_attention,512,1,0.9396,0.9873,0.0,0.0,15.55,0.21
octmnist,224,"CONCH,rad-dino,UNI",self_attention,512,1,0.9312,0.9838,0.0,0.0,15.78,0.21
octmnist,224,"CONCH,rad-dino,Prov-GigaPath",self_attention,512,1,0.9335,0.9861,0.0,0.0,15.7,0.22
octmnist,224,"CONCH,rad-dino,Hibou-B",self_attention,512,1,0.9293,0.9827,0.0,0.0,15.55,0.21
octmnist,224,"CONCH,rad-dino,CheXagent",self_attention,512,1,0.9347,0.9851,0.0,0.0,15.29,0.22
octmnist,224,"CONCH,rad-dino,UNI2",self_attention,512,1,0.9299,0.9828,0.0,0.0,15.69,0.22
octmnist,224,"CONCH,UNI,Prov-GigaPath",self_attention,512,1,0.936,0.9862,0.0,0.0,15.62,0.21
octmnist,224,"CONCH,UNI,Hibou-B",self_attention,512,1,0.9316,0.9831,0.0,0.0,15.52,0.22
octmnist,224,"CONCH,UNI,CheXagent",self_attention,512,1,0.9369,0.9861,0.0,0.0,15.52,0.22
octmnist,224,"CONCH,UNI,UNI2",self_attention,512,1,0.933,0.9842,0.0,0.0,15.53,0.22
octmnist,224,"CONCH,Prov-GigaPath,Hibou-B",self_attention,512,1,0.9333,0.9845,0.0,0.0,15.69,0.21
octmnist,224,"CONCH,Prov-GigaPath,CheXagent",self_attention,512,1,0.9374,0.9861,0.0,0.0,15.79,0.21
octmnist,224,"CONCH,Prov-GigaPath,UNI2",self_attention,512,1,0.9345,0.9847,0.0,0.0,15.5,0.21
octmnist,224,"CONCH,Hibou-B,CheXagent",self_attention,512,1,0.9349,0.9857,0.0,0.0,15.55,0.22
octmnist,224,"CONCH,Hibou-B,UNI2",self_attention,512,1,0.9279,0.983,0.0,0.0,15.63,0.21
octmnist,224,"CONCH,CheXagent,UNI2",self_attention,512,1,0.9361,0.9863,0.0,0.0,15.42,0.22
octmnist,224,"rad-dino,UNI,Prov-GigaPath",self_attention,512,1,0.9323,0.9847,0.0,0.0,15.49,0.21
octmnist,224,"rad-dino,UNI,Hibou-B",self_attention,512,1,0.9321,0.9836,0.0,0.0,15.48,0.22
octmnist,224,"rad-dino,UNI,CheXagent",self_attention,512,1,0.937,0.9863,0.0,0.0,15.53,0.21
octmnist,224,"rad-dino,UNI,UNI2",self_attention,512,1,0.9328,0.985,0.0,0.0,15.44,0.22
octmnist,224,"rad-dino,Prov-GigaPath,Hibou-B",self_attention,512,1,0.9336,0.9843,0.0,0.0,15.79,0.21
octmnist,224,"rad-dino,Prov-GigaPath,CheXagent",self_attention,512,1,0.9381,0.9867,0.0,0.0,15.72,0.21
octmnist,224,"rad-dino,Prov-GigaPath,UNI2",self_attention,512,1,0.934,0.9861,0.0,0.0,15.94,0.21
octmnist,224,"rad-dino,Hibou-B,CheXagent",self_attention,512,1,0.9368,0.9852,0.0,0.0,15.36,0.22
octmnist,224,"rad-dino,Hibou-B,UNI2",self_attention,512,1,0.931,0.9831,0.0,0.0,15.81,0.21
octmnist,224,"rad-dino,CheXagent,UNI2",self_attention,512,1,0.9416,0.9878,0.0,0.0,15.4,0.22
octmnist,224,"UNI,Prov-GigaPath,Hibou-B",self_attention,512,1,0.9365,0.9843,0.0,0.0,15.94,0.21
octmnist,224,"UNI,Prov-GigaPath,CheXagent",self_attention,512,1,0.9367,0.986,0.0,0.0,15.47,0.22
octmnist,224,"UNI,Prov-GigaPath,UNI2",self_attention,512,1,0.9346,0.9858,0.0,0.0,15.63,0.22
octmnist,224,"UNI,Hibou-B,CheXagent",self_attention,512,1,0.9357,0.9856,0.0,0.0,15.43,0.21
octmnist,224,"UNI,Hibou-B,UNI2",self_attention,512,1,0.9293,0.9836,0.0,0.0,15.6,0.21
octmnist,224,"UNI,CheXagent,UNI2",self_attention,512,1,0.9358,0.986,0.0,0.0,15.49,0.22
octmnist,224,"Prov-GigaPath,Hibou-B,CheXagent",self_attention,512,1,0.9383,0.9858,0.0,0.0,15.74,0.22
octmnist,224,"Prov-GigaPath,Hibou-B,UNI2",self_attention,512,1,0.9334,0.9848,0.0,0.0,15.7,0.22
octmnist,224,"Prov-GigaPath,CheXagent,UNI2",self_attention,512,1,0.939,0.9864,0.0,0.0,15.76,0.21
octmnist,224,"Hibou-B,CheXagent,UNI2",self_attention,512,1,0.9368,0.9859,0.0,0.0,15.59,0.22
octmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,rad-dino",self_attention,512,1,0.9257,0.9785,0.0,0.0,15.8,0.22
octmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,UNI",self_attention,512,1,0.9319,0.9826,0.0,0.0,15.36,0.21
octmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,Prov-GigaPath",self_attention,512,1,0.9277,0.9819,0.0,0.0,15.77,0.22
octmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,Hibou-B",self_attention,512,1,0.925,0.9796,0.0,0.0,15.58,0.22
octmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,CheXagent",self_attention,512,1,0.9274,0.9817,0.0,0.0,15.83,0.22
octmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,UNI2",self_attention,512,1,0.9261,0.9812,0.0,0.0,15.47,0.21
octmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,UNI",self_attention,512,1,0.9286,0.9819,0.0,0.0,15.78,0.22
octmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,Prov-GigaPath",self_attention,512,1,0.9244,0.9793,0.0,0.0,15.76,0.21
