Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
organcmnist,224,BioMedCLIP,self_attention,512,1,0.9168,0.9968,0.0,0.0,7.94,0.12
organcmnist,224,PubMedCLIP,self_attention,512,1,0.9206,0.9974,0.0,0.0,7.37,0.11
organcmnist,224,CONCH,self_attention,512,1,0.8307,0.9896,0.0,0.0,7.9,0.11
organcmnist,224,rad-dino,self_attention,512,1,0.911,0.9964,0.0,0.0,7.72,0.11
organcmnist,224,UNI,self_attention,512,1,0.8666,0.9931,0.0,0.0,7.85,0.11
organcmnist,224,Prov-GigaPath,self_attention,512,1,0.8604,0.993,0.0,0.0,8.45,0.12
organcmnist,224,Hibou-B,self_attention,512,1,0.8829,0.9949,0.0,0.0,7.58,0.11
organcmnist,224,CheXagent,self_attention,512,1,0.9402,0.9975,0.0,0.0,7.16,0.11
organcmnist,224,UNI2,self_attention,512,1,0.888,0.9953,0.0,0.0,7.94,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP",self_attention,512,1,0.908,0.9973,0.0,0.0,7.6,0.11
organcmnist,224,"BioMedCLIP,CONCH",self_attention,512,1,0.9214,0.9968,0.0,0.0,7.64,0.11
organcmnist,224,"BioMedCLIP,rad-dino",self_attention,512,1,0.9118,0.9973,0.0,0.0,7.76,0.11
organcmnist,224,"BioMedCLIP,UNI",self_attention,512,1,0.9323,0.9976,0.0,0.0,7.72,0.11
organcmnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,512,1,0.9101,0.9966,0.0,0.0,8.03,0.11
organcmnist,224,"BioMedCLIP,Hibou-B",self_attention,512,1,0.916,0.9975,0.0,0.0,7.58,0.11
organcmnist,224,"BioMedCLIP,CheXagent",self_attention,512,1,0.9222,0.9972,0.0,0.0,7.73,0.11
organcmnist,224,"BioMedCLIP,UNI2",self_attention,512,1,0.9122,0.9965,0.0,0.0,7.6,0.11
organcmnist,224,"PubMedCLIP,CONCH",self_attention,512,1,0.8712,0.9944,0.0,0.0,7.74,0.11
organcmnist,224,"PubMedCLIP,rad-dino",self_attention,512,1,0.9365,0.9981,0.0,0.0,7.56,0.11
organcmnist,224,"PubMedCLIP,UNI",self_attention,512,1,0.8658,0.9932,0.0,0.0,7.96,0.11
organcmnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,512,1,0.8737,0.9947,0.0,0.0,8.31,0.11
organcmnist,224,"PubMedCLIP,Hibou-B",self_attention,512,1,0.8867,0.996,0.0,0.0,7.26,0.11
organcmnist,224,"PubMedCLIP,CheXagent",self_attention,512,1,0.9356,0.9984,0.0,0.0,7.15,0.11
organcmnist,224,"PubMedCLIP,UNI2",self_attention,512,1,0.9114,0.9973,0.0,0.0,7.94,0.11
organcmnist,224,"CONCH,rad-dino",self_attention,512,1,0.9139,0.9965,0.0,0.0,7.59,0.11
organcmnist,224,"CONCH,UNI",self_attention,512,1,0.87,0.9934,0.0,0.0,7.79,0.11
organcmnist,224,"CONCH,Prov-GigaPath",self_attention,512,1,0.8884,0.9954,0.0,0.0,8.24,0.11
organcmnist,224,"CONCH,Hibou-B",self_attention,512,1,0.8746,0.9948,0.0,0.0,7.51,0.12
organcmnist,224,"CONCH,CheXagent",self_attention,512,1,0.921,0.9971,0.0,0.0,7.3,0.11
organcmnist,224,"CONCH,UNI2",self_attention,512,1,0.8829,0.9946,0.0,0.0,7.88,0.11
organcmnist,224,"rad-dino,UNI",self_attention,512,1,0.8809,0.9951,0.0,0.0,7.61,0.11
organcmnist,224,"rad-dino,Prov-GigaPath",self_attention,512,1,0.8913,0.9954,0.0,0.0,8.16,0.11
organcmnist,224,"rad-dino,Hibou-B",self_attention,512,1,0.9043,0.9963,0.0,0.0,7.42,0.11
organcmnist,224,"rad-dino,CheXagent",self_attention,512,1,0.9507,0.9987,0.0,0.0,7.15,0.11
organcmnist,224,"rad-dino,UNI2",self_attention,512,1,0.9164,0.9975,0.0,0.0,7.64,0.11
organcmnist,224,"UNI,Prov-GigaPath",self_attention,512,1,0.8901,0.9955,0.0,0.0,7.94,0.11
organcmnist,224,"UNI,Hibou-B",self_attention,512,1,0.8829,0.9949,0.0,0.0,7.48,0.11
organcmnist,224,"UNI,CheXagent",self_attention,512,1,0.8955,0.9955,0.0,0.0,7.64,0.11
organcmnist,224,"UNI,UNI2",self_attention,512,1,0.8825,0.9946,0.0,0.0,7.91,0.11
organcmnist,224,"Prov-GigaPath,Hibou-B",self_attention,512,1,0.9076,0.9958,0.0,0.0,7.84,0.11
organcmnist,224,"Prov-GigaPath,CheXagent",self_attention,512,1,0.9051,0.9961,0.0,0.0,7.97,0.11
organcmnist,224,"Prov-GigaPath,UNI2",self_attention,512,1,0.8905,0.9957,0.0,0.0,8.43,0.11
organcmnist,224,"Hibou-B,CheXagent",self_attention,512,1,0.921,0.9975,0.0,0.0,7.25,0.1
organcmnist,224,"Hibou-B,UNI2",self_attention,512,1,0.898,0.9961,0.0,0.0,7.5,0.11
organcmnist,224,"CheXagent,UNI2",self_attention,512,1,0.9373,0.9981,0.0,0.0,7.42,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,CONCH",self_attention,512,1,0.9218,0.9973,0.0,0.0,7.83,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",self_attention,512,1,0.9114,0.9966,0.0,0.0,7.81,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,UNI",self_attention,512,1,0.9252,0.9973,0.0,0.0,7.56,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",self_attention,512,1,0.9126,0.9973,0.0,0.0,7.95,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",self_attention,512,1,0.916,0.9972,0.0,0.0,7.73,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",self_attention,512,1,0.9243,0.9976,0.0,0.0,7.73,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,UNI2",self_attention,512,1,0.9214,0.9971,0.0,0.0,7.61,0.11
organcmnist,224,"BioMedCLIP,CONCH,rad-dino",self_attention,512,1,0.9176,0.9972,0.0,0.0,7.7,0.11
organcmnist,224,"BioMedCLIP,CONCH,UNI",self_attention,512,1,0.9285,0.9978,0.0,0.0,7.56,0.11
organcmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",self_attention,512,1,0.9143,0.9962,0.0,0.0,7.76,0.11
organcmnist,224,"BioMedCLIP,CONCH,Hibou-B",self_attention,512,1,0.9185,0.9972,0.0,0.0,7.54,0.11
organcmnist,224,"BioMedCLIP,CONCH,CheXagent",self_attention,512,1,0.9135,0.997,0.0,0.0,7.78,0.11
organcmnist,224,"BioMedCLIP,CONCH,UNI2",self_attention,512,1,0.9164,0.9972,0.0,0.0,7.66,0.11
organcmnist,224,"BioMedCLIP,rad-dino,UNI",self_attention,512,1,0.9068,0.997,0.0,0.0,7.55,0.11
organcmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",self_attention,512,1,0.9047,0.9968,0.0,0.0,7.94,0.11
organcmnist,224,"BioMedCLIP,rad-dino,Hibou-B",self_attention,512,1,0.9235,0.9975,0.0,0.0,7.62,0.11
organcmnist,224,"BioMedCLIP,rad-dino,CheXagent",self_attention,512,1,0.9273,0.9975,0.0,0.0,7.75,0.11
organcmnist,224,"BioMedCLIP,rad-dino,UNI2",self_attention,512,1,0.9235,0.9975,0.0,0.0,7.81,0.11
organcmnist,224,"BioMedCLIP,UNI,Prov-GigaPath",self_attention,512,1,0.9214,0.9973,0.0,0.0,7.64,0.11
organcmnist,224,"BioMedCLIP,UNI,Hibou-B",self_attention,512,1,0.9281,0.9977,0.0,0.0,7.68,0.11
organcmnist,224,"BioMedCLIP,UNI,CheXagent",self_attention,512,1,0.9252,0.9977,0.0,0.0,7.67,0.11
organcmnist,224,"BioMedCLIP,UNI,UNI2",self_attention,512,1,0.9147,0.9972,0.0,0.0,7.76,0.11
organcmnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",self_attention,512,1,0.9168,0.9977,0.0,0.0,7.82,0.11
organcmnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",self_attention,512,1,0.9143,0.997,0.0,0.0,7.77,0.11
organcmnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",self_attention,512,1,0.9026,0.9966,0.0,0.0,7.73,0.11
organcmnist,224,"BioMedCLIP,Hibou-B,CheXagent",self_attention,512,1,0.9239,0.9975,0.0,0.0,7.47,0.11
organcmnist,224,"BioMedCLIP,Hibou-B,UNI2",self_attention,512,1,0.9227,0.9977,0.0,0.0,7.68,0.11
organcmnist,224,"BioMedCLIP,CheXagent,UNI2",self_attention,512,1,0.911,0.9974,0.0,0.0,7.64,0.11
organcmnist,224,"PubMedCLIP,CONCH,rad-dino",self_attention,512,1,0.9055,0.9966,0.0,0.0,7.38,0.11
organcmnist,224,"PubMedCLIP,CONCH,UNI",self_attention,512,1,0.8717,0.9936,0.0,0.0,7.82,0.11
organcmnist,224,"PubMedCLIP,CONCH,Prov-GigaPath",self_attention,512,1,0.8871,0.9953,0.0,0.0,8.25,0.12
organcmnist,224,"PubMedCLIP,CONCH,Hibou-B",self_attention,512,1,0.8976,0.9963,0.0,0.0,7.36,0.11
organcmnist,224,"PubMedCLIP,CONCH,CheXagent",self_attention,512,1,0.9277,0.9975,0.0,0.0,7.25,0.11
organcmnist,224,"PubMedCLIP,CONCH,UNI2",self_attention,512,1,0.9013,0.9954,0.0,0.0,7.85,0.11
organcmnist,224,"PubMedCLIP,rad-dino,UNI",self_attention,512,1,0.8992,0.9954,0.0,0.0,7.56,0.11
organcmnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath",self_attention,512,1,0.8976,0.9961,0.0,0.0,8.12,0.11
organcmnist,224,"PubMedCLIP,rad-dino,Hibou-B",self_attention,512,1,0.9185,0.9976,0.0,0.0,7.4,0.11
organcmnist,224,"PubMedCLIP,rad-dino,CheXagent",self_attention,512,1,0.9423,0.9982,0.0,0.0,6.97,0.11
organcmnist,224,"PubMedCLIP,rad-dino,UNI2",self_attention,512,1,0.916,0.9969,0.0,0.0,7.57,0.11
organcmnist,224,"PubMedCLIP,UNI,Prov-GigaPath",self_attention,512,1,0.9034,0.996,0.0,0.0,7.96,0.11
organcmnist,224,"PubMedCLIP,UNI,Hibou-B",self_attention,512,1,0.8754,0.9939,0.0,0.0,7.67,0.11
organcmnist,224,"PubMedCLIP,UNI,CheXagent",self_attention,512,1,0.8984,0.9962,0.0,0.0,7.65,0.11
organcmnist,224,"PubMedCLIP,UNI,UNI2",self_attention,512,1,0.8729,0.9942,0.0,0.0,7.76,0.11
organcmnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B",self_attention,512,1,0.8959,0.996,0.0,0.0,7.73,0.11
organcmnist,224,"PubMedCLIP,Prov-GigaPath,CheXagent",self_attention,512,1,0.9101,0.9968,0.0,0.0,7.94,0.11
organcmnist,224,"PubMedCLIP,Prov-GigaPath,UNI2",self_attention,512,1,0.888,0.9959,0.0,0.0,8.19,0.11
organcmnist,224,"PubMedCLIP,Hibou-B,CheXagent",self_attention,512,1,0.9285,0.998,0.0,0.0,7.24,0.11
organcmnist,224,"PubMedCLIP,Hibou-B,UNI2",self_attention,512,1,0.9059,0.9966,0.0,0.0,7.55,0.11
organcmnist,224,"PubMedCLIP,CheXagent,UNI2",self_attention,512,1,0.9461,0.9985,0.0,0.0,7.41,0.11
organcmnist,224,"CONCH,rad-dino,UNI",self_attention,512,1,0.8733,0.9936,0.0,0.0,7.78,0.11
organcmnist,224,"CONCH,rad-dino,Prov-GigaPath",self_attention,512,1,0.9064,0.9966,0.0,0.0,7.96,0.11
organcmnist,224,"CONCH,rad-dino,Hibou-B",self_attention,512,1,0.8959,0.9964,0.0,0.0,7.44,0.11
organcmnist,224,"CONCH,rad-dino,CheXagent",self_attention,512,1,0.9289,0.9977,0.0,0.0,7.13,0.11
organcmnist,224,"CONCH,rad-dino,UNI2",self_attention,512,1,0.9022,0.9962,0.0,0.0,7.71,0.11
organcmnist,224,"CONCH,UNI,Prov-GigaPath",self_attention,512,1,0.8804,0.995,0.0,0.0,7.92,0.11
organcmnist,224,"CONCH,UNI,Hibou-B",self_attention,512,1,0.8859,0.9951,0.0,0.0,7.7,0.11
organcmnist,224,"CONCH,UNI,CheXagent",self_attention,512,1,0.9101,0.9964,0.0,0.0,7.55,0.12
organcmnist,224,"CONCH,UNI,UNI2",self_attention,512,1,0.8767,0.9944,0.0,0.0,7.69,0.11
organcmnist,224,"CONCH,Prov-GigaPath,Hibou-B",self_attention,512,1,0.8871,0.9955,0.0,0.0,7.95,0.11
organcmnist,224,"CONCH,Prov-GigaPath,CheXagent",self_attention,512,1,0.9227,0.997,0.0,0.0,8.0,0.11
organcmnist,224,"CONCH,Prov-GigaPath,UNI2",self_attention,512,1,0.8888,0.9952,0.0,0.0,8.28,0.11
organcmnist,224,"CONCH,Hibou-B,CheXagent",self_attention,512,1,0.9072,0.9972,0.0,0.0,7.31,0.11
organcmnist,224,"CONCH,Hibou-B,UNI2",self_attention,512,1,0.8871,0.9956,0.0,0.0,7.56,0.11
organcmnist,224,"CONCH,CheXagent,UNI2",self_attention,512,1,0.9231,0.9972,0.0,0.0,7.5,0.13
organcmnist,224,"rad-dino,UNI,Prov-GigaPath",self_attention,512,1,0.8988,0.9958,0.0,0.0,8.05,0.13
organcmnist,224,"rad-dino,UNI,Hibou-B",self_attention,512,1,0.8951,0.9954,0.0,0.0,7.71,0.11
organcmnist,224,"rad-dino,UNI,CheXagent",self_attention,512,1,0.9051,0.9964,0.0,0.0,7.55,0.11
organcmnist,224,"rad-dino,UNI,UNI2",self_attention,512,1,0.9034,0.9955,0.0,0.0,7.83,0.11
organcmnist,224,"rad-dino,Prov-GigaPath,Hibou-B",self_attention,512,1,0.9009,0.9963,0.0,0.0,7.93,0.11
organcmnist,224,"rad-dino,Prov-GigaPath,CheXagent",self_attention,512,1,0.9185,0.997,0.0,0.0,7.87,0.11
organcmnist,224,"rad-dino,Prov-GigaPath,UNI2",self_attention,512,1,0.8959,0.9961,0.0,0.0,8.28,0.11
organcmnist,224,"rad-dino,Hibou-B,CheXagent",self_attention,512,1,0.921,0.9976,0.0,0.0,7.04,0.12
organcmnist,224,"rad-dino,Hibou-B,UNI2",self_attention,512,1,0.9151,0.9972,0.0,0.0,7.33,0.11
organcmnist,224,"rad-dino,CheXagent,UNI2",self_attention,512,1,0.9327,0.9983,0.0,0.0,7.38,0.11
organcmnist,224,"UNI,Prov-GigaPath,Hibou-B",self_attention,512,1,0.9034,0.9962,0.0,0.0,7.83,0.11
organcmnist,224,"UNI,Prov-GigaPath,CheXagent",self_attention,512,1,0.9018,0.9964,0.0,0.0,7.76,0.11
organcmnist,224,"UNI,Prov-GigaPath,UNI2",self_attention,512,1,0.8884,0.9954,0.0,0.0,8.13,0.11
organcmnist,224,"UNI,Hibou-B,CheXagent",self_attention,512,1,0.8984,0.9959,0.0,0.0,7.64,0.11
organcmnist,224,"UNI,Hibou-B,UNI2",self_attention,512,1,0.8821,0.9943,0.0,0.0,7.75,0.11
organcmnist,224,"UNI,CheXagent,UNI2",self_attention,512,1,0.9151,0.9965,0.0,0.0,7.7,0.11
organcmnist,224,"Prov-GigaPath,Hibou-B,CheXagent",self_attention,512,1,0.9231,0.9973,0.0,0.0,7.81,0.11
organcmnist,224,"Prov-GigaPath,Hibou-B,UNI2",self_attention,512,1,0.9038,0.9963,0.0,0.0,7.78,0.11
organcmnist,224,"Prov-GigaPath,CheXagent,UNI2",self_attention,512,1,0.9097,0.9967,0.0,0.0,8.13,0.11
organcmnist,224,"Hibou-B,CheXagent,UNI2",self_attention,512,1,0.9281,0.9978,0.0,0.0,7.35,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,rad-dino",self_attention,512,1,0.9072,0.9966,0.0,0.0,7.8,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,UNI",self_attention,512,1,0.9243,0.9976,0.0,0.0,7.75,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,Prov-GigaPath",self_attention,512,1,0.9022,0.9961,0.0,0.0,7.85,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,Hibou-B",self_attention,512,1,0.9185,0.997,0.0,0.0,7.69,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,CheXagent",self_attention,512,1,0.9181,0.9968,0.0,0.0,7.53,0.11
organcmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,UNI2",self_attention,512,1,0.9013,0.9964,0.0,0.0,7.59,0.11
