Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
pathmnist,224,BioMedCLIP,self_attention,512,1,0.9751,0.9994,0.0,0.0,21.46,0.28
pathmnist,224,PubMedCLIP,self_attention,512,1,0.9692,0.9991,0.0,0.0,21.73,0.28
pathmnist,224,CONCH,self_attention,512,1,0.9902,0.9999,0.0,0.0,19.68,0.28
pathmnist,224,rad-dino,self_attention,512,1,0.9146,0.9943,0.0,0.0,21.78,0.29
pathmnist,224,UNI,self_attention,512,1,0.9946,1.0,0.0,0.0,20.3,0.28
pathmnist,224,Prov-GigaPath,self_attention,512,1,0.9812,0.9995,0.0,0.0,21.73,0.28
pathmnist,224,Hibou-B,self_attention,512,1,0.9951,1.0,0.0,0.0,20.12,0.28
pathmnist,224,CheXagent,self_attention,512,1,0.9895,0.9998,0.0,0.0,20.64,0.29
pathmnist,224,UNI2,self_attention,512,1,0.996,0.9999,0.0,0.0,19.79,0.29
pathmnist,224,"BioMedCLIP,PubMedCLIP",self_attention,512,1,0.975,0.9993,0.0,0.0,21.22,0.28
pathmnist,224,"BioMedCLIP,CONCH",self_attention,512,1,0.9852,0.9997,0.0,0.0,21.6,0.28
pathmnist,224,"BioMedCLIP,rad-dino",self_attention,512,1,0.9758,0.9993,0.0,0.0,21.38,0.28
pathmnist,224,"BioMedCLIP,UNI",self_attention,512,1,0.9904,0.9999,0.0,0.0,21.09,0.28
pathmnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,512,1,0.9749,0.9993,0.0,0.0,21.26,0.28
pathmnist,224,"BioMedCLIP,Hibou-B",self_attention,512,1,0.9869,0.9998,0.0,0.0,20.81,0.28
pathmnist,224,"BioMedCLIP,CheXagent",self_attention,512,1,0.9763,0.9994,0.0,0.0,21.2,0.27
pathmnist,224,"BioMedCLIP,UNI2",self_attention,512,1,0.984,0.9997,0.0,0.0,21.48,0.28
pathmnist,224,"PubMedCLIP,CONCH",self_attention,512,1,0.9913,0.9999,0.0,0.0,19.77,0.28
pathmnist,224,"PubMedCLIP,rad-dino",self_attention,512,1,0.9565,0.9984,0.0,0.0,21.8,0.28
pathmnist,224,"PubMedCLIP,UNI",self_attention,512,1,0.9942,0.9999,0.0,0.0,20.29,0.27
pathmnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,512,1,0.9823,0.9995,0.0,0.0,21.62,0.28
pathmnist,224,"PubMedCLIP,Hibou-B",self_attention,512,1,0.9947,0.9999,0.0,0.0,20.24,0.27
pathmnist,224,"PubMedCLIP,CheXagent",self_attention,512,1,0.9876,0.9998,0.0,0.0,20.84,0.27
pathmnist,224,"PubMedCLIP,UNI2",self_attention,512,1,0.9956,1.0,0.0,0.0,19.95,0.27
pathmnist,224,"CONCH,rad-dino",self_attention,512,1,0.9907,0.9999,0.0,0.0,20.13,0.28
pathmnist,224,"CONCH,UNI",self_attention,512,1,0.9951,0.9999,0.0,0.0,20.0,0.27
pathmnist,224,"CONCH,Prov-GigaPath",self_attention,512,1,0.9907,0.9998,0.0,0.0,20.43,0.27
pathmnist,224,"CONCH,Hibou-B",self_attention,512,1,0.9944,0.9999,0.0,0.0,19.8,0.27
pathmnist,224,"CONCH,CheXagent",self_attention,512,1,0.9917,0.9999,0.0,0.0,19.82,0.27
pathmnist,224,"CONCH,UNI2",self_attention,512,1,0.9935,1.0,0.0,0.0,19.51,0.26
pathmnist,224,"rad-dino,UNI",self_attention,512,1,0.9948,0.9999,0.0,0.0,20.04,0.27
pathmnist,224,"rad-dino,Prov-GigaPath",self_attention,512,1,0.9774,0.9994,0.0,0.0,21.92,0.27
pathmnist,224,"rad-dino,Hibou-B",self_attention,512,1,0.995,1.0,0.0,0.0,20.3,0.27
pathmnist,224,"rad-dino,CheXagent",self_attention,512,1,0.981,0.9996,0.0,0.0,21.35,0.28
pathmnist,224,"rad-dino,UNI2",self_attention,512,1,0.9948,0.9999,0.0,0.0,20.49,0.28
pathmnist,224,"UNI,Prov-GigaPath",self_attention,512,1,0.9944,0.9999,0.0,0.0,20.32,0.28
pathmnist,224,"UNI,Hibou-B",self_attention,512,1,0.9949,0.9999,0.0,0.0,20.1,0.27
pathmnist,224,"UNI,CheXagent",self_attention,512,1,0.9949,0.9999,0.0,0.0,20.16,0.27
pathmnist,224,"UNI,UNI2",self_attention,512,1,0.9953,0.9999,0.0,0.0,20.39,0.27
pathmnist,224,"Prov-GigaPath,Hibou-B",self_attention,512,1,0.9939,0.9999,0.0,0.0,20.44,0.27
pathmnist,224,"Prov-GigaPath,CheXagent",self_attention,512,1,0.9856,0.9998,0.0,0.0,21.17,0.28
pathmnist,224,"Prov-GigaPath,UNI2",self_attention,512,1,0.9943,0.9999,0.0,0.0,20.58,0.29
pathmnist,224,"Hibou-B,CheXagent",self_attention,512,1,0.9954,1.0,0.0,0.0,19.87,0.27
pathmnist,224,"Hibou-B,UNI2",self_attention,512,1,0.9957,1.0,0.0,0.0,19.81,0.27
pathmnist,224,"CheXagent,UNI2",self_attention,512,1,0.9958,1.0,0.0,0.0,19.61,0.28
pathmnist,224,"BioMedCLIP,PubMedCLIP,CONCH",self_attention,512,1,0.9845,0.9997,0.0,0.0,21.12,0.28
pathmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",self_attention,512,1,0.9737,0.9993,0.0,0.0,21.09,0.29
pathmnist,224,"BioMedCLIP,PubMedCLIP,UNI",self_attention,512,1,0.9871,0.9998,0.0,0.0,21.2,0.28
pathmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",self_attention,512,1,0.9738,0.9992,0.0,0.0,21.01,0.29
pathmnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",self_attention,512,1,0.9885,0.9998,0.0,0.0,21.05,0.29
pathmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",self_attention,512,1,0.977,0.9994,0.0,0.0,21.4,0.3
pathmnist,224,"BioMedCLIP,PubMedCLIP,UNI2",self_attention,512,1,0.9808,0.9996,0.0,0.0,21.32,0.3
pathmnist,224,"BioMedCLIP,CONCH,rad-dino",self_attention,512,1,0.9848,0.9998,0.0,0.0,21.1,0.28
pathmnist,224,"BioMedCLIP,CONCH,UNI",self_attention,512,1,0.9903,0.9998,0.0,0.0,20.92,0.28
pathmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",self_attention,512,1,0.9858,0.9997,0.0,0.0,21.09,0.27
pathmnist,224,"BioMedCLIP,CONCH,Hibou-B",self_attention,512,1,0.9903,0.9998,0.0,0.0,20.81,0.28
pathmnist,224,"BioMedCLIP,CONCH,CheXagent",self_attention,512,1,0.9861,0.9998,0.0,0.0,20.97,0.28
pathmnist,224,"BioMedCLIP,CONCH,UNI2",self_attention,512,1,0.9862,0.9997,0.0,0.0,21.05,0.28
pathmnist,224,"BioMedCLIP,rad-dino,UNI",self_attention,512,1,0.9907,0.9998,0.0,0.0,21.14,0.28
pathmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",self_attention,512,1,0.9747,0.9994,0.0,0.0,21.45,0.28
pathmnist,224,"BioMedCLIP,rad-dino,Hibou-B",self_attention,512,1,0.9874,0.9998,0.0,0.0,21.13,0.28
pathmnist,224,"BioMedCLIP,rad-dino,CheXagent",self_attention,512,1,0.9761,0.9994,0.0,0.0,21.49,0.28
pathmnist,224,"BioMedCLIP,rad-dino,UNI2",self_attention,512,1,0.9826,0.9996,0.0,0.0,21.53,0.29
pathmnist,224,"BioMedCLIP,UNI,Prov-GigaPath",self_attention,512,1,0.9899,0.9998,0.0,0.0,21.08,0.27
pathmnist,224,"BioMedCLIP,UNI,Hibou-B",self_attention,512,1,0.9921,0.9998,0.0,0.0,20.8,0.28
pathmnist,224,"BioMedCLIP,UNI,CheXagent",self_attention,512,1,0.9883,0.9998,0.0,0.0,21.27,0.28
pathmnist,224,"BioMedCLIP,UNI,UNI2",self_attention,512,1,0.9924,0.9998,0.0,0.0,20.76,0.28
pathmnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",self_attention,512,1,0.9882,0.9998,0.0,0.0,21.08,0.27
pathmnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",self_attention,512,1,0.9775,0.9994,0.0,0.0,21.34,0.28
pathmnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",self_attention,512,1,0.983,0.9996,0.0,0.0,21.5,0.28
pathmnist,224,"BioMedCLIP,Hibou-B,CheXagent",self_attention,512,1,0.9881,0.9998,0.0,0.0,21.48,0.28
pathmnist,224,"BioMedCLIP,Hibou-B,UNI2",self_attention,512,1,0.9915,0.9998,0.0,0.0,21.08,0.27
