Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
retinamnist,224,BioMedCLIP,self_attention,512,1,0.5583,0.807,0.0,0.0,1.91,0.04
retinamnist,224,PubMedCLIP,self_attention,512,1,0.5667,0.7992,0.0,0.0,1.98,0.04
retinamnist,224,CONCH,self_attention,512,1,0.5917,0.8009,0.0,0.0,1.87,0.04
retinamnist,224,rad-dino,self_attention,512,1,0.5167,0.7795,0.0,0.0,2.0,0.04
retinamnist,224,UNI,self_attention,512,1,0.575,0.8347,0.0,0.0,1.94,0.04
retinamnist,224,Prov-GigaPath,self_attention,512,1,0.5167,0.7922,0.0,0.0,1.83,0.04
retinamnist,224,Hibou-B,self_attention,512,1,0.5667,0.8361,0.0,0.0,1.84,0.04
retinamnist,224,CheXagent,self_attention,512,1,0.65,0.8424,0.0,0.0,1.8,0.03
retinamnist,224,UNI2,self_attention,512,1,0.6,0.8408,0.0,0.0,1.83,0.03
retinamnist,224,"BioMedCLIP,PubMedCLIP",self_attention,512,1,0.525,0.8182,0.0,0.0,1.87,0.04
retinamnist,224,"BioMedCLIP,CONCH",self_attention,512,1,0.5667,0.8044,0.0,0.0,1.84,0.04
retinamnist,224,"BioMedCLIP,rad-dino",self_attention,512,1,0.6083,0.8137,0.0,0.0,1.87,0.04
retinamnist,224,"BioMedCLIP,UNI",self_attention,512,1,0.5917,0.849,0.0,0.0,1.85,0.04
retinamnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,512,1,0.575,0.7977,0.0,0.0,1.92,0.04
retinamnist,224,"BioMedCLIP,Hibou-B",self_attention,512,1,0.5583,0.8361,0.0,0.0,1.93,0.04
retinamnist,224,"BioMedCLIP,CheXagent",self_attention,512,1,0.575,0.8286,0.0,0.0,1.83,0.04
retinamnist,224,"BioMedCLIP,UNI2",self_attention,512,1,0.5667,0.8069,0.0,0.0,1.85,0.04
retinamnist,224,"PubMedCLIP,CONCH",self_attention,512,1,0.5833,0.821,0.0,0.0,1.85,0.04
retinamnist,224,"PubMedCLIP,rad-dino",self_attention,512,1,0.5833,0.8086,0.0,0.0,1.89,0.04
retinamnist,224,"PubMedCLIP,UNI",self_attention,512,1,0.6,0.8682,0.0,0.0,1.86,0.04
retinamnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,512,1,0.5667,0.8158,0.0,0.0,1.83,0.03
retinamnist,224,"PubMedCLIP,Hibou-B",self_attention,512,1,0.6167,0.8259,0.0,0.0,1.86,0.04
retinamnist,224,"PubMedCLIP,CheXagent",self_attention,512,1,0.625,0.852,0.0,0.0,1.81,0.04
retinamnist,224,"PubMedCLIP,UNI2",self_attention,512,1,0.6167,0.8331,0.0,0.0,1.82,0.04
retinamnist,224,"CONCH,rad-dino",self_attention,512,1,0.6167,0.8023,0.0,0.0,1.87,0.04
retinamnist,224,"CONCH,UNI",self_attention,512,1,0.6333,0.87,0.0,0.0,1.86,0.04
retinamnist,224,"CONCH,Prov-GigaPath",self_attention,512,1,0.5833,0.8163,0.0,0.0,1.8,0.03
retinamnist,224,"CONCH,Hibou-B",self_attention,512,1,0.6,0.8269,0.0,0.0,1.84,0.03
retinamnist,224,"CONCH,CheXagent",self_attention,512,1,0.6083,0.8241,0.0,0.0,1.82,0.03
retinamnist,224,"CONCH,UNI2",self_attention,512,1,0.6083,0.8138,0.0,0.0,1.92,0.04
retinamnist,224,"rad-dino,UNI",self_attention,512,1,0.6333,0.8572,0.0,0.0,1.86,0.03
retinamnist,224,"rad-dino,Prov-GigaPath",self_attention,512,1,0.5333,0.8141,0.0,0.0,1.82,0.04
retinamnist,224,"rad-dino,Hibou-B",self_attention,512,1,0.6333,0.8537,0.0,0.0,1.85,0.04
retinamnist,224,"rad-dino,CheXagent",self_attention,512,1,0.5917,0.8421,0.0,0.0,1.89,0.03
retinamnist,224,"rad-dino,UNI2",self_attention,512,1,0.625,0.843,0.0,0.0,1.86,0.03
retinamnist,224,"UNI,Prov-GigaPath",self_attention,512,1,0.5917,0.8416,0.0,0.0,1.92,0.04
retinamnist,224,"UNI,Hibou-B",self_attention,512,1,0.65,0.8585,0.0,0.0,1.86,0.03
retinamnist,224,"UNI,CheXagent",self_attention,512,1,0.5833,0.8236,0.0,0.0,1.92,0.03
retinamnist,224,"UNI,UNI2",self_attention,512,1,0.6167,0.8731,0.0,0.0,1.84,0.03
retinamnist,224,"Prov-GigaPath,Hibou-B",self_attention,512,1,0.65,0.8557,0.0,0.0,1.81,0.04
retinamnist,224,"Prov-GigaPath,CheXagent",self_attention,512,1,0.5917,0.8219,0.0,0.0,1.81,0.03
retinamnist,224,"Prov-GigaPath,UNI2",self_attention,512,1,0.575,0.8141,0.0,0.0,1.81,0.03
retinamnist,224,"Hibou-B,CheXagent",self_attention,512,1,0.65,0.8471,0.0,0.0,1.83,0.03
retinamnist,224,"Hibou-B,UNI2",self_attention,512,1,0.6417,0.8519,0.0,0.0,1.83,0.04
