Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
breastmnist,224,BioMedCLIP,self_attention,768,1,0.9231,0.949,0.0,0.0,0.5,0.02
breastmnist,224,PubMedCLIP,self_attention,768,1,0.9103,0.9549,0.0,0.0,0.45,0.01
breastmnist,224,CONCH,self_attention,768,1,0.9231,0.9574,0.0,0.0,0.47,0.01
breastmnist,224,rad-dino,self_attention,768,1,0.8718,0.9114,0.0,0.0,0.47,0.02
breastmnist,224,UNI,self_attention,768,1,0.8974,0.9741,0.0,0.0,0.46,0.02
breastmnist,224,Prov-GigaPath,self_attention,768,1,0.8462,0.9332,0.0,0.0,0.47,0.01
breastmnist,224,Hibou-B,self_attention,768,1,0.8974,0.944,0.0,0.0,0.46,0.02
breastmnist,224,CheXagent,self_attention,768,1,0.8974,0.9632,0.0,0.0,0.46,0.01
breastmnist,224,UNI2,self_attention,768,1,0.8846,0.9315,0.0,0.0,0.46,0.01
breastmnist,224,"BioMedCLIP,PubMedCLIP",self_attention,768,1,0.9103,0.939,0.0,0.0,0.46,0.02
breastmnist,224,"BioMedCLIP,CONCH",self_attention,768,1,0.9231,0.9357,0.0,0.0,0.45,0.02
breastmnist,224,"BioMedCLIP,rad-dino",self_attention,768,1,0.9103,0.9206,0.0,0.0,0.45,0.02
breastmnist,224,"BioMedCLIP,UNI",self_attention,768,1,0.9359,0.9215,0.0,0.0,0.46,0.02
breastmnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,768,1,0.8974,0.9273,0.0,0.0,0.45,0.02
breastmnist,224,"BioMedCLIP,Hibou-B",self_attention,768,1,0.8974,0.9265,0.0,0.0,0.46,0.01
breastmnist,224,"BioMedCLIP,CheXagent",self_attention,768,1,0.9359,0.9373,0.0,0.0,0.46,0.01
breastmnist,224,"BioMedCLIP,UNI2",self_attention,768,1,0.9231,0.934,0.0,0.0,0.46,0.02
breastmnist,224,"PubMedCLIP,CONCH",self_attention,768,1,0.9103,0.9457,0.0,0.0,0.46,0.01
breastmnist,224,"PubMedCLIP,rad-dino",self_attention,768,1,0.9487,0.9457,0.0,0.0,0.47,0.02
breastmnist,224,"PubMedCLIP,UNI",self_attention,768,1,0.8846,0.9582,0.0,0.0,0.47,0.01
breastmnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,768,1,0.859,0.8839,0.0,0.0,0.47,0.02
breastmnist,224,"PubMedCLIP,Hibou-B",self_attention,768,1,0.8718,0.9457,0.0,0.0,0.46,0.02
breastmnist,224,"PubMedCLIP,CheXagent",self_attention,768,1,0.8974,0.9566,0.0,0.0,0.46,0.01
breastmnist,224,"PubMedCLIP,UNI2",self_attention,768,1,0.859,0.9357,0.0,0.0,0.46,0.02
breastmnist,224,"CONCH,rad-dino",self_attention,768,1,0.9487,0.9674,0.0,0.0,0.47,0.02
breastmnist,224,"CONCH,UNI",self_attention,768,1,0.9231,0.985,0.0,0.0,0.46,0.01
breastmnist,224,"CONCH,Prov-GigaPath",self_attention,768,1,0.8846,0.9683,0.0,0.0,0.47,0.02
breastmnist,224,"CONCH,Hibou-B",self_attention,768,1,0.8718,0.9248,0.0,0.0,0.46,0.01
breastmnist,224,"CONCH,CheXagent",self_attention,768,1,0.9231,0.9348,0.0,0.0,0.46,0.01
breastmnist,224,"CONCH,UNI2",self_attention,768,1,0.9231,0.9699,0.0,0.0,0.47,0.02
breastmnist,224,"rad-dino,UNI",self_attention,768,1,0.9231,0.9766,0.0,0.0,0.47,0.02
breastmnist,224,"rad-dino,Prov-GigaPath",self_attention,768,1,0.8974,0.9566,0.0,0.0,0.46,0.01
breastmnist,224,"rad-dino,Hibou-B",self_attention,768,1,0.8718,0.9373,0.0,0.0,0.46,0.01
breastmnist,224,"rad-dino,CheXagent",self_attention,768,1,0.9359,0.9674,0.0,0.0,0.46,0.02
breastmnist,224,"rad-dino,UNI2",self_attention,768,1,0.8974,0.9098,0.0,0.0,0.46,0.01
breastmnist,224,"UNI,Prov-GigaPath",self_attention,768,1,0.9231,0.9783,0.0,0.0,0.46,0.02
breastmnist,224,"UNI,Hibou-B",self_attention,768,1,0.9231,0.9591,0.0,0.0,0.47,0.01
breastmnist,224,"UNI,CheXagent",self_attention,768,1,0.859,0.9557,0.0,0.0,0.46,0.02
breastmnist,224,"UNI,UNI2",self_attention,768,1,0.8846,0.9616,0.0,0.0,0.46,0.02
breastmnist,224,"Prov-GigaPath,Hibou-B",self_attention,768,1,0.859,0.9532,0.0,0.0,0.46,0.01
breastmnist,224,"Prov-GigaPath,CheXagent",self_attention,768,1,0.8974,0.9708,0.0,0.0,0.46,0.02
