Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
organamnist,224,BioMedCLIP,self_attention,768,1,0.9459,0.9985,0.0,0.0,16.56,0.26
organamnist,224,PubMedCLIP,self_attention,768,1,0.9525,0.9985,0.0,0.0,15.94,0.24
organamnist,224,CONCH,self_attention,768,1,0.8597,0.9907,0.0,0.0,16.98,0.25
organamnist,224,rad-dino,self_attention,768,1,0.9284,0.9972,0.0,0.0,16.47,0.25
organamnist,224,UNI,self_attention,768,1,0.8726,0.9928,0.0,0.0,16.76,0.25
organamnist,224,Prov-GigaPath,self_attention,768,1,0.9321,0.9975,0.0,0.0,17.36,0.25
organamnist,224,Hibou-B,self_attention,768,1,0.9045,0.9959,0.0,0.0,15.99,0.24
organamnist,224,CheXagent,self_attention,768,1,0.9411,0.9984,0.0,0.0,15.21,0.24
organamnist,224,UNI2,self_attention,768,1,0.9177,0.9958,0.0,0.0,16.83,0.25
organamnist,224,"BioMedCLIP,PubMedCLIP",self_attention,768,1,0.9482,0.9984,0.0,0.0,16.58,0.25
organamnist,224,"BioMedCLIP,CONCH",self_attention,768,1,0.943,0.9982,0.0,0.0,16.62,0.25
organamnist,224,"BioMedCLIP,rad-dino",self_attention,768,1,0.9461,0.9983,0.0,0.0,16.47,0.26
organamnist,224,"BioMedCLIP,UNI",self_attention,768,1,0.9541,0.9986,0.0,0.0,16.56,0.24
organamnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,768,1,0.947,0.9986,0.0,0.0,17.0,0.25
organamnist,224,"BioMedCLIP,Hibou-B",self_attention,768,1,0.9495,0.9987,0.0,0.0,16.6,0.24
organamnist,224,"BioMedCLIP,CheXagent",self_attention,768,1,0.9567,0.9989,0.0,0.0,16.26,0.24
organamnist,224,"BioMedCLIP,UNI2",self_attention,768,1,0.943,0.9985,0.0,0.0,16.87,0.25
organamnist,224,"PubMedCLIP,CONCH",self_attention,768,1,0.914,0.9963,0.0,0.0,16.66,0.25
organamnist,224,"PubMedCLIP,rad-dino",self_attention,768,1,0.9582,0.999,0.0,0.0,15.82,0.24
organamnist,224,"PubMedCLIP,UNI",self_attention,768,1,0.8886,0.9944,0.0,0.0,16.85,0.25
organamnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,768,1,0.9416,0.9981,0.0,0.0,17.34,0.25
organamnist,224,"PubMedCLIP,Hibou-B",self_attention,768,1,0.9125,0.9966,0.0,0.0,15.94,0.24
organamnist,224,"PubMedCLIP,CheXagent",self_attention,768,1,0.9512,0.9991,0.0,0.0,15.37,0.25
organamnist,224,"PubMedCLIP,UNI2",self_attention,768,1,0.9395,0.9976,0.0,0.0,16.89,0.25
organamnist,224,"CONCH,rad-dino",self_attention,768,1,0.9316,0.9976,0.0,0.0,16.45,0.24
organamnist,224,"CONCH,UNI",self_attention,768,1,0.8888,0.9932,0.0,0.0,16.52,0.26
organamnist,224,"CONCH,Prov-GigaPath",self_attention,768,1,0.9313,0.9975,0.0,0.0,17.24,0.25
organamnist,224,"CONCH,Hibou-B",self_attention,768,1,0.8932,0.9956,0.0,0.0,16.38,0.25
organamnist,224,"CONCH,CheXagent",self_attention,768,1,0.9277,0.9984,0.0,0.0,15.75,0.27
organamnist,224,"CONCH,UNI2",self_attention,768,1,0.8969,0.9952,0.0,0.0,16.81,0.25
organamnist,224,"rad-dino,UNI",self_attention,768,1,0.9086,0.9958,0.0,0.0,16.47,0.25
organamnist,224,"rad-dino,Prov-GigaPath",self_attention,768,1,0.939,0.998,0.0,0.0,17.34,0.25
organamnist,224,"rad-dino,Hibou-B",self_attention,768,1,0.9308,0.9981,0.0,0.0,15.94,0.25
organamnist,224,"rad-dino,CheXagent",self_attention,768,1,0.9445,0.9988,0.0,0.0,15.47,0.24
organamnist,224,"rad-dino,UNI2",self_attention,768,1,0.9339,0.9976,0.0,0.0,16.5,0.25
organamnist,224,"UNI,Prov-GigaPath",self_attention,768,1,0.9268,0.9975,0.0,0.0,17.2,0.26
organamnist,224,"UNI,Hibou-B",self_attention,768,1,0.8891,0.9942,0.0,0.0,16.76,0.25
organamnist,224,"UNI,CheXagent",self_attention,768,1,0.9236,0.9974,0.0,0.0,16.15,0.25
organamnist,224,"UNI,UNI2",self_attention,768,1,0.8821,0.9934,0.0,0.0,16.75,0.24
organamnist,224,"Prov-GigaPath,Hibou-B",self_attention,768,1,0.9271,0.9979,0.0,0.0,16.96,0.26
organamnist,224,"Prov-GigaPath,CheXagent",self_attention,768,1,0.9319,0.9983,0.0,0.0,16.5,0.24
organamnist,224,"Prov-GigaPath,UNI2",self_attention,768,1,0.9338,0.9976,0.0,0.0,17.35,0.24
organamnist,224,"Hibou-B,CheXagent",self_attention,768,1,0.927,0.9984,0.0,0.0,15.54,0.26
organamnist,224,"Hibou-B,UNI2",self_attention,768,1,0.9128,0.9965,0.0,0.0,16.46,0.24
organamnist,224,"CheXagent,UNI2",self_attention,768,1,0.9359,0.9984,0.0,0.0,15.78,0.24
organamnist,224,"BioMedCLIP,PubMedCLIP,CONCH",self_attention,768,1,0.9547,0.9987,0.0,0.0,16.43,0.25
organamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",self_attention,768,1,0.9501,0.9986,0.0,0.0,16.38,0.26
organamnist,224,"BioMedCLIP,PubMedCLIP,UNI",self_attention,768,1,0.9547,0.9987,0.0,0.0,16.65,0.25
organamnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",self_attention,768,1,0.9476,0.9986,0.0,0.0,16.98,0.25
organamnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",self_attention,768,1,0.9524,0.9986,0.0,0.0,16.63,0.26
organamnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",self_attention,768,1,0.9473,0.9986,0.0,0.0,16.81,0.24
organamnist,224,"BioMedCLIP,PubMedCLIP,UNI2",self_attention,768,1,0.9513,0.9987,0.0,0.0,16.83,0.26
organamnist,224,"BioMedCLIP,CONCH,rad-dino",self_attention,768,1,0.9539,0.9988,0.0,0.0,16.78,0.25
organamnist,224,"BioMedCLIP,CONCH,UNI",self_attention,768,1,0.9566,0.9989,0.0,0.0,16.4,0.25
organamnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",self_attention,768,1,0.9595,0.999,0.0,0.0,16.41,0.26
organamnist,224,"BioMedCLIP,CONCH,Hibou-B",self_attention,768,1,0.9484,0.9987,0.0,0.0,16.62,0.25
organamnist,224,"BioMedCLIP,CONCH,CheXagent",self_attention,768,1,0.9575,0.9989,0.0,0.0,16.69,0.26
organamnist,224,"BioMedCLIP,CONCH,UNI2",self_attention,768,1,0.9521,0.9988,0.0,0.0,16.46,0.26
organamnist,224,"BioMedCLIP,rad-dino,UNI",self_attention,768,1,0.9501,0.9985,0.0,0.0,16.42,0.24
organamnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",self_attention,768,1,0.9561,0.999,0.0,0.0,16.51,0.26
organamnist,224,"BioMedCLIP,rad-dino,Hibou-B",self_attention,768,1,0.9541,0.9987,0.0,0.0,16.61,0.25
organamnist,224,"BioMedCLIP,rad-dino,CheXagent",self_attention,768,1,0.9522,0.9989,0.0,0.0,16.34,0.27
organamnist,224,"BioMedCLIP,rad-dino,UNI2",self_attention,768,1,0.9476,0.9986,0.0,0.0,16.33,0.24
organamnist,224,"BioMedCLIP,UNI,Prov-GigaPath",self_attention,768,1,0.9516,0.9986,0.0,0.0,16.5,0.24
organamnist,224,"BioMedCLIP,UNI,Hibou-B",self_attention,768,1,0.9535,0.9988,0.0,0.0,16.12,0.25
organamnist,224,"BioMedCLIP,UNI,CheXagent",self_attention,768,1,0.9562,0.9987,0.0,0.0,16.33,0.25
organamnist,224,"BioMedCLIP,UNI,UNI2",self_attention,768,1,0.9468,0.9985,0.0,0.0,16.33,0.25
organamnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",self_attention,768,1,0.9587,0.9988,0.0,0.0,16.35,0.25
organamnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",self_attention,768,1,0.9522,0.9989,0.0,0.0,16.9,0.24
organamnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",self_attention,768,1,0.9524,0.9987,0.0,0.0,16.8,0.25
organamnist,224,"BioMedCLIP,Hibou-B,CheXagent",self_attention,768,1,0.9485,0.9986,0.0,0.0,16.55,0.25
organamnist,224,"BioMedCLIP,Hibou-B,UNI2",self_attention,768,1,0.9505,0.9986,0.0,0.0,16.4,0.24
organamnist,224,"BioMedCLIP,CheXagent,UNI2",self_attention,768,1,0.9518,0.9989,0.0,0.0,16.62,0.24
organamnist,224,"PubMedCLIP,CONCH,rad-dino",self_attention,768,1,0.9388,0.9982,0.0,0.0,16.0,0.24
organamnist,224,"PubMedCLIP,CONCH,UNI",self_attention,768,1,0.8976,0.9947,0.0,0.0,16.71,0.26
