Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
tissuemnist,224,BioMedCLIP,self_attention,768,1,0.5827,0.8781,0.0,0.0,45.17,0.72
tissuemnist,224,PubMedCLIP,self_attention,768,1,0.5895,0.8832,0.0,0.0,45.1,0.76
tissuemnist,224,CONCH,self_attention,768,1,0.5587,0.8605,0.0,0.0,42.59,0.76
tissuemnist,224,rad-dino,self_attention,768,1,0.5644,0.8685,0.0,0.0,45.64,0.76
tissuemnist,224,UNI,self_attention,768,1,0.6021,0.8907,0.0,0.0,45.74,0.69
tissuemnist,224,Prov-GigaPath,self_attention,768,1,0.6176,0.8976,0.0,0.0,45.88,0.73
tissuemnist,224,Hibou-B,self_attention,768,1,0.6505,0.916,0.0,0.0,45.07,0.76
tissuemnist,224,CheXagent,self_attention,768,1,0.6406,0.9119,0.0,0.0,45.3,0.76
tissuemnist,224,UNI2,self_attention,768,1,0.6144,0.896,0.0,0.0,45.06,0.76
tissuemnist,224,"BioMedCLIP,PubMedCLIP",self_attention,768,1,0.5829,0.8789,0.0,0.0,44.3,0.76
tissuemnist,224,"BioMedCLIP,CONCH",self_attention,768,1,0.5891,0.8829,0.0,0.0,44.61,0.73
tissuemnist,224,"BioMedCLIP,rad-dino",self_attention,768,1,0.5886,0.88,0.0,0.0,44.92,0.76
tissuemnist,224,"BioMedCLIP,UNI",self_attention,768,1,0.5991,0.888,0.0,0.0,45.35,0.76
tissuemnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,768,1,0.615,0.8975,0.0,0.0,45.72,0.76
tissuemnist,224,"BioMedCLIP,Hibou-B",self_attention,768,1,0.6043,0.8899,0.0,0.0,44.88,0.72
tissuemnist,224,"BioMedCLIP,CheXagent",self_attention,768,1,0.6045,0.8882,0.0,0.0,45.19,0.65
tissuemnist,224,"BioMedCLIP,UNI2",self_attention,768,1,0.5875,0.8806,0.0,0.0,44.88,0.67
tissuemnist,224,"PubMedCLIP,CONCH",self_attention,768,1,0.5895,0.881,0.0,0.0,45.11,0.76
tissuemnist,224,"PubMedCLIP,rad-dino",self_attention,768,1,0.5955,0.8851,0.0,0.0,46.57,0.76
tissuemnist,224,"PubMedCLIP,UNI",self_attention,768,1,0.6065,0.893,0.0,0.0,46.65,0.77
