Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
bloodmnist,224,BioMedCLIP,concat,0,1,0.9492,0.9974,0.9544,0.9978,5.62,0.11
bloodmnist,224,PubMedCLIP,concat,0,1,0.9468,0.9974,0.9433,0.9971,5.57,0.08
bloodmnist,224,CONCH,concat,0,1,0.9702,0.9988,0.9678,0.9985,5.21,0.08
bloodmnist,224,rad-dino,concat,0,1,0.9293,0.9957,0.9228,0.9953,7.44,0.10
bloodmnist,224,UNI,concat,0,1,0.9772,0.9995,0.9798,0.9993,7.57,0.10
bloodmnist,224,Prov-GigaPath,concat,0,1,0.9743,0.9994,0.9661,0.9988,11.16,0.13
bloodmnist,224,Hibou-B,concat,0,1,0.9848,0.9997,0.9845,0.9995,5.94,0.08
bloodmnist,224,CheXagent,concat,0,1,0.9813,0.9995,0.9737,0.9990,9.85,0.12
bloodmnist,224,UNI2,concat,0,1,0.9743,0.9991,0.9737,0.9989,10.53,0.13
bloodmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.9661,0.9987,0.9681,0.9984,8.07,0.10
bloodmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.9731,0.9993,0.9769,0.9991,7.65,0.10
bloodmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.9638,0.9987,0.9670,0.9986,9.13,0.11
bloodmnist,224,"BioMedCLIP,UNI",concat,0,1,0.9801,0.9995,0.9819,0.9993,10.07,0.13
bloodmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.9772,0.9996,0.9746,0.9992,13.54,0.15
bloodmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.9825,0.9997,0.9860,0.9995,8.44,0.11
bloodmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.9813,0.9995,0.9787,0.9992,12.29,0.15
bloodmnist,224,"BioMedCLIP,UNI2",concat,0,1,0.9731,0.9993,0.9778,0.9991,14.09,0.15
bloodmnist,224,"PubMedCLIP,CONCH",concat,0,1,0.9720,0.9992,0.9743,0.9989,7.92,0.10
bloodmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.9614,0.9983,0.9608,0.9982,9.81,0.12
bloodmnist,224,"PubMedCLIP,UNI",concat,0,1,0.9749,0.9995,0.9798,0.9993,10.21,0.12
bloodmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.9796,0.9995,0.9728,0.9991,13.69,0.15
bloodmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.9836,0.9998,0.9880,0.9995,8.48,0.11
bloodmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.9796,0.9995,0.9743,0.9990,12.52,0.15
bloodmnist,224,"PubMedCLIP,UNI2",concat,0,1,0.9755,0.9994,0.9719,0.9991,13.62,0.15
bloodmnist,224,"CONCH,rad-dino",concat,0,1,0.9673,0.9991,0.9725,0.9989,9.29,0.12
bloodmnist,224,"CONCH,UNI",concat,0,1,0.9807,0.9996,0.9810,0.9993,10.00,0.12
bloodmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.9807,0.9997,0.9804,0.9993,13.16,0.16
bloodmnist,224,"CONCH,Hibou-B",concat,0,1,0.9836,0.9998,0.9839,0.9994,8.40,0.12
bloodmnist,224,"CONCH,CheXagent",concat,0,1,0.9825,0.9997,0.9825,0.9994,12.23,0.14
bloodmnist,224,"CONCH,UNI2",concat,0,1,0.9761,0.9995,0.9784,0.9992,13.04,0.15
bloodmnist,224,"rad-dino,UNI",concat,0,1,0.9737,0.9995,0.9801,0.9993,11.64,0.14
bloodmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.9790,0.9995,0.9743,0.9991,15.22,0.17
bloodmnist,224,"rad-dino,Hibou-B",concat,0,1,0.9866,0.9997,0.9871,0.9995,9.87,0.13
bloodmnist,224,"rad-dino,CheXagent",concat,0,1,0.9807,0.9995,0.9778,0.9992,14.13,0.16
bloodmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.9813,0.9998,0.9833,0.9995,15.40,0.19
bloodmnist,224,"UNI,Hibou-B",concat,0,1,0.9831,0.9998,0.9845,0.9995,10.90,0.15
bloodmnist,224,"UNI,CheXagent",concat,0,1,0.9871,0.9998,0.9807,0.9995,14.59,0.17
bloodmnist,224,"UNI,UNI2",concat,0,1,0.9784,0.9995,0.9801,0.9993,15.36,0.17
bloodmnist,224,"Prov-GigaPath,Hibou-B",concat,0,1,0.9877,0.9999,0.9877,0.9996,13.63,0.16
bloodmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.9831,0.9996,0.9787,0.9992,18.03,0.20
bloodmnist,224,"Prov-GigaPath,UNI2",concat,0,1,0.9860,0.9997,0.9787,0.9994,18.74,0.20
bloodmnist,224,"Hibou-B,CheXagent",concat,0,1,0.9889,0.9999,0.9880,0.9996,13.01,0.16
bloodmnist,224,"Hibou-B,UNI2",concat,0,1,0.9860,0.9997,0.9866,0.9995,13.70,0.16
bloodmnist,224,"CheXagent,UNI2",concat,0,1,0.9848,0.9997,0.9795,0.9994,17.76,0.20
