Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
breastmnist,224,BioMedCLIP,concat,0,1,0.8846,0.9148,0.8846,0.8956,1.02,0.05
breastmnist,224,PubMedCLIP,concat,0,1,0.8974,0.9215,0.8333,0.8832,0.38,0.01
breastmnist,224,CONCH,concat,0,1,0.9359,0.9424,0.8462,0.9114,0.40,0.02
breastmnist,224,rad-dino,concat,0,1,0.8846,0.9231,0.8077,0.9033,0.48,0.01
breastmnist,224,UNI,concat,0,1,0.9103,0.9883,0.8654,0.8680,0.53,0.01
breastmnist,224,Prov-GigaPath,concat,0,1,0.8974,0.9432,0.8782,0.9453,0.69,0.02
breastmnist,224,Hibou-B,concat,0,1,0.8846,0.9323,0.8526,0.9286,0.47,0.01
breastmnist,224,CheXagent,concat,0,1,0.8974,0.9649,0.8526,0.8960,0.65,0.02
breastmnist,224,UNI2,concat,0,1,0.8974,0.9616,0.8397,0.8887,0.68,0.02
breastmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.9231,0.9390,0.8718,0.9332,0.52,0.01
breastmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.8974,0.9415,0.8782,0.9365,0.52,0.02
breastmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.8846,0.9181,0.8974,0.9173,0.59,0.02
breastmnist,224,"BioMedCLIP,UNI",concat,0,1,0.9103,0.9440,0.8910,0.9330,0.66,0.02
breastmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.8974,0.9449,0.8974,0.9346,0.81,0.02
breastmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.8846,0.9407,0.8718,0.9334,0.59,0.02
breastmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.9103,0.9591,0.8782,0.9284,0.78,0.02
breastmnist,224,"BioMedCLIP,UNI2",concat,0,1,0.8718,0.9490,0.8846,0.9175,0.80,0.02
breastmnist,224,"PubMedCLIP,CONCH",concat,0,1,0.8846,0.9582,0.8333,0.9175,0.56,0.02
breastmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.9103,0.9398,0.8526,0.8774,0.63,0.02
breastmnist,224,"PubMedCLIP,UNI",concat,0,1,0.8718,0.9457,0.8654,0.8924,0.71,0.02
breastmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.8846,0.9482,0.8397,0.9167,0.86,0.02
breastmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.8590,0.9298,0.8526,0.9004,0.62,0.02
breastmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.8974,0.9482,0.8654,0.8958,0.83,0.02
breastmnist,224,"PubMedCLIP,UNI2",concat,0,1,0.8974,0.9616,0.8462,0.8787,0.87,0.02
breastmnist,224,"CONCH,rad-dino",concat,0,1,0.9487,0.9574,0.8590,0.9225,0.63,0.02
breastmnist,224,"CONCH,UNI",concat,0,1,0.9359,0.9599,0.8718,0.9181,0.71,0.02
breastmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.9103,0.9549,0.8974,0.9641,0.87,0.02
breastmnist,224,"CONCH,Hibou-B",concat,0,1,0.8718,0.9265,0.8526,0.9409,0.63,0.02
breastmnist,224,"CONCH,CheXagent",concat,0,1,0.9615,0.9699,0.8782,0.9436,0.84,0.02
breastmnist,224,"CONCH,UNI2",concat,0,1,0.9103,0.9699,0.8654,0.9240,0.88,0.02
breastmnist,224,"rad-dino,UNI",concat,0,1,0.8846,0.9641,0.8846,0.9098,0.79,0.02
breastmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.9103,0.9632,0.8654,0.9451,0.95,0.02
breastmnist,224,"rad-dino,Hibou-B",concat,0,1,0.8846,0.9340,0.8526,0.9317,0.73,0.02
breastmnist,224,"rad-dino,CheXagent",concat,0,1,0.9231,0.9591,0.8654,0.9340,0.92,0.02
breastmnist,224,"rad-dino,UNI2",concat,0,1,0.8718,0.9649,0.8590,0.8912,0.95,0.02
breastmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.9487,0.9908,0.8846,0.9394,1.03,0.02
breastmnist,224,"UNI,Hibou-B",concat,0,1,0.8974,0.9465,0.8782,0.9265,0.80,0.02
breastmnist,224,"UNI,CheXagent",concat,0,1,0.9231,0.9574,0.8782,0.9206,0.99,0.02
breastmnist,224,"UNI,UNI2",concat,0,1,0.8974,0.9841,0.8782,0.9213,1.02,0.02
breastmnist,224,"Prov-GigaPath,Hibou-B",concat,0,1,0.9103,0.9490,0.8718,0.9394,0.94,0.02
breastmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.9103,0.9699,0.8462,0.9424,1.16,0.02
breastmnist,224,"Prov-GigaPath,UNI2",concat,0,1,0.8846,0.9816,0.8718,0.9133,1.21,0.02
breastmnist,224,"Hibou-B,CheXagent",concat,0,1,0.8974,0.9357,0.8590,0.9407,0.90,0.02
breastmnist,224,"Hibou-B,UNI2",concat,0,1,0.8590,0.9524,0.8654,0.9290,0.94,0.02
breastmnist,224,"CheXagent,UNI2",concat,0,1,0.8974,0.9758,0.8590,0.9202,1.16,0.02
breastmnist,224,"BioMedCLIP,PubMedCLIP,CONCH",concat,0,1,0.9231,0.9465,0.8782,0.9321,0.71,0.02
breastmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.9231,0.9499,0.8910,0.9225,0.73,0.02
breastmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.9103,0.9465,0.8974,0.9305,0.79,0.02
breastmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.8718,0.9415,0.8718,0.9367,0.93,0.02
breastmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.9359,0.9507,0.8782,0.9305,0.89,0.02
breastmnist,224,"BioMedCLIP,PubMedCLIP,UNI2",concat,0,1,0.9103,0.9524,0.8846,0.9098,0.93,0.02
breastmnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.8846,0.9373,0.8846,0.9403,0.73,0.02
breastmnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.9231,0.9432,0.8974,0.9361,0.79,0.02
breastmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.9103,0.9424,0.8974,0.9386,1.01,0.02
breastmnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.8974,0.9440,0.8590,0.9363,0.78,0.02
breastmnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.9231,0.9557,0.8910,0.9436,0.97,0.02
breastmnist,224,"BioMedCLIP,CONCH,UNI2",concat,0,1,0.8974,0.9532,0.8718,0.9256,1.01,0.02
