Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
chestmnist,224,BioMedCLIP,concat,0,1,0.9492,0.7625,0.9477,0.7609,124.47,2.97
chestmnist,224,PubMedCLIP,concat,0,1,0.9491,0.7274,0.9473,0.7257,125.23,3.11
chestmnist,224,CONCH,concat,0,1,0.9488,0.7067,0.9473,0.7057,127.15,2.91
chestmnist,224,rad-dino,concat,0,1,0.9498,0.8197,0.9480,0.8108,197.58,4.42
chestmnist,224,UNI,concat,0,1,0.9491,0.7514,0.9474,0.7503,257.24,5.31
chestmnist,224,Prov-GigaPath,concat,0,1,0.9492,0.7572,0.9477,0.7482,387.47,8.62
chestmnist,224,Hibou-B,concat,0,1,0.9489,0.7232,0.9474,0.7239,193.57,4.33
chestmnist,224,CheXagent,concat,0,1,0.9500,0.8267,0.9488,0.8292,353.87,7.02
chestmnist,224,UNI2,concat,0,1,0.9488,0.7560,0.9475,0.7529,388.38,8.66
chestmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.9492,0.7707,0.9477,0.7702,259.03,5.94
chestmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.9492,0.7686,0.9477,0.7663,255.11,5.39
chestmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.9499,0.8273,0.9483,0.8186,321.03,6.45
chestmnist,224,"BioMedCLIP,UNI",concat,0,1,0.9491,0.7808,0.9479,0.7816,384.52,7.95
chestmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.9492,0.7885,0.9480,0.7805,516.90,10.60
chestmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.9491,0.7727,0.9477,0.7691,313.66,6.45
chestmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.9501,0.8264,0.9487,0.8291,480.62,9.91
chestmnist,224,"BioMedCLIP,UNI2",concat,0,1,0.9489,0.7862,0.9479,0.7817,511.27,10.90
chestmnist,224,"PubMedCLIP,CONCH",concat,0,1,0.9490,0.7399,0.9475,0.7334,257.85,5.55
chestmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.9500,0.8229,0.9481,0.8168,316.30,6.76
chestmnist,224,"PubMedCLIP,UNI",concat,0,1,0.9491,0.7570,0.9475,0.7583,385.42,7.98
chestmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.9490,0.7619,0.9476,0.7569,517.00,10.02
chestmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.9492,0.7412,0.9473,0.7407,316.34,6.46
chestmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.9501,0.8269,0.9488,0.8259,478.85,9.24
chestmnist,224,"PubMedCLIP,UNI2",concat,0,1,0.9492,0.7649,0.9474,0.7600,510.78,11.25
chestmnist,224,"CONCH,rad-dino",concat,0,1,0.9498,0.8197,0.9480,0.8142,319.01,6.59
chestmnist,224,"CONCH,UNI",concat,0,1,0.9490,0.7521,0.9475,0.7520,383.22,7.70
chestmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.9490,0.7642,0.9475,0.7556,514.48,11.31
chestmnist,224,"CONCH,Hibou-B",concat,0,1,0.9488,0.7294,0.9475,0.7313,319.05,7.08
chestmnist,224,"CONCH,CheXagent",concat,0,1,0.9500,0.8260,0.9485,0.8249,477.08,10.22
chestmnist,224,"CONCH,UNI2",concat,0,1,0.9487,0.7595,0.9474,0.7562,511.65,10.15
chestmnist,224,"rad-dino,UNI",concat,0,1,0.9498,0.8254,0.9482,0.8154,446.22,8.73
chestmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.9501,0.8221,0.9483,0.8142,582.49,12.59
chestmnist,224,"rad-dino,Hibou-B",concat,0,1,0.9499,0.8242,0.9479,0.8159,374.09,8.59
chestmnist,224,"rad-dino,CheXagent",concat,0,1,0.9503,0.8381,0.9491,0.8354,534.34,12.02
chestmnist,224,"rad-dino,UNI2",concat,0,1,0.9498,0.8274,0.9481,0.8161,567.36,12.44
chestmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.9493,0.7671,0.9476,0.7681,633.99,13.30
chestmnist,224,"UNI,Hibou-B",concat,0,1,0.9491,0.7526,0.9475,0.7555,436.57,10.00
chestmnist,224,"UNI,CheXagent",concat,0,1,0.9505,0.8296,0.9486,0.8280,595.68,13.29
chestmnist,224,"UNI,UNI2",concat,0,1,0.9489,0.7656,0.9476,0.7631,631.10,13.61
chestmnist,224,"Prov-GigaPath,Hibou-B",concat,0,1,0.9493,0.7574,0.9476,0.7571,566.04,12.56
chestmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.9500,0.8256,0.9485,0.8256,724.36,15.31
chestmnist,224,"Prov-GigaPath,UNI2",concat,0,1,0.9494,0.7698,0.9476,0.7680,758.08,16.31
chestmnist,224,"Hibou-B,CheXagent",concat,0,1,0.9503,0.8263,0.9485,0.8273,530.06,12.07
chestmnist,224,"Hibou-B,UNI2",concat,0,1,0.9492,0.7558,0.9475,0.7568,565.14,12.55
chestmnist,224,"CheXagent,UNI2",concat,0,1,0.9502,0.8261,0.9487,0.8250,722.01,15.41
chestmnist,224,"BioMedCLIP,PubMedCLIP,CONCH",concat,0,1,0.9495,0.7752,0.9477,0.7696,371.19,8.63
chestmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.9500,0.8283,0.9481,0.8206,436.96,9.97
chestmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.9492,0.7830,0.9478,0.7811,497.64,11.51
chestmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.9495,0.7851,0.9478,0.7821,628.47,13.80
chestmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.9500,0.8258,0.9487,0.8277,593.61,12.97
chestmnist,224,"BioMedCLIP,PubMedCLIP,UNI2",concat,0,1,0.9492,0.7890,0.9479,0.7830,631.12,12.14
chestmnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.9503,0.8263,0.9484,0.8188,442.94,10.00
chestmnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.9492,0.7784,0.9479,0.7806,504.18,10.21
chestmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.9494,0.7890,0.9480,0.7837,635.59,12.84
chestmnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.9493,0.7743,0.9477,0.7743,439.63,9.39
chestmnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.9501,0.8268,0.9487,0.8265,601.51,11.82
chestmnist,224,"BioMedCLIP,CONCH,UNI2",concat,0,1,0.9490,0.7875,0.9478,0.7843,634.76,12.47
