Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
organamnist,224,BioMedCLIP,concat,0,1,0.9465,0.9986,0.8761,0.9908,12.50,0.19
organamnist,224,PubMedCLIP,concat,0,1,0.9555,0.9988,0.9043,0.9943,12.08,0.18
organamnist,224,CONCH,concat,0,1,0.8472,0.9902,0.8017,0.9833,12.71,0.18
organamnist,224,rad-dino,concat,0,1,0.9338,0.9974,0.8690,0.9884,16.09,0.24
organamnist,224,UNI,concat,0,1,0.9003,0.9951,0.8635,0.9898,20.83,0.29
organamnist,224,Prov-GigaPath,concat,0,1,0.9525,0.9988,0.8778,0.9907,29.77,0.39
organamnist,224,Hibou-B,concat,0,1,0.9020,0.9961,0.8589,0.9893,15.87,0.24
organamnist,224,CheXagent,concat,0,1,0.9391,0.9987,0.9136,0.9948,24.39,0.36
organamnist,224,UNI2,concat,0,1,0.9288,0.9966,0.8648,0.9896,28.56,0.39
organamnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.9723,0.9994,0.9144,0.9953,19.93,0.29
organamnist,224,"BioMedCLIP,CONCH",concat,0,1,0.9539,0.9989,0.9021,0.9942,20.47,0.30
organamnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.9653,0.9993,0.9048,0.9939,23.61,0.33
organamnist,224,"BioMedCLIP,UNI",concat,0,1,0.9499,0.9990,0.9050,0.9944,27.24,0.38
organamnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.9667,0.9994,0.9009,0.9941,36.83,0.48
organamnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.9623,0.9991,0.9037,0.9937,22.96,0.33
organamnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.9518,0.9993,0.9216,0.9957,31.94,0.45
organamnist,224,"BioMedCLIP,UNI2",concat,0,1,0.9638,0.9990,0.9034,0.9938,35.85,0.48
organamnist,224,"PubMedCLIP,CONCH",concat,0,1,0.9606,0.9992,0.9087,0.9947,19.48,0.28
organamnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.9692,0.9994,0.9111,0.9946,22.54,0.32
organamnist,224,"PubMedCLIP,UNI",concat,0,1,0.9527,0.9990,0.9101,0.9945,26.73,0.38
organamnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.9690,0.9995,0.9148,0.9953,35.34,0.48
organamnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.9616,0.9992,0.9053,0.9939,22.84,0.33
organamnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.9562,0.9993,0.9250,0.9960,31.40,0.45
organamnist,224,"PubMedCLIP,UNI2",concat,0,1,0.9664,0.9991,0.9091,0.9942,35.07,0.48
organamnist,224,"CONCH,rad-dino",concat,0,1,0.9442,0.9986,0.8839,0.9917,23.69,0.33
organamnist,224,"CONCH,UNI",concat,0,1,0.8965,0.9953,0.8623,0.9897,28.04,0.39
organamnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.9479,0.9990,0.8953,0.9935,36.74,0.48
organamnist,224,"CONCH,Hibou-B",concat,0,1,0.9082,0.9966,0.8581,0.9896,23.44,0.33
organamnist,224,"CONCH,CheXagent",concat,0,1,0.9399,0.9989,0.9108,0.9947,31.65,0.44
organamnist,224,"CONCH,UNI2",concat,0,1,0.9248,0.9969,0.8735,0.9907,36.17,0.48
organamnist,224,"rad-dino,UNI",concat,0,1,0.9435,0.9984,0.8985,0.9930,31.13,0.43
organamnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.9636,0.9993,0.9025,0.9936,38.87,0.53
organamnist,224,"rad-dino,Hibou-B",concat,0,1,0.9495,0.9988,0.8919,0.9920,25.69,0.39
organamnist,224,"rad-dino,CheXagent",concat,0,1,0.9513,0.9992,0.9187,0.9954,35.12,0.54
organamnist,224,"rad-dino,UNI2",concat,0,1,0.9516,0.9987,0.8910,0.9920,38.33,0.52
organamnist,224,"UNI,Prov-GigaPath",concat,0,1,0.9428,0.9986,0.9042,0.9940,43.17,0.57
organamnist,224,"UNI,Hibou-B",concat,0,1,0.9113,0.9969,0.8715,0.9908,31.51,0.44
organamnist,224,"UNI,CheXagent",concat,0,1,0.9404,0.9989,0.9144,0.9950,39.29,0.54
organamnist,224,"UNI,UNI2",concat,0,1,0.9216,0.9969,0.8813,0.9912,43.59,0.57
organamnist,224,"Prov-GigaPath,Hibou-B",concat,0,1,0.9561,0.9990,0.8975,0.9932,38.88,0.52
organamnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.9452,0.9991,0.9181,0.9953,47.12,0.64
organamnist,224,"Prov-GigaPath,UNI2",concat,0,1,0.9593,0.9988,0.8983,0.9934,52.01,0.67
organamnist,224,"Hibou-B,CheXagent",concat,0,1,0.9418,0.9989,0.9094,0.9945,35.20,0.50
organamnist,224,"Hibou-B,UNI2",concat,0,1,0.9368,0.9978,0.8792,0.9910,38.15,0.53
organamnist,224,"CheXagent,UNI2",concat,0,1,0.9419,0.9988,0.9145,0.9952,46.87,0.64
organamnist,224,"BioMedCLIP,PubMedCLIP,CONCH",concat,0,1,0.9724,0.9996,0.9206,0.9959,26.99,0.38
organamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.9778,0.9996,0.9197,0.9957,30.21,0.43
organamnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.9678,0.9995,0.9229,0.9956,33.76,0.47
organamnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.9783,0.9997,0.9215,0.9961,42.70,0.57
organamnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.9655,0.9996,0.9289,0.9964,38.70,0.54
organamnist,224,"BioMedCLIP,PubMedCLIP,UNI2",concat,0,1,0.9747,0.9994,0.9166,0.9952,42.69,0.57
organamnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.9635,0.9994,0.9111,0.9948,30.55,0.43
organamnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.9510,0.9991,0.9047,0.9945,34.61,0.47
organamnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.9715,0.9996,0.9133,0.9955,43.13,0.65
organamnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.9630,0.9992,0.9020,0.9938,30.72,0.43
organamnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.9509,0.9994,0.9214,0.9958,39.12,0.56
organamnist,224,"BioMedCLIP,CONCH,UNI2",concat,0,1,0.9626,0.9991,0.9036,0.9943,42.69,0.57
organamnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.9630,0.9993,0.9119,0.9948,38.01,0.52
organamnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.9747,0.9996,0.9168,0.9952,45.79,0.62
organamnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.9652,0.9994,0.9104,0.9943,32.67,0.47
organamnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.9596,0.9995,0.9252,0.9960,42.23,0.64
organamnist,224,"BioMedCLIP,rad-dino,UNI2",concat,0,1,0.9672,0.9993,0.9075,0.9941,47.06,0.62
organamnist,224,"BioMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.9636,0.9995,0.9166,0.9956,50.08,0.67
organamnist,224,"BioMedCLIP,UNI,Hibou-B",concat,0,1,0.9584,0.9991,0.9031,0.9940,38.18,0.52
organamnist,224,"BioMedCLIP,UNI,CheXagent",concat,0,1,0.9495,0.9993,0.9252,0.9958,47.04,0.64
organamnist,224,"BioMedCLIP,UNI,UNI2",concat,0,1,0.9575,0.9990,0.9045,0.9943,50.39,0.67
organamnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",concat,0,1,0.9715,0.9995,0.9130,0.9948,46.21,0.64
organamnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.9555,0.9994,0.9235,0.9960,54.93,0.74
organamnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",concat,0,1,0.9723,0.9995,0.9111,0.9951,58.88,0.76
organamnist,224,"BioMedCLIP,Hibou-B,CheXagent",concat,0,1,0.9502,0.9993,0.9197,0.9956,42.39,0.61
organamnist,224,"BioMedCLIP,Hibou-B,UNI2",concat,0,1,0.9663,0.9992,0.9053,0.9940,44.66,0.62
organamnist,224,"BioMedCLIP,CheXagent,UNI2",concat,0,1,0.9512,0.9993,0.9237,0.9960,54.29,0.73
organamnist,224,"PubMedCLIP,CONCH,rad-dino",concat,0,1,0.9675,0.9995,0.9149,0.9951,30.15,0.43
organamnist,224,"PubMedCLIP,CONCH,UNI",concat,0,1,0.9504,0.9991,0.9077,0.9946,34.28,0.47
organamnist,224,"PubMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.9698,0.9996,0.9200,0.9958,43.02,0.57
organamnist,224,"PubMedCLIP,CONCH,Hibou-B",concat,0,1,0.9612,0.9993,0.9074,0.9939,29.86,0.43
organamnist,224,"PubMedCLIP,CONCH,CheXagent",concat,0,1,0.9582,0.9994,0.9239,0.9959,38.78,0.54
organamnist,224,"PubMedCLIP,CONCH,UNI2",concat,0,1,0.9640,0.9993,0.9110,0.9945,42.40,0.57
organamnist,224,"PubMedCLIP,rad-dino,UNI",concat,0,1,0.9655,0.9994,0.9156,0.9950,37.47,0.54
organamnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.9735,0.9996,0.9194,0.9955,45.31,0.65
organamnist,224,"PubMedCLIP,rad-dino,Hibou-B",concat,0,1,0.9703,0.9995,0.9110,0.9943,32.43,0.47
organamnist,224,"PubMedCLIP,rad-dino,CheXagent",concat,0,1,0.9669,0.9995,0.9295,0.9962,42.04,0.59
organamnist,224,"PubMedCLIP,rad-dino,UNI2",concat,0,1,0.9675,0.9994,0.9106,0.9944,44.69,0.62
organamnist,224,"PubMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.9621,0.9993,0.9200,0.9954,49.50,0.66
organamnist,224,"PubMedCLIP,UNI,Hibou-B",concat,0,1,0.9541,0.9990,0.9067,0.9941,37.24,0.52
organamnist,224,"PubMedCLIP,UNI,CheXagent",concat,0,1,0.9533,0.9993,0.9263,0.9960,45.94,0.63
organamnist,224,"PubMedCLIP,UNI,UNI2",concat,0,1,0.9555,0.9990,0.9116,0.9945,49.75,0.66
