Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
pathmnist,224,BioMedCLIP,concat,0,1,0.9779,0.9994,0.9432,0.9955,20.23,0.28
pathmnist,224,PubMedCLIP,concat,0,1,0.9734,0.9993,0.9347,0.9951,20.35,0.24
pathmnist,224,CONCH,concat,0,1,0.9906,0.9999,0.9624,0.9969,18.46,0.23
pathmnist,224,rad-dino,concat,0,1,0.9252,0.9957,0.8472,0.9832,28.78,0.31
pathmnist,224,UNI,concat,0,1,0.9962,1.0000,0.9703,0.9941,31.93,0.37
pathmnist,224,Prov-GigaPath,concat,0,1,0.9840,0.9997,0.9440,0.9952,52.39,0.53
pathmnist,224,Hibou-B,concat,0,1,0.9969,1.0000,0.9568,0.9982,25.44,0.31
pathmnist,224,CheXagent,concat,0,1,0.9912,0.9999,0.9024,0.9929,46.67,0.49
pathmnist,224,UNI2,concat,0,1,0.9967,1.0000,0.9745,0.9942,45.65,0.52
pathmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.9825,0.9997,0.9564,0.9969,35.79,0.38
pathmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.9913,0.9999,0.9643,0.9975,33.61,0.39
pathmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.9789,0.9996,0.9448,0.9961,43.32,0.46
pathmnist,224,"BioMedCLIP,UNI",concat,0,1,0.9959,1.0000,0.9717,0.9944,46.09,0.52
pathmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.9870,0.9998,0.9564,0.9964,67.25,0.69
pathmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.9956,1.0000,0.9648,0.9984,40.33,0.45
pathmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.9913,0.9999,0.9313,0.9947,61.27,0.68
pathmnist,224,"BioMedCLIP,UNI2",concat,0,1,0.9970,1.0000,0.9749,0.9937,60.09,0.66
pathmnist,224,"PubMedCLIP,CONCH",concat,0,1,0.9919,0.9999,0.9642,0.9978,34.78,0.39
pathmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.9746,0.9993,0.9391,0.9951,46.85,0.47
pathmnist,224,"PubMedCLIP,UNI",concat,0,1,0.9964,1.0000,0.9709,0.9953,48.15,0.54
pathmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.9863,0.9997,0.9507,0.9964,70.60,0.69
pathmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.9963,1.0000,0.9631,0.9984,41.28,0.48
pathmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.9912,0.9999,0.9220,0.9944,63.06,0.65
pathmnist,224,"PubMedCLIP,UNI2",concat,0,1,0.9966,1.0000,0.9762,0.9942,61.82,0.67
pathmnist,224,"CONCH,rad-dino",concat,0,1,0.9911,0.9999,0.9625,0.9967,41.47,0.45
pathmnist,224,"CONCH,UNI",concat,0,1,0.9959,1.0000,0.9730,0.9941,46.89,0.53
pathmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.9917,0.9999,0.9634,0.9974,65.95,0.68
pathmnist,224,"CONCH,Hibou-B",concat,0,1,0.9954,1.0000,0.9616,0.9981,40.79,0.46
pathmnist,224,"CONCH,CheXagent",concat,0,1,0.9932,1.0000,0.9568,0.9963,60.89,0.64
pathmnist,224,"CONCH,UNI2",concat,0,1,0.9963,1.0000,0.9748,0.9943,61.30,0.68
pathmnist,224,"rad-dino,UNI",concat,0,1,0.9963,1.0000,0.9703,0.9946,55.25,0.60
pathmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.9847,0.9997,0.9448,0.9952,78.87,0.77
pathmnist,224,"rad-dino,Hibou-B",concat,0,1,0.9968,1.0000,0.9574,0.9982,49.60,0.53
pathmnist,224,"rad-dino,CheXagent",concat,0,1,0.9905,0.9999,0.9086,0.9933,72.31,0.72
pathmnist,224,"rad-dino,UNI2",concat,0,1,0.9968,1.0000,0.9745,0.9944,70.01,0.75
pathmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.9956,1.0000,0.9703,0.9942,77.72,0.83
pathmnist,224,"UNI,Hibou-B",concat,0,1,0.9971,1.0000,0.9657,0.9965,54.59,0.61
pathmnist,224,"UNI,CheXagent",concat,0,1,0.9962,1.0000,0.9653,0.9941,73.19,0.78
pathmnist,224,"UNI,UNI2",concat,0,1,0.9968,1.0000,0.9717,0.9938,74.23,0.82
pathmnist,224,"Prov-GigaPath,Hibou-B",concat,0,1,0.9960,1.0000,0.9653,0.9983,70.42,0.75
pathmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.9915,0.9999,0.9326,0.9940,94.75,0.93
pathmnist,224,"Prov-GigaPath,UNI2",concat,0,1,0.9966,1.0000,0.9760,0.9935,89.39,1.00
pathmnist,224,"Hibou-B,CheXagent",concat,0,1,0.9967,1.0000,0.9582,0.9975,66.01,0.71
pathmnist,224,"Hibou-B,UNI2",concat,0,1,0.9973,1.0000,0.9727,0.9953,67.03,0.75
pathmnist,224,"CheXagent,UNI2",concat,0,1,0.9968,1.0000,0.9745,0.9931,85.72,0.93
pathmnist,224,"BioMedCLIP,PubMedCLIP,CONCH",concat,0,1,0.9921,0.9999,0.9664,0.9979,48.65,0.53
pathmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.9837,0.9997,0.9577,0.9971,60.16,0.61
pathmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.9962,1.0000,0.9721,0.9948,61.86,0.67
pathmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.9887,0.9998,0.9603,0.9972,83.96,0.83
pathmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.9910,0.9999,0.9415,0.9956,77.96,0.79
