Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
pneumoniamnist,224,BioMedCLIP,concat,0,1,0.9752,0.9959,0.9038,0.9832,1.07,0.05
pneumoniamnist,224,PubMedCLIP,concat,0,1,0.9618,0.9909,0.8638,0.9801,0.92,0.02
pneumoniamnist,224,CONCH,concat,0,1,0.9447,0.9883,0.8429,0.9627,0.97,0.02
pneumoniamnist,224,rad-dino,concat,0,1,0.9790,0.9954,0.9647,0.9983,1.20,0.02
pneumoniamnist,224,UNI,concat,0,1,0.9618,0.9922,0.8862,0.9849,1.52,0.03
pneumoniamnist,224,Prov-GigaPath,concat,0,1,0.9542,0.9919,0.9006,0.9828,2.20,0.04
pneumoniamnist,224,Hibou-B,concat,0,1,0.9676,0.9946,0.8606,0.9722,1.21,0.03
pneumoniamnist,224,CheXagent,concat,0,1,0.9905,0.9999,0.9359,0.9915,1.86,0.04
pneumoniamnist,224,UNI2,concat,0,1,0.9561,0.9927,0.8574,0.9725,2.12,0.04
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.9771,0.9974,0.8878,0.9875,1.46,0.03
pneumoniamnist,224,"BioMedCLIP,CONCH",concat,0,1,0.9790,0.9971,0.8958,0.9850,1.47,0.03
pneumoniamnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.9885,0.9989,0.9439,0.9974,1.75,0.03
pneumoniamnist,224,"BioMedCLIP,UNI",concat,0,1,0.9809,0.9984,0.8990,0.9891,2.08,0.04
pneumoniamnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.9733,0.9976,0.8990,0.9894,2.74,0.05
pneumoniamnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.9866,0.9993,0.8910,0.9885,1.73,0.03
pneumoniamnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.9962,0.9999,0.9375,0.9940,2.42,0.04
pneumoniamnist,224,"BioMedCLIP,UNI2",concat,0,1,0.9828,0.9980,0.8958,0.9874,2.68,0.04
pneumoniamnist,224,"PubMedCLIP,CONCH",concat,0,1,0.9637,0.9926,0.8558,0.9835,1.53,0.03
pneumoniamnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.9847,0.9984,0.9247,0.9973,1.74,0.03
pneumoniamnist,224,"PubMedCLIP,UNI",concat,0,1,0.9733,0.9938,0.8798,0.9876,2.10,0.04
pneumoniamnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.9695,0.9932,0.8862,0.9860,2.75,0.05
pneumoniamnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.9695,0.9957,0.8670,0.9807,1.80,0.03
pneumoniamnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.9924,0.9999,0.9327,0.9926,2.46,0.04
pneumoniamnist,224,"PubMedCLIP,UNI2",concat,0,1,0.9580,0.9924,0.8606,0.9814,2.80,0.05
pneumoniamnist,224,"CONCH,rad-dino",concat,0,1,0.9828,0.9980,0.9487,0.9975,1.73,0.03
pneumoniamnist,224,"CONCH,UNI",concat,0,1,0.9504,0.9921,0.8878,0.9837,2.21,0.04
pneumoniamnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.9656,0.9927,0.8862,0.9814,2.72,0.04
pneumoniamnist,224,"CONCH,Hibou-B",concat,0,1,0.9733,0.9966,0.8397,0.9669,1.84,0.04
pneumoniamnist,224,"CONCH,CheXagent",concat,0,1,0.9905,0.9998,0.9343,0.9917,2.45,0.04
pneumoniamnist,224,"CONCH,UNI2",concat,0,1,0.9599,0.9933,0.8606,0.9743,2.84,0.05
pneumoniamnist,224,"rad-dino,UNI",concat,0,1,0.9866,0.9979,0.9327,0.9979,2.33,0.04
pneumoniamnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.9828,0.9967,0.9343,0.9981,2.98,0.05
pneumoniamnist,224,"rad-dino,Hibou-B",concat,0,1,0.9905,0.9987,0.9215,0.9948,2.03,0.04
pneumoniamnist,224,"rad-dino,CheXagent",concat,0,1,0.9943,0.9998,0.9471,0.9972,2.75,0.04
pneumoniamnist,224,"rad-dino,UNI2",concat,0,1,0.9847,0.9984,0.9343,0.9953,2.93,0.05
pneumoniamnist,224,"UNI,Prov-GigaPath",concat,0,1,0.9580,0.9928,0.8990,0.9886,3.34,0.05
pneumoniamnist,224,"UNI,Hibou-B",concat,0,1,0.9676,0.9963,0.8750,0.9833,2.45,0.04
pneumoniamnist,224,"UNI,CheXagent",concat,0,1,0.9943,0.9998,0.9375,0.9921,3.10,0.05
pneumoniamnist,224,"UNI,UNI2",concat,0,1,0.9714,0.9942,0.8702,0.9813,3.44,0.06
pneumoniamnist,224,"Prov-GigaPath,Hibou-B",concat,0,1,0.9809,0.9964,0.8814,0.9815,3.09,0.05
pneumoniamnist,224,"Prov-GigaPath,UNI2",concat,0,1,0.9733,0.9951,0.8926,0.9838,3.97,0.06
pneumoniamnist,224,"Hibou-B,CheXagent",concat,0,1,0.9905,0.9998,0.9263,0.9924,2.80,0.05
pneumoniamnist,224,"Hibou-B,UNI2",concat,0,1,0.9676,0.9951,0.8558,0.9756,3.07,0.05
pneumoniamnist,224,"CheXagent,UNI2",concat,0,1,0.9924,0.9998,0.9343,0.9919,3.66,0.06
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,CONCH",concat,0,1,0.9733,0.9977,0.8974,0.9887,2.14,0.04
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.9905,0.9992,0.9343,0.9975,2.38,0.04
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.9809,0.9983,0.9038,0.9908,2.68,0.04
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.9752,0.9975,0.9006,0.9902,3.36,0.06
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.9962,1.0000,0.9391,0.9937,3.01,0.05
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,UNI2",concat,0,1,0.9790,0.9979,0.8926,0.9892,3.38,0.06
pneumoniamnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.9847,0.9990,0.9423,0.9979,2.33,0.04
pneumoniamnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.9828,0.9979,0.9022,0.9892,2.69,0.04
pneumoniamnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.9771,0.9979,0.8990,0.9882,3.39,0.05
pneumoniamnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.9866,0.9991,0.8926,0.9866,2.37,0.04
pneumoniamnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.9962,0.9999,0.9391,0.9935,3.14,0.05
pneumoniamnist,224,"BioMedCLIP,CONCH,UNI2",concat,0,1,0.9771,0.9984,0.9022,0.9872,3.26,0.05
pneumoniamnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.9924,0.9993,0.9279,0.9972,2.90,0.05
pneumoniamnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.9866,0.9985,0.9247,0.9976,3.59,0.06
pneumoniamnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.9885,0.9994,0.9199,0.9969,2.64,0.04
pneumoniamnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.9962,1.0000,0.9471,0.9969,3.34,0.05
pneumoniamnist,224,"BioMedCLIP,rad-dino,UNI2",concat,0,1,0.9866,0.9992,0.9295,0.9967,3.55,0.06
pneumoniamnist,224,"BioMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.9809,0.9982,0.9022,0.9904,4.03,0.07
pneumoniamnist,224,"BioMedCLIP,UNI,Hibou-B",concat,0,1,0.9847,0.9993,0.8894,0.9898,3.03,0.05
pneumoniamnist,224,"BioMedCLIP,UNI,CheXagent",concat,0,1,0.9962,0.9999,0.9407,0.9937,3.65,0.05
pneumoniamnist,224,"BioMedCLIP,UNI,UNI2",concat,0,1,0.9790,0.9984,0.8990,0.9891,4.10,0.07
pneumoniamnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",concat,0,1,0.9809,0.9989,0.8926,0.9903,3.64,0.05
pneumoniamnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.9962,0.9999,0.9359,0.9936,4.39,0.06
pneumoniamnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",concat,0,1,0.9809,0.9985,0.9054,0.9889,4.62,0.07
pneumoniamnist,224,"BioMedCLIP,Hibou-B,CheXagent",concat,0,1,0.9962,0.9999,0.9311,0.9925,3.41,0.05
pneumoniamnist,224,"BioMedCLIP,Hibou-B,UNI2",concat,0,1,0.9828,0.9987,0.8878,0.9882,3.62,0.05
pneumoniamnist,224,"BioMedCLIP,CheXagent,UNI2",concat,0,1,0.9943,0.9999,0.9327,0.9937,4.27,0.06
pneumoniamnist,224,"PubMedCLIP,CONCH,rad-dino",concat,0,1,0.9847,0.9987,0.9311,0.9970,2.39,0.04
pneumoniamnist,224,"PubMedCLIP,CONCH,UNI",concat,0,1,0.9676,0.9938,0.8766,0.9885,2.80,0.05
pneumoniamnist,224,"PubMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.9714,0.9938,0.8894,0.9861,3.41,0.06
pneumoniamnist,224,"PubMedCLIP,CONCH,Hibou-B",concat,0,1,0.9752,0.9967,0.8718,0.9820,2.38,0.04
pneumoniamnist,224,"PubMedCLIP,CONCH,CheXagent",concat,0,1,0.9885,0.9998,0.9327,0.9927,3.09,0.05
pneumoniamnist,224,"PubMedCLIP,CONCH,UNI2",concat,0,1,0.9656,0.9943,0.8670,0.9848,3.44,0.06
pneumoniamnist,224,"PubMedCLIP,rad-dino,UNI",concat,0,1,0.9847,0.9986,0.9279,0.9977,2.96,0.05
pneumoniamnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.9866,0.9976,0.9199,0.9979,3.55,0.06
pneumoniamnist,224,"PubMedCLIP,rad-dino,Hibou-B",concat,0,1,0.9885,0.9989,0.9103,0.9962,2.64,0.05
pneumoniamnist,224,"PubMedCLIP,rad-dino,CheXagent",concat,0,1,0.9962,0.9998,0.9455,0.9969,3.58,0.05
pneumoniamnist,224,"PubMedCLIP,rad-dino,UNI2",concat,0,1,0.9847,0.9980,0.9295,0.9968,3.53,0.06
pneumoniamnist,224,"PubMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.9733,0.9933,0.8894,0.9892,3.95,0.06
pneumoniamnist,224,"PubMedCLIP,UNI,Hibou-B",concat,0,1,0.9714,0.9963,0.8830,0.9872,3.07,0.05
pneumoniamnist,224,"PubMedCLIP,UNI,CheXagent",concat,0,1,0.9924,0.9998,0.9359,0.9935,3.71,0.06
pneumoniamnist,224,"PubMedCLIP,UNI,UNI2",concat,0,1,0.9676,0.9941,0.8718,0.9854,4.16,0.06
pneumoniamnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B",concat,0,1,0.9752,0.9963,0.8766,0.9838,3.72,0.05
pneumoniamnist,224,"PubMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.9924,0.9998,0.9375,0.9930,4.31,0.06
pneumoniamnist,224,"PubMedCLIP,Prov-GigaPath,UNI2",concat,0,1,0.9790,0.9953,0.8718,0.9860,4.71,0.07
pneumoniamnist,224,"PubMedCLIP,Hibou-B,CheXagent",concat,0,1,0.9905,0.9999,0.9327,0.9929,3.47,0.05
pneumoniamnist,224,"PubMedCLIP,Hibou-B,UNI2",concat,0,1,0.9714,0.9947,0.8638,0.9823,3.79,0.06
pneumoniamnist,224,"PubMedCLIP,CheXagent,UNI2",concat,0,1,0.9905,0.9998,0.9343,0.9920,4.39,0.06
pneumoniamnist,224,"CONCH,rad-dino,UNI",concat,0,1,0.9866,0.9988,0.9327,0.9972,3.06,0.05
pneumoniamnist,224,"CONCH,rad-dino,Prov-GigaPath",concat,0,1,0.9809,0.9979,0.9279,0.9973,3.60,0.06
pneumoniamnist,224,"CONCH,rad-dino,Hibou-B",concat,0,1,0.9905,0.9989,0.9151,0.9945,2.61,0.04
pneumoniamnist,224,"CONCH,rad-dino,CheXagent",concat,0,1,0.9943,0.9999,0.9471,0.9969,3.32,0.05
pneumoniamnist,224,"CONCH,rad-dino,UNI2",concat,0,1,0.9866,0.9991,0.9295,0.9951,3.63,0.06
pneumoniamnist,224,"CONCH,UNI,Prov-GigaPath",concat,0,1,0.9637,0.9929,0.8974,0.9855,4.00,0.06
pneumoniamnist,224,"CONCH,UNI,Hibou-B",concat,0,1,0.9733,0.9961,0.8814,0.9814,3.20,0.05
pneumoniamnist,224,"CONCH,UNI,CheXagent",concat,0,1,0.9924,0.9997,0.9343,0.9915,3.72,0.06
pneumoniamnist,224,"CONCH,UNI,UNI2",concat,0,1,0.9676,0.9940,0.8782,0.9812,4.14,0.06
pneumoniamnist,224,"CONCH,Prov-GigaPath,Hibou-B",concat,0,1,0.9809,0.9967,0.8702,0.9799,3.90,0.06
pneumoniamnist,224,"CONCH,Prov-GigaPath,CheXagent",concat,0,1,0.9924,0.9997,0.9327,0.9916,4.22,0.06
pneumoniamnist,224,"CONCH,Prov-GigaPath,UNI2",concat,0,1,0.9733,0.9959,0.8910,0.9828,4.66,0.07
pneumoniamnist,224,"CONCH,Hibou-B,CheXagent",concat,0,1,0.9924,0.9999,0.9263,0.9918,3.42,0.05
pneumoniamnist,224,"CONCH,Hibou-B,UNI2",concat,0,1,0.9676,0.9955,0.8526,0.9714,3.65,0.06
pneumoniamnist,224,"CONCH,CheXagent,UNI2",concat,0,1,0.9924,0.9998,0.9359,0.9919,4.33,0.07
pneumoniamnist,224,"rad-dino,UNI,Prov-GigaPath",concat,0,1,0.9885,0.9978,0.9231,0.9980,4.23,0.06
pneumoniamnist,224,"rad-dino,UNI,Hibou-B",concat,0,1,0.9943,0.9989,0.9103,0.9951,3.28,0.05
pneumoniamnist,224,"rad-dino,UNI,CheXagent",concat,0,1,0.9943,0.9998,0.9439,0.9964,3.98,0.06
pneumoniamnist,224,"rad-dino,UNI,UNI2",concat,0,1,0.9866,0.9984,0.9279,0.9958,4.26,0.07
pneumoniamnist,224,"rad-dino,Prov-GigaPath,Hibou-B",concat,0,1,0.9828,0.9982,0.9119,0.9958,4.02,0.06
pneumoniamnist,224,"rad-dino,Prov-GigaPath,CheXagent",concat,0,1,0.9885,0.9997,0.9439,0.9971,4.74,0.07
pneumoniamnist,224,"rad-dino,Prov-GigaPath,UNI2",concat,0,1,0.9866,0.9979,0.9231,0.9960,5.00,0.07
pneumoniamnist,224,"rad-dino,Hibou-B,CheXagent",concat,0,1,0.9943,0.9998,0.9359,0.9962,3.79,0.06
pneumoniamnist,224,"rad-dino,Hibou-B,UNI2",concat,0,1,0.9885,0.9987,0.9167,0.9941,4.03,0.06
pneumoniamnist,224,"rad-dino,CheXagent,UNI2",concat,0,1,0.9962,0.9998,0.9471,0.9967,4.69,0.07
pneumoniamnist,224,"UNI,Prov-GigaPath,Hibou-B",concat,0,1,0.9847,0.9961,0.8878,0.9861,4.37,0.06
pneumoniamnist,224,"UNI,Prov-GigaPath,CheXagent",concat,0,1,0.9905,0.9997,0.9327,0.9930,5.17,0.07
pneumoniamnist,224,"UNI,Prov-GigaPath,UNI2",concat,0,1,0.9695,0.9947,0.8926,0.9863,5.40,0.07
pneumoniamnist,224,"UNI,Hibou-B,CheXagent",concat,0,1,0.9924,0.9999,0.9279,0.9927,4.17,0.06
pneumoniamnist,224,"UNI,Hibou-B,UNI2",concat,0,1,0.9714,0.9958,0.8798,0.9800,4.59,0.07
pneumoniamnist,224,"UNI,CheXagent,UNI2",concat,0,1,0.9943,0.9999,0.9359,0.9917,5.23,0.07
pneumoniamnist,224,"Prov-GigaPath,Hibou-B,UNI2",concat,0,1,0.9809,0.9967,0.8734,0.9836,5.06,0.07
pneumoniamnist,224,"Prov-GigaPath,CheXagent,UNI2",concat,0,1,0.9905,0.9998,0.9343,0.9917,5.73,0.08
pneumoniamnist,224,"Hibou-B,CheXagent,UNI2",concat,0,1,0.9905,0.9998,0.9263,0.9920,4.90,0.07
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,CONCH,rad-dino",concat,0,1,0.9885,0.9992,0.9343,0.9971,2.98,0.05
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,CONCH,UNI",concat,0,1,0.9771,0.9984,0.9006,0.9916,3.28,0.05
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.9771,0.9976,0.8990,0.9892,4.05,0.07
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,CONCH,Hibou-B",concat,0,1,0.9847,0.9989,0.9006,0.9899,3.05,0.05
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,CONCH,CheXagent",concat,0,1,0.9962,1.0000,0.9343,0.9937,3.67,0.06
