Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
retinamnist,224,BioMedCLIP,concat,0,1,0.5500,0.8156,0.5500,0.8067,1.88,0.05
retinamnist,224,PubMedCLIP,concat,0,1,0.5917,0.8094,0.5875,0.8083,1.87,0.03
retinamnist,224,CONCH,concat,0,1,0.6333,0.8269,0.5900,0.8158,1.84,0.04
retinamnist,224,rad-dino,concat,0,1,0.5667,0.8038,0.5725,0.7980,2.20,0.04
retinamnist,224,UNI,concat,0,1,0.6167,0.8585,0.5950,0.8189,2.25,0.04
retinamnist,224,Prov-GigaPath,concat,0,1,0.5500,0.8172,0.6400,0.8621,2.63,0.04
retinamnist,224,Hibou-B,concat,0,1,0.6417,0.8669,0.5950,0.8167,2.01,0.03
retinamnist,224,CheXagent,concat,0,1,0.6000,0.8355,0.6500,0.8633,2.50,0.04
retinamnist,224,UNI2,concat,0,1,0.5583,0.8435,0.6350,0.8454,2.62,0.04
retinamnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.5750,0.8313,0.5750,0.8140,2.23,0.04
retinamnist,224,"BioMedCLIP,CONCH",concat,0,1,0.6083,0.8419,0.5900,0.8272,2.21,0.03
retinamnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.5917,0.8302,0.5950,0.8173,2.41,0.04
retinamnist,224,"BioMedCLIP,UNI",concat,0,1,0.6167,0.8505,0.6150,0.8293,2.66,0.04
retinamnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.5417,0.8207,0.6400,0.8571,3.05,0.04
retinamnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.6000,0.8574,0.6050,0.8320,2.38,0.04
retinamnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.5833,0.8414,0.6350,0.8621,2.91,0.04
retinamnist,224,"BioMedCLIP,UNI2",concat,0,1,0.5917,0.8568,0.6575,0.8541,3.03,0.04
retinamnist,224,"PubMedCLIP,CONCH",concat,0,1,0.6167,0.8331,0.5900,0.8258,2.25,0.04
retinamnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.6417,0.8539,0.5850,0.8150,2.44,0.04
retinamnist,224,"PubMedCLIP,UNI",concat,0,1,0.6000,0.8543,0.6000,0.8282,2.68,0.04
retinamnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.5500,0.8466,0.6300,0.8618,3.05,0.04
retinamnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.6250,0.8563,0.5950,0.8184,2.40,0.04
retinamnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.5917,0.8357,0.6350,0.8625,2.93,0.04
retinamnist,224,"PubMedCLIP,UNI2",concat,0,1,0.6167,0.8509,0.6150,0.8514,3.05,0.04
retinamnist,224,"CONCH,rad-dino",concat,0,1,0.6000,0.8421,0.6100,0.8362,2.42,0.04
retinamnist,224,"CONCH,UNI",concat,0,1,0.6583,0.8636,0.6250,0.8364,2.67,0.04
retinamnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.6083,0.8369,0.6550,0.8687,3.04,0.04
retinamnist,224,"CONCH,Hibou-B",concat,0,1,0.6000,0.8476,0.5725,0.8236,2.39,0.04
retinamnist,224,"CONCH,CheXagent",concat,0,1,0.6000,0.8344,0.6625,0.8682,2.90,0.04
retinamnist,224,"CONCH,UNI2",concat,0,1,0.6000,0.8601,0.6300,0.8521,3.38,0.04
retinamnist,224,"rad-dino,UNI",concat,0,1,0.6500,0.8639,0.5975,0.8262,2.89,0.04
retinamnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.5333,0.8228,0.6425,0.8601,3.28,0.04
retinamnist,224,"rad-dino,Hibou-B",concat,0,1,0.6333,0.8735,0.5850,0.8239,2.67,0.04
retinamnist,224,"rad-dino,CheXagent",concat,0,1,0.6167,0.8502,0.6325,0.8533,3.12,0.04
retinamnist,224,"rad-dino,UNI2",concat,0,1,0.5750,0.8510,0.6175,0.8492,3.23,0.04
retinamnist,224,"UNI,Prov-GigaPath",concat,0,1,0.6083,0.8692,0.6325,0.8522,3.85,0.04
retinamnist,224,"UNI,Hibou-B",concat,0,1,0.6333,0.8618,0.5950,0.8220,2.87,0.04
retinamnist,224,"UNI,CheXagent",concat,0,1,0.5917,0.8587,0.6375,0.8560,3.32,0.04
retinamnist,224,"UNI,UNI2",concat,0,1,0.6250,0.8686,0.6300,0.8411,3.85,0.04
retinamnist,224,"Prov-GigaPath,Hibou-B",concat,0,1,0.5833,0.8441,0.6500,0.8542,3.23,0.04
retinamnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.5917,0.8384,0.6450,0.8647,3.79,0.04
retinamnist,224,"Prov-GigaPath,UNI2",concat,0,1,0.6083,0.8600,0.6225,0.8629,3.90,0.04
retinamnist,224,"Hibou-B,CheXagent",concat,0,1,0.6250,0.8493,0.6475,0.8624,3.10,0.04
