Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
tissuemnist,224,BioMedCLIP,concat,0,1,0.5827,0.8797,0.5827,0.8799,31.87,0.51
tissuemnist,224,PubMedCLIP,concat,0,1,0.5932,0.8843,0.5925,0.8844,32.37,0.56
tissuemnist,224,CONCH,concat,0,1,0.5604,0.8616,0.5601,0.8630,30.70,0.55
tissuemnist,224,rad-dino,concat,0,1,0.5720,0.8735,0.5696,0.8727,45.87,0.73
tissuemnist,224,UNI,concat,0,1,0.6247,0.9013,0.6183,0.9007,60.49,1.03
tissuemnist,224,Prov-GigaPath,concat,0,1,0.6313,0.9050,0.6307,0.9071,87.73,1.34
tissuemnist,224,Hibou-B,concat,0,1,0.6604,0.9194,0.6568,0.9192,46.03,0.78
tissuemnist,224,CheXagent,concat,0,1,0.6528,0.9176,0.6532,0.9165,79.43,1.30
tissuemnist,224,UNI2,concat,0,1,0.6349,0.9062,0.6320,0.9075,86.14,1.28
tissuemnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.6155,0.8966,0.6136,0.8977,58.68,0.97
tissuemnist,224,"BioMedCLIP,CONCH",concat,0,1,0.6079,0.8919,0.6040,0.8937,58.12,0.94
tissuemnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.6123,0.8959,0.6062,0.8946,72.87,1.16
tissuemnist,224,"BioMedCLIP,UNI",concat,0,1,0.6359,0.9080,0.6322,0.9079,86.09,1.39
tissuemnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.6459,0.9124,0.6447,0.9141,114.17,1.73
tissuemnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.6640,0.9210,0.6607,0.9202,73.24,1.05
tissuemnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.6576,0.9193,0.6578,0.9178,105.26,1.49
tissuemnist,224,"BioMedCLIP,UNI2",concat,0,1,0.6432,0.9103,0.6411,0.9114,112.84,1.66
tissuemnist,224,"PubMedCLIP,CONCH",concat,0,1,0.6143,0.8961,0.6159,0.8979,58.86,0.93
tissuemnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.6158,0.8965,0.6139,0.8968,72.68,1.12
tissuemnist,224,"PubMedCLIP,UNI",concat,0,1,0.6338,0.9059,0.6314,0.9068,87.76,1.41
tissuemnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.6422,0.9114,0.6456,0.9139,115.38,1.62
tissuemnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.6617,0.9196,0.6594,0.9206,73.14,1.21
tissuemnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.6583,0.9192,0.6567,0.9185,105.29,1.75
