Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
organcmnist,224,BioMedCLIP,self_attention,256,1,0.9022,0.9957,0.0,0.0,6.03,0.11
organcmnist,224,PubMedCLIP,self_attention,256,1,0.9118,0.9965,0.0,0.0,5.82,0.1
organcmnist,224,CONCH,self_attention,256,1,0.8332,0.9895,0.0,0.0,6.06,0.1
organcmnist,224,rad-dino,self_attention,256,1,0.9059,0.9961,0.0,0.0,5.9,0.09
organcmnist,224,UNI,self_attention,256,1,0.829,0.9888,0.0,0.0,6.1,0.1
organcmnist,224,Prov-GigaPath,self_attention,256,1,0.8516,0.9906,0.0,0.0,6.49,0.1
organcmnist,224,Hibou-B,self_attention,256,1,0.8817,0.9952,0.0,0.0,5.75,0.1
organcmnist,224,CheXagent,self_attention,256,1,0.9009,0.9951,0.0,0.0,5.49,0.09
organcmnist,224,UNI2,self_attention,256,1,0.8733,0.9944,0.0,0.0,6.21,0.1
organcmnist,224,"BioMedCLIP,PubMedCLIP",self_attention,256,1,0.8955,0.996,0.0,0.0,6.01,0.1
organcmnist,224,"BioMedCLIP,CONCH",self_attention,256,1,0.9076,0.9958,0.0,0.0,6.05,0.1
organcmnist,224,"BioMedCLIP,rad-dino",self_attention,256,1,0.8888,0.9964,0.0,0.0,6.05,0.1
organcmnist,224,"BioMedCLIP,UNI",self_attention,256,1,0.911,0.9968,0.0,0.0,6.01,0.09
organcmnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,256,1,0.8779,0.9949,0.0,0.0,6.23,0.1
organcmnist,224,"BioMedCLIP,Hibou-B",self_attention,256,1,0.9097,0.9965,0.0,0.0,5.9,0.1
organcmnist,224,"BioMedCLIP,CheXagent",self_attention,256,1,0.9197,0.9969,0.0,0.0,5.86,0.09
organcmnist,224,"BioMedCLIP,UNI2",self_attention,256,1,0.8896,0.9953,0.0,0.0,6.04,0.1
organcmnist,224,"PubMedCLIP,CONCH",self_attention,256,1,0.8545,0.9918,0.0,0.0,5.91,0.09
organcmnist,224,"PubMedCLIP,rad-dino",self_attention,256,1,0.9197,0.9966,0.0,0.0,5.77,0.09
organcmnist,224,"PubMedCLIP,UNI",self_attention,256,1,0.8403,0.9909,0.0,0.0,6.08,0.1
organcmnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,256,1,0.8549,0.9909,0.0,0.0,6.51,0.1
organcmnist,224,"PubMedCLIP,Hibou-B",self_attention,256,1,0.8767,0.9944,0.0,0.0,5.73,0.1
organcmnist,224,"PubMedCLIP,CheXagent",self_attention,256,1,0.9436,0.9981,0.0,0.0,5.47,0.09
organcmnist,224,"PubMedCLIP,UNI2",self_attention,256,1,0.9009,0.9965,0.0,0.0,6.08,0.09
organcmnist,224,"CONCH,rad-dino",self_attention,256,1,0.8821,0.9948,0.0,0.0,5.89,0.09
organcmnist,224,"CONCH,UNI",self_attention,256,1,0.8457,0.9902,0.0,0.0,6.01,0.1
