Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
pathmnist,224,BioMedCLIP,self_attention,256,1,0.9716,0.9991,0.0,0.0,13.47,0.19
pathmnist,224,PubMedCLIP,self_attention,256,1,0.9612,0.9986,0.0,0.0,13.39,0.18
pathmnist,224,CONCH,self_attention,256,1,0.9895,0.9998,0.0,0.0,12.51,0.18
pathmnist,224,rad-dino,self_attention,256,1,0.9009,0.9928,0.0,0.0,13.69,0.18
pathmnist,224,UNI,self_attention,256,1,0.9928,0.9999,0.0,0.0,12.76,0.17
pathmnist,224,Prov-GigaPath,self_attention,256,1,0.9769,0.9993,0.0,0.0,13.61,0.17
pathmnist,224,Hibou-B,self_attention,256,1,0.9934,0.9999,0.0,0.0,12.63,0.17
pathmnist,224,CheXagent,self_attention,256,1,0.9865,0.9998,0.0,0.0,12.98,0.18
pathmnist,224,UNI2,self_attention,256,1,0.9943,0.9999,0.0,0.0,12.75,0.17
pathmnist,224,"BioMedCLIP,PubMedCLIP",self_attention,256,1,0.9701,0.999,0.0,0.0,13.32,0.18
pathmnist,224,"BioMedCLIP,CONCH",self_attention,256,1,0.9827,0.9996,0.0,0.0,13.11,0.18
pathmnist,224,"BioMedCLIP,rad-dino",self_attention,256,1,0.9712,0.9991,0.0,0.0,13.29,0.18
pathmnist,224,"BioMedCLIP,UNI",self_attention,256,1,0.9877,0.9998,0.0,0.0,13.2,0.17
pathmnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,256,1,0.9707,0.9991,0.0,0.0,13.31,0.17
pathmnist,224,"BioMedCLIP,Hibou-B",self_attention,256,1,0.985,0.9997,0.0,0.0,13.23,0.18
pathmnist,224,"BioMedCLIP,CheXagent",self_attention,256,1,0.9716,0.9991,0.0,0.0,13.35,0.18
pathmnist,224,"BioMedCLIP,UNI2",self_attention,256,1,0.9799,0.9995,0.0,0.0,13.41,0.18
pathmnist,224,"PubMedCLIP,CONCH",self_attention,256,1,0.9892,0.9998,0.0,0.0,12.48,0.17
pathmnist,224,"PubMedCLIP,rad-dino",self_attention,256,1,0.9448,0.9973,0.0,0.0,13.68,0.18
pathmnist,224,"PubMedCLIP,UNI",self_attention,256,1,0.9931,0.9999,0.0,0.0,12.82,0.17
pathmnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,256,1,0.9754,0.9993,0.0,0.0,13.41,0.18
pathmnist,224,"PubMedCLIP,Hibou-B",self_attention,256,1,0.9936,0.9999,0.0,0.0,12.69,0.17
pathmnist,224,"PubMedCLIP,CheXagent",self_attention,256,1,0.9865,0.9997,0.0,0.0,13.05,0.17
pathmnist,224,"PubMedCLIP,UNI2",self_attention,256,1,0.9938,0.9999,0.0,0.0,12.65,0.18
pathmnist,224,"CONCH,rad-dino",self_attention,256,1,0.9894,0.9999,0.0,0.0,12.45,0.17
pathmnist,224,"CONCH,UNI",self_attention,256,1,0.9937,0.9999,0.0,0.0,12.47,0.17
pathmnist,224,"CONCH,Prov-GigaPath",self_attention,256,1,0.9886,0.9997,0.0,0.0,12.66,0.17
