Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
tissuemnist,224,BioMedCLIP,self_attention,256,1,0.5704,0.8719,0.0,0.0,18.28,0.33
tissuemnist,224,PubMedCLIP,self_attention,256,1,0.5737,0.8707,0.0,0.0,18.46,0.31
tissuemnist,224,CONCH,self_attention,256,1,0.5452,0.8541,0.0,0.0,17.64,0.33
tissuemnist,224,rad-dino,self_attention,256,1,0.546,0.8577,0.0,0.0,18.17,0.33
tissuemnist,224,UNI,self_attention,256,1,0.5818,0.8787,0.0,0.0,18.64,0.34
tissuemnist,224,Prov-GigaPath,self_attention,256,1,0.5959,0.8855,0.0,0.0,18.42,0.32
tissuemnist,224,Hibou-B,self_attention,256,1,0.6349,0.9073,0.0,0.0,18.54,0.32
tissuemnist,224,CheXagent,self_attention,256,1,0.6212,0.902,0.0,0.0,18.5,0.33
tissuemnist,224,UNI2,self_attention,256,1,0.5947,0.8859,0.0,0.0,18.38,0.33
tissuemnist,224,"BioMedCLIP,PubMedCLIP",self_attention,256,1,0.5689,0.8698,0.0,0.0,18.48,0.33
tissuemnist,224,"BioMedCLIP,CONCH",self_attention,256,1,0.5779,0.8747,0.0,0.0,18.4,0.33
tissuemnist,224,"BioMedCLIP,rad-dino",self_attention,256,1,0.574,0.8731,0.0,0.0,18.4,0.32
tissuemnist,224,"BioMedCLIP,UNI",self_attention,256,1,0.5883,0.8792,0.0,0.0,18.62,0.36
tissuemnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,256,1,0.5904,0.8818,0.0,0.0,18.51,0.31
tissuemnist,224,"BioMedCLIP,Hibou-B",self_attention,256,1,0.5885,0.8788,0.0,0.0,18.67,0.32
tissuemnist,224,"BioMedCLIP,CheXagent",self_attention,256,1,0.5932,0.8855,0.0,0.0,18.66,0.34
tissuemnist,224,"BioMedCLIP,UNI2",self_attention,256,1,0.572,0.8715,0.0,0.0,18.47,0.33
tissuemnist,224,"PubMedCLIP,CONCH",self_attention,256,1,0.5728,0.8713,0.0,0.0,18.06,0.33
tissuemnist,224,"PubMedCLIP,rad-dino",self_attention,256,1,0.5741,0.8735,0.0,0.0,18.61,0.34
tissuemnist,224,"PubMedCLIP,UNI",self_attention,256,1,0.585,0.8782,0.0,0.0,18.78,0.34
tissuemnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,256,1,0.5935,0.8855,0.0,0.0,18.88,0.31
tissuemnist,224,"PubMedCLIP,Hibou-B",self_attention,256,1,0.6277,0.9044,0.0,0.0,18.66,0.34
tissuemnist,224,"PubMedCLIP,CheXagent",self_attention,256,1,0.6238,0.9023,0.0,0.0,18.6,0.33
tissuemnist,224,"PubMedCLIP,UNI2",self_attention,256,1,0.5906,0.8823,0.0,0.0,18.52,0.34
tissuemnist,224,"CONCH,rad-dino",self_attention,256,1,0.5695,0.87,0.0,0.0,17.96,0.32
tissuemnist,224,"CONCH,UNI",self_attention,256,1,0.5904,0.8839,0.0,0.0,18.56,0.34
tissuemnist,224,"CONCH,Prov-GigaPath",self_attention,256,1,0.6051,0.8916,0.0,0.0,18.77,0.34
tissuemnist,224,"CONCH,Hibou-B",self_attention,256,1,0.6236,0.8993,0.0,0.0,18.32,0.34
tissuemnist,224,"CONCH,CheXagent",self_attention,256,1,0.6169,0.8967,0.0,0.0,18.34,0.31
tissuemnist,224,"CONCH,UNI2",self_attention,256,1,0.5988,0.8855,0.0,0.0,18.34,0.32
tissuemnist,224,"rad-dino,UNI",self_attention,256,1,0.5836,0.8808,0.0,0.0,18.77,0.31
tissuemnist,224,"rad-dino,Prov-GigaPath",self_attention,256,1,0.5976,0.8882,0.0,0.0,18.72,0.32
tissuemnist,224,"rad-dino,Hibou-B",self_attention,256,1,0.6263,0.9017,0.0,0.0,18.62,0.32
tissuemnist,224,"rad-dino,CheXagent",self_attention,256,1,0.6209,0.9003,0.0,0.0,18.58,0.34
tissuemnist,224,"rad-dino,UNI2",self_attention,256,1,0.5916,0.8839,0.0,0.0,18.39,0.33
tissuemnist,224,"UNI,Prov-GigaPath",self_attention,256,1,0.607,0.8919,0.0,0.0,18.73,0.33
tissuemnist,224,"UNI,Hibou-B",self_attention,256,1,0.6062,0.8921,0.0,0.0,18.8,0.34
tissuemnist,224,"UNI,CheXagent",self_attention,256,1,0.6073,0.8946,0.0,0.0,18.58,0.34
tissuemnist,224,"UNI,UNI2",self_attention,256,1,0.5914,0.8825,0.0,0.0,18.72,0.34
tissuemnist,224,"Prov-GigaPath,Hibou-B",self_attention,256,1,0.622,0.9,0.0,0.0,18.66,0.34
tissuemnist,224,"Prov-GigaPath,CheXagent",self_attention,256,1,0.6096,0.8945,0.0,0.0,18.73,0.32
tissuemnist,224,"Prov-GigaPath,UNI2",self_attention,256,1,0.6027,0.8901,0.0,0.0,18.73,0.34
tissuemnist,224,"Hibou-B,CheXagent",self_attention,256,1,0.6434,0.9125,0.0,0.0,18.69,0.32
tissuemnist,224,"Hibou-B,UNI2",self_attention,256,1,0.6311,0.9037,0.0,0.0,18.56,0.31
tissuemnist,224,"CheXagent,UNI2",self_attention,256,1,0.6202,0.8989,0.0,0.0,18.42,0.32
tissuemnist,224,"BioMedCLIP,PubMedCLIP,CONCH",self_attention,256,1,0.5826,0.8755,0.0,0.0,18.27,0.33
tissuemnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",self_attention,256,1,0.5757,0.8734,0.0,0.0,18.57,0.34
tissuemnist,224,"BioMedCLIP,PubMedCLIP,UNI",self_attention,256,1,0.5839,0.8792,0.0,0.0,18.71,0.33
tissuemnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",self_attention,256,1,0.5955,0.8844,0.0,0.0,18.84,0.34
tissuemnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",self_attention,256,1,0.5809,0.8766,0.0,0.0,18.54,0.3
tissuemnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",self_attention,256,1,0.5836,0.878,0.0,0.0,18.66,0.34
tissuemnist,224,"BioMedCLIP,PubMedCLIP,UNI2",self_attention,256,1,0.5777,0.8738,0.0,0.0,18.63,0.34
tissuemnist,224,"BioMedCLIP,CONCH,rad-dino",self_attention,256,1,0.5807,0.878,0.0,0.0,18.49,0.34
tissuemnist,224,"BioMedCLIP,CONCH,UNI",self_attention,256,1,0.5876,0.8801,0.0,0.0,18.68,0.33
tissuemnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",self_attention,256,1,0.5983,0.8889,0.0,0.0,18.68,0.35
tissuemnist,224,"BioMedCLIP,CONCH,Hibou-B",self_attention,256,1,0.5953,0.8855,0.0,0.0,18.47,0.34
tissuemnist,224,"BioMedCLIP,CONCH,CheXagent",self_attention,256,1,0.5917,0.8828,0.0,0.0,18.51,0.33
tissuemnist,224,"BioMedCLIP,CONCH,UNI2",self_attention,256,1,0.5785,0.8755,0.0,0.0,18.43,0.33
tissuemnist,224,"BioMedCLIP,rad-dino,UNI",self_attention,256,1,0.5858,0.8784,0.0,0.0,18.53,0.33
tissuemnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",self_attention,256,1,0.5964,0.8842,0.0,0.0,18.76,0.32
tissuemnist,224,"BioMedCLIP,rad-dino,Hibou-B",self_attention,256,1,0.586,0.8791,0.0,0.0,18.46,0.33
tissuemnist,224,"BioMedCLIP,rad-dino,CheXagent",self_attention,256,1,0.5826,0.877,0.0,0.0,18.53,0.34
