Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
dermamnist,224,BioMedCLIP,self_attention,512,1,0.7946,0.9407,0.0,0.0,4.48,0.07
dermamnist,224,PubMedCLIP,self_attention,512,1,0.7936,0.9356,0.0,0.0,4.45,0.07
dermamnist,224,CONCH,self_attention,512,1,0.7797,0.9358,0.0,0.0,4.46,0.07
dermamnist,224,rad-dino,self_attention,512,1,0.7418,0.9108,0.0,0.0,4.52,0.07
dermamnist,224,UNI,self_attention,512,1,0.8056,0.9483,0.0,0.0,4.45,0.07
dermamnist,224,Prov-GigaPath,self_attention,512,1,0.8046,0.9351,0.0,0.0,4.42,0.07
dermamnist,224,Hibou-B,self_attention,512,1,0.7846,0.9325,0.0,0.0,4.44,0.07
dermamnist,224,CheXagent,self_attention,512,1,0.8435,0.9614,0.0,0.0,4.36,0.07
dermamnist,224,UNI2,self_attention,512,1,0.7876,0.9384,0.0,0.0,4.42,0.06
dermamnist,224,"BioMedCLIP,PubMedCLIP",self_attention,512,1,0.7966,0.9458,0.0,0.0,4.34,0.06
dermamnist,224,"BioMedCLIP,CONCH",self_attention,512,1,0.8016,0.9446,0.0,0.0,4.39,0.07
dermamnist,224,"BioMedCLIP,rad-dino",self_attention,512,1,0.7956,0.9401,0.0,0.0,4.41,0.06
dermamnist,224,"BioMedCLIP,UNI",self_attention,512,1,0.8166,0.9514,0.0,0.0,4.39,0.06
dermamnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,512,1,0.8066,0.9475,0.0,0.0,4.33,0.07
dermamnist,224,"BioMedCLIP,Hibou-B",self_attention,512,1,0.8156,0.945,0.0,0.0,4.35,0.06
dermamnist,224,"BioMedCLIP,CheXagent",self_attention,512,1,0.7986,0.9396,0.0,0.0,4.35,0.07
dermamnist,224,"BioMedCLIP,UNI2",self_attention,512,1,0.8026,0.9436,0.0,0.0,4.41,0.07
dermamnist,224,"PubMedCLIP,CONCH",self_attention,512,1,0.7986,0.9348,0.0,0.0,4.43,0.06
dermamnist,224,"PubMedCLIP,rad-dino",self_attention,512,1,0.7617,0.9223,0.0,0.0,4.54,0.07
dermamnist,224,"PubMedCLIP,UNI",self_attention,512,1,0.7956,0.9395,0.0,0.0,4.47,0.07
dermamnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,512,1,0.8096,0.948,0.0,0.0,4.41,0.07
dermamnist,224,"PubMedCLIP,Hibou-B",self_attention,512,1,0.8016,0.9475,0.0,0.0,4.44,0.07
dermamnist,224,"PubMedCLIP,CheXagent",self_attention,512,1,0.8455,0.9619,0.0,0.0,4.34,0.07
dermamnist,224,"PubMedCLIP,UNI2",self_attention,512,1,0.8185,0.9423,0.0,0.0,4.39,0.07
dermamnist,224,"CONCH,rad-dino",self_attention,512,1,0.7926,0.9467,0.0,0.0,4.44,0.07
dermamnist,224,"CONCH,UNI",self_attention,512,1,0.8036,0.9506,0.0,0.0,4.38,0.06
dermamnist,224,"CONCH,Prov-GigaPath",self_attention,512,1,0.8036,0.942,0.0,0.0,4.38,0.07
dermamnist,224,"CONCH,Hibou-B",self_attention,512,1,0.7996,0.9474,0.0,0.0,4.41,0.07
dermamnist,224,"CONCH,CheXagent",self_attention,512,1,0.8235,0.9491,0.0,0.0,4.38,0.07
dermamnist,224,"CONCH,UNI2",self_attention,512,1,0.7946,0.9407,0.0,0.0,4.46,0.07
dermamnist,224,"rad-dino,UNI",self_attention,512,1,0.7896,0.94,0.0,0.0,4.47,0.07
dermamnist,224,"rad-dino,Prov-GigaPath",self_attention,512,1,0.8016,0.9439,0.0,0.0,4.48,0.06
dermamnist,224,"rad-dino,Hibou-B",self_attention,512,1,0.7856,0.9354,0.0,0.0,4.49,0.07
dermamnist,224,"rad-dino,CheXagent",self_attention,512,1,0.8175,0.9532,0.0,0.0,4.45,0.06
dermamnist,224,"rad-dino,UNI2",self_attention,512,1,0.7797,0.9337,0.0,0.0,4.49,0.06
dermamnist,224,"UNI,Prov-GigaPath",self_attention,512,1,0.7986,0.9445,0.0,0.0,4.44,0.07
dermamnist,224,"UNI,Hibou-B",self_attention,512,1,0.8036,0.9385,0.0,0.0,4.45,0.06
dermamnist,224,"UNI,CheXagent",self_attention,512,1,0.8215,0.9502,0.0,0.0,4.42,0.07
dermamnist,224,"UNI,UNI2",self_attention,512,1,0.7916,0.945,0.0,0.0,4.45,0.07
dermamnist,224,"Prov-GigaPath,Hibou-B",self_attention,512,1,0.8066,0.9387,0.0,0.0,4.4,0.07
dermamnist,224,"Prov-GigaPath,CheXagent",self_attention,512,1,0.8046,0.9448,0.0,0.0,4.42,0.07
dermamnist,224,"Prov-GigaPath,UNI2",self_attention,512,1,0.7856,0.9433,0.0,0.0,4.43,0.06
dermamnist,224,"Hibou-B,CheXagent",self_attention,512,1,0.8046,0.9413,0.0,0.0,4.4,0.07
dermamnist,224,"Hibou-B,UNI2",self_attention,512,1,0.8086,0.9371,0.0,0.0,4.4,0.07
dermamnist,224,"CheXagent,UNI2",self_attention,512,1,0.8295,0.9572,0.0,0.0,4.38,0.06
dermamnist,224,"BioMedCLIP,PubMedCLIP,CONCH",self_attention,512,1,0.8076,0.9417,0.0,0.0,4.36,0.06
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",self_attention,512,1,0.7876,0.9429,0.0,0.0,4.39,0.07
dermamnist,224,"BioMedCLIP,PubMedCLIP,UNI",self_attention,512,1,0.8116,0.9477,0.0,0.0,4.36,0.07
dermamnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",self_attention,512,1,0.8156,0.948,0.0,0.0,4.34,0.06
dermamnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",self_attention,512,1,0.8136,0.9484,0.0,0.0,4.39,0.06
dermamnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",self_attention,512,1,0.8166,0.9481,0.0,0.0,4.42,0.06
dermamnist,224,"BioMedCLIP,PubMedCLIP,UNI2",self_attention,512,1,0.7866,0.9427,0.0,0.0,4.37,0.06
dermamnist,224,"BioMedCLIP,CONCH,rad-dino",self_attention,512,1,0.7996,0.9414,0.0,0.0,4.37,0.07
dermamnist,224,"BioMedCLIP,CONCH,UNI",self_attention,512,1,0.8166,0.9502,0.0,0.0,4.35,0.07
dermamnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",self_attention,512,1,0.8066,0.9506,0.0,0.0,4.34,0.06
dermamnist,224,"BioMedCLIP,CONCH,Hibou-B",self_attention,512,1,0.8076,0.9535,0.0,0.0,4.33,0.07
dermamnist,224,"BioMedCLIP,CONCH,CheXagent",self_attention,512,1,0.8106,0.9494,0.0,0.0,4.33,0.07
dermamnist,224,"BioMedCLIP,CONCH,UNI2",self_attention,512,1,0.8106,0.94,0.0,0.0,4.35,0.07
dermamnist,224,"BioMedCLIP,rad-dino,UNI",self_attention,512,1,0.8036,0.9559,0.0,0.0,4.38,0.07
dermamnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",self_attention,512,1,0.8126,0.951,0.0,0.0,4.35,0.07
dermamnist,224,"BioMedCLIP,rad-dino,Hibou-B",self_attention,512,1,0.8056,0.9489,0.0,0.0,4.38,0.07
dermamnist,224,"BioMedCLIP,rad-dino,CheXagent",self_attention,512,1,0.8066,0.9443,0.0,0.0,4.41,0.06
dermamnist,224,"BioMedCLIP,rad-dino,UNI2",self_attention,512,1,0.7996,0.9479,0.0,0.0,4.39,0.07
dermamnist,224,"BioMedCLIP,UNI,Prov-GigaPath",self_attention,512,1,0.8245,0.9549,0.0,0.0,4.39,0.07
dermamnist,224,"BioMedCLIP,UNI,Hibou-B",self_attention,512,1,0.8126,0.9522,0.0,0.0,4.4,0.07
dermamnist,224,"BioMedCLIP,UNI,CheXagent",self_attention,512,1,0.8106,0.9512,0.0,0.0,4.38,0.06
dermamnist,224,"BioMedCLIP,UNI,UNI2",self_attention,512,1,0.8016,0.9445,0.0,0.0,4.34,0.07
dermamnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",self_attention,512,1,0.8016,0.9452,0.0,0.0,4.37,0.07
dermamnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",self_attention,512,1,0.8106,0.9424,0.0,0.0,4.37,0.07
dermamnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",self_attention,512,1,0.8225,0.9477,0.0,0.0,4.36,0.06
dermamnist,224,"BioMedCLIP,Hibou-B,CheXagent",self_attention,512,1,0.7966,0.9546,0.0,0.0,4.38,0.07
dermamnist,224,"BioMedCLIP,Hibou-B,UNI2",self_attention,512,1,0.8056,0.9394,0.0,0.0,4.33,0.07
dermamnist,224,"BioMedCLIP,CheXagent,UNI2",self_attention,512,1,0.7996,0.954,0.0,0.0,4.37,0.07
dermamnist,224,"PubMedCLIP,CONCH,rad-dino",self_attention,512,1,0.7827,0.9402,0.0,0.0,4.44,0.07
dermamnist,224,"PubMedCLIP,CONCH,UNI",self_attention,512,1,0.8016,0.9539,0.0,0.0,4.47,0.07
dermamnist,224,"PubMedCLIP,CONCH,Prov-GigaPath",self_attention,512,1,0.8056,0.9461,0.0,0.0,4.37,0.06
dermamnist,224,"PubMedCLIP,CONCH,Hibou-B",self_attention,512,1,0.8016,0.9423,0.0,0.0,4.41,0.07
dermamnist,224,"PubMedCLIP,CONCH,CheXagent",self_attention,512,1,0.8086,0.9538,0.0,0.0,4.39,0.07
dermamnist,224,"PubMedCLIP,CONCH,UNI2",self_attention,512,1,0.7986,0.9435,0.0,0.0,4.44,0.07
dermamnist,224,"PubMedCLIP,rad-dino,UNI",self_attention,512,1,0.8026,0.9396,0.0,0.0,4.46,0.07
dermamnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath",self_attention,512,1,0.7876,0.9359,0.0,0.0,4.4,0.07
dermamnist,224,"PubMedCLIP,rad-dino,Hibou-B",self_attention,512,1,0.7856,0.9356,0.0,0.0,4.43,0.06
dermamnist,224,"PubMedCLIP,rad-dino,CheXagent",self_attention,512,1,0.8175,0.9436,0.0,0.0,4.42,0.06
dermamnist,224,"PubMedCLIP,rad-dino,UNI2",self_attention,512,1,0.7767,0.936,0.0,0.0,4.45,0.07
dermamnist,224,"PubMedCLIP,UNI,Prov-GigaPath",self_attention,512,1,0.8076,0.948,0.0,0.0,4.41,0.06
dermamnist,224,"PubMedCLIP,UNI,Hibou-B",self_attention,512,1,0.7966,0.9397,0.0,0.0,4.43,0.06
dermamnist,224,"PubMedCLIP,UNI,CheXagent",self_attention,512,1,0.8106,0.9546,0.0,0.0,4.46,0.08
dermamnist,224,"PubMedCLIP,UNI,UNI2",self_attention,512,1,0.7936,0.9483,0.0,0.0,4.47,0.07
dermamnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B",self_attention,512,1,0.7956,0.9397,0.0,0.0,4.44,0.07
dermamnist,224,"PubMedCLIP,Prov-GigaPath,CheXagent",self_attention,512,1,0.8106,0.95,0.0,0.0,4.42,0.07
dermamnist,224,"PubMedCLIP,Prov-GigaPath,UNI2",self_attention,512,1,0.8275,0.9513,0.0,0.0,4.36,0.07
dermamnist,224,"PubMedCLIP,Hibou-B,CheXagent",self_attention,512,1,0.8056,0.9377,0.0,0.0,4.42,0.07
dermamnist,224,"PubMedCLIP,Hibou-B,UNI2",self_attention,512,1,0.8046,0.942,0.0,0.0,4.44,0.07
dermamnist,224,"PubMedCLIP,CheXagent,UNI2",self_attention,512,1,0.8375,0.9515,0.0,0.0,4.41,0.07
dermamnist,224,"CONCH,rad-dino,UNI",self_attention,512,1,0.8046,0.9523,0.0,0.0,4.4,0.06
dermamnist,224,"CONCH,rad-dino,Prov-GigaPath",self_attention,512,1,0.7966,0.9424,0.0,0.0,4.4,0.07
dermamnist,224,"CONCH,rad-dino,Hibou-B",self_attention,512,1,0.7976,0.9436,0.0,0.0,4.47,0.07
dermamnist,224,"CONCH,rad-dino,CheXagent",self_attention,512,1,0.7966,0.9486,0.0,0.0,4.39,0.07
dermamnist,224,"CONCH,rad-dino,UNI2",self_attention,512,1,0.7896,0.9393,0.0,0.0,4.42,0.07
dermamnist,224,"CONCH,UNI,Prov-GigaPath",self_attention,512,1,0.8175,0.9489,0.0,0.0,4.37,0.07
dermamnist,224,"CONCH,UNI,Hibou-B",self_attention,512,1,0.8086,0.9507,0.0,0.0,4.43,0.06
dermamnist,224,"CONCH,UNI,CheXagent",self_attention,512,1,0.8175,0.951,0.0,0.0,4.41,0.07
dermamnist,224,"CONCH,UNI,UNI2",self_attention,512,1,0.8146,0.949,0.0,0.0,4.46,0.07
dermamnist,224,"CONCH,Prov-GigaPath,Hibou-B",self_attention,512,1,0.8136,0.9523,0.0,0.0,4.38,0.06
dermamnist,224,"CONCH,Prov-GigaPath,CheXagent",self_attention,512,1,0.8116,0.9513,0.0,0.0,4.31,0.06
dermamnist,224,"CONCH,Prov-GigaPath,UNI2",self_attention,512,1,0.8166,0.9517,0.0,0.0,4.34,0.06
dermamnist,224,"CONCH,Hibou-B,CheXagent",self_attention,512,1,0.8056,0.9442,0.0,0.0,4.34,0.07
dermamnist,224,"CONCH,Hibou-B,UNI2",self_attention,512,1,0.7946,0.9411,0.0,0.0,4.41,0.07
dermamnist,224,"CONCH,CheXagent,UNI2",self_attention,512,1,0.8255,0.9534,0.0,0.0,4.4,0.07
dermamnist,224,"rad-dino,UNI,Prov-GigaPath",self_attention,512,1,0.8136,0.948,0.0,0.0,4.38,0.07
dermamnist,224,"rad-dino,UNI,Hibou-B",self_attention,512,1,0.8116,0.9471,0.0,0.0,4.42,0.07
dermamnist,224,"rad-dino,UNI,CheXagent",self_attention,512,1,0.8156,0.9531,0.0,0.0,4.41,0.06
dermamnist,224,"rad-dino,UNI,UNI2",self_attention,512,1,0.8116,0.9438,0.0,0.0,4.46,0.07
dermamnist,224,"rad-dino,Prov-GigaPath,Hibou-B",self_attention,512,1,0.8006,0.9502,0.0,0.0,4.37,0.06
dermamnist,224,"rad-dino,Prov-GigaPath,CheXagent",self_attention,512,1,0.8126,0.951,0.0,0.0,4.37,0.06
dermamnist,224,"rad-dino,Prov-GigaPath,UNI2",self_attention,512,1,0.7996,0.9424,0.0,0.0,4.37,0.07
dermamnist,224,"rad-dino,Hibou-B,CheXagent",self_attention,512,1,0.7956,0.9419,0.0,0.0,4.41,0.06
dermamnist,224,"rad-dino,Hibou-B,UNI2",self_attention,512,1,0.7976,0.9446,0.0,0.0,4.39,0.06
dermamnist,224,"rad-dino,CheXagent,UNI2",self_attention,512,1,0.8225,0.9479,0.0,0.0,4.34,0.07
dermamnist,224,"UNI,Prov-GigaPath,Hibou-B",self_attention,512,1,0.8066,0.9482,0.0,0.0,4.37,0.07
dermamnist,224,"UNI,Prov-GigaPath,CheXagent",self_attention,512,1,0.8215,0.9566,0.0,0.0,4.36,0.06
dermamnist,224,"UNI,Prov-GigaPath,UNI2",self_attention,512,1,0.8046,0.9469,0.0,0.0,4.37,0.07
dermamnist,224,"UNI,Hibou-B,CheXagent",self_attention,512,1,0.8036,0.9515,0.0,0.0,4.37,0.06
dermamnist,224,"UNI,Hibou-B,UNI2",self_attention,512,1,0.8046,0.9436,0.0,0.0,4.4,0.06
dermamnist,224,"UNI,CheXagent,UNI2",self_attention,512,1,0.8146,0.952,0.0,0.0,4.39,0.07
dermamnist,224,"Prov-GigaPath,Hibou-B,CheXagent",self_attention,512,1,0.8126,0.9508,0.0,0.0,4.41,0.06
dermamnist,224,"Prov-GigaPath,Hibou-B,UNI2",self_attention,512,1,0.7946,0.9395,0.0,0.0,4.4,0.07
dermamnist,224,"Prov-GigaPath,CheXagent,UNI2",self_attention,512,1,0.8016,0.9489,0.0,0.0,4.36,0.07
