Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
organamnist,224,BioMedCLIP,self_attention,512,1,0.9425,0.9984,0.0,0.0,12.7,0.19
organamnist,224,PubMedCLIP,self_attention,512,1,0.9428,0.9984,0.0,0.0,12.16,0.18
organamnist,224,CONCH,self_attention,512,1,0.8495,0.9894,0.0,0.0,12.88,0.19
organamnist,224,rad-dino,self_attention,512,1,0.9293,0.9972,0.0,0.0,12.23,0.19
organamnist,224,UNI,self_attention,512,1,0.854,0.9915,0.0,0.0,12.87,0.19
organamnist,224,Prov-GigaPath,self_attention,512,1,0.9293,0.9973,0.0,0.0,13.44,0.19
organamnist,224,Hibou-B,self_attention,512,1,0.8888,0.9944,0.0,0.0,12.4,0.19
organamnist,224,CheXagent,self_attention,512,1,0.9467,0.9986,0.0,0.0,11.63,0.19
organamnist,224,UNI2,self_attention,512,1,0.9123,0.9957,0.0,0.0,13.0,0.19
organamnist,224,"BioMedCLIP,PubMedCLIP",self_attention,512,1,0.9368,0.998,0.0,0.0,12.64,0.19
organamnist,224,"BioMedCLIP,CONCH",self_attention,512,1,0.9404,0.9983,0.0,0.0,12.72,0.18
organamnist,224,"BioMedCLIP,rad-dino",self_attention,512,1,0.9484,0.9983,0.0,0.0,12.45,0.18
organamnist,224,"BioMedCLIP,UNI",self_attention,512,1,0.9484,0.9984,0.0,0.0,12.59,0.18
organamnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,512,1,0.9482,0.9986,0.0,0.0,12.73,0.19
organamnist,224,"BioMedCLIP,Hibou-B",self_attention,512,1,0.947,0.9984,0.0,0.0,12.6,0.19
organamnist,224,"BioMedCLIP,CheXagent",self_attention,512,1,0.9556,0.9987,0.0,0.0,12.72,0.19
organamnist,224,"BioMedCLIP,UNI2",self_attention,512,1,0.9391,0.9983,0.0,0.0,12.57,0.19
organamnist,224,"PubMedCLIP,CONCH",self_attention,512,1,0.912,0.9965,0.0,0.0,12.53,0.18
organamnist,224,"PubMedCLIP,rad-dino",self_attention,512,1,0.9589,0.999,0.0,0.0,12.08,0.18
organamnist,224,"PubMedCLIP,UNI",self_attention,512,1,0.8825,0.9936,0.0,0.0,12.72,0.19
organamnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,512,1,0.9338,0.9977,0.0,0.0,13.39,0.19
organamnist,224,"PubMedCLIP,Hibou-B",self_attention,512,1,0.9231,0.9972,0.0,0.0,12.2,0.18
organamnist,224,"PubMedCLIP,CheXagent",self_attention,512,1,0.9492,0.9986,0.0,0.0,11.59,0.18
organamnist,224,"PubMedCLIP,UNI2",self_attention,512,1,0.9264,0.9967,0.0,0.0,12.77,0.19
organamnist,224,"CONCH,rad-dino",self_attention,512,1,0.921,0.9974,0.0,0.0,12.07,0.18
organamnist,224,"CONCH,UNI",self_attention,512,1,0.8764,0.9925,0.0,0.0,13.08,0.25
organamnist,224,"CONCH,Prov-GigaPath",self_attention,512,1,0.9293,0.9975,0.0,0.0,13.25,0.19
organamnist,224,"CONCH,Hibou-B",self_attention,512,1,0.8806,0.9943,0.0,0.0,12.49,0.18
organamnist,224,"CONCH,CheXagent",self_attention,512,1,0.9345,0.9985,0.0,0.0,12.0,0.18
organamnist,224,"CONCH,UNI2",self_attention,512,1,0.902,0.9942,0.0,0.0,12.7,0.19
organamnist,224,"rad-dino,UNI",self_attention,512,1,0.8949,0.9953,0.0,0.0,12.71,0.18
organamnist,224,"rad-dino,Prov-GigaPath",self_attention,512,1,0.9327,0.998,0.0,0.0,13.01,0.19
organamnist,224,"rad-dino,Hibou-B",self_attention,512,1,0.9213,0.9976,0.0,0.0,12.11,0.18
organamnist,224,"rad-dino,CheXagent",self_attention,512,1,0.9379,0.9986,0.0,0.0,11.66,0.18
organamnist,224,"rad-dino,UNI2",self_attention,512,1,0.9348,0.9977,0.0,0.0,12.51,0.18
organamnist,224,"UNI,Prov-GigaPath",self_attention,512,1,0.9191,0.9965,0.0,0.0,13.04,0.18
organamnist,224,"UNI,Hibou-B",self_attention,512,1,0.8763,0.9935,0.0,0.0,12.6,0.19
organamnist,224,"UNI,CheXagent",self_attention,512,1,0.9159,0.9967,0.0,0.0,12.46,0.19
organamnist,224,"UNI,UNI2",self_attention,512,1,0.8832,0.994,0.0,0.0,12.81,0.18
organamnist,224,"Prov-GigaPath,Hibou-B",self_attention,512,1,0.9262,0.9973,0.0,0.0,12.78,0.19
organamnist,224,"Prov-GigaPath,CheXagent",self_attention,512,1,0.9225,0.9977,0.0,0.0,12.75,0.19
organamnist,224,"Prov-GigaPath,UNI2",self_attention,512,1,0.9321,0.9976,0.0,0.0,13.24,0.19
organamnist,224,"Hibou-B,CheXagent",self_attention,512,1,0.9213,0.9981,0.0,0.0,11.83,0.18
organamnist,224,"Hibou-B,UNI2",self_attention,512,1,0.8908,0.9949,0.0,0.0,12.49,0.18
organamnist,224,"CheXagent,UNI2",self_attention,512,1,0.9325,0.9979,0.0,0.0,11.97,0.18
organamnist,224,"BioMedCLIP,PubMedCLIP,CONCH",self_attention,512,1,0.9452,0.9982,0.0,0.0,12.43,0.18
organamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",self_attention,512,1,0.9478,0.9983,0.0,0.0,12.54,0.19
organamnist,224,"BioMedCLIP,PubMedCLIP,UNI",self_attention,512,1,0.9482,0.9984,0.0,0.0,12.54,0.19
organamnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",self_attention,512,1,0.9502,0.9988,0.0,0.0,12.8,0.19
organamnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",self_attention,512,1,0.9515,0.9987,0.0,0.0,12.61,0.18
organamnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",self_attention,512,1,0.9498,0.9984,0.0,0.0,12.36,0.18
organamnist,224,"BioMedCLIP,PubMedCLIP,UNI2",self_attention,512,1,0.9421,0.9983,0.0,0.0,12.59,0.18
organamnist,224,"BioMedCLIP,CONCH,rad-dino",self_attention,512,1,0.9539,0.9988,0.0,0.0,12.65,0.18
organamnist,224,"BioMedCLIP,CONCH,UNI",self_attention,512,1,0.9456,0.9986,0.0,0.0,12.5,0.19
organamnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",self_attention,512,1,0.9482,0.9986,0.0,0.0,12.75,0.19
organamnist,224,"BioMedCLIP,CONCH,Hibou-B",self_attention,512,1,0.9433,0.9983,0.0,0.0,12.35,0.18
organamnist,224,"BioMedCLIP,CONCH,CheXagent",self_attention,512,1,0.9482,0.9985,0.0,0.0,12.4,0.18
organamnist,224,"BioMedCLIP,CONCH,UNI2",self_attention,512,1,0.9425,0.9984,0.0,0.0,12.76,0.18
organamnist,224,"BioMedCLIP,rad-dino,UNI",self_attention,512,1,0.9384,0.9985,0.0,0.0,12.51,0.18
organamnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",self_attention,512,1,0.9525,0.9987,0.0,0.0,12.74,0.19
organamnist,224,"BioMedCLIP,rad-dino,Hibou-B",self_attention,512,1,0.9603,0.9988,0.0,0.0,12.47,0.18
organamnist,224,"BioMedCLIP,rad-dino,CheXagent",self_attention,512,1,0.9462,0.9985,0.0,0.0,12.4,0.18
organamnist,224,"BioMedCLIP,rad-dino,UNI2",self_attention,512,1,0.9458,0.9984,0.0,0.0,12.5,0.18
organamnist,224,"BioMedCLIP,UNI,Prov-GigaPath",self_attention,512,1,0.9476,0.9986,0.0,0.0,12.46,0.19
organamnist,224,"BioMedCLIP,UNI,Hibou-B",self_attention,512,1,0.9452,0.9984,0.0,0.0,12.5,0.18
organamnist,224,"BioMedCLIP,UNI,CheXagent",self_attention,512,1,0.9473,0.9984,0.0,0.0,12.4,0.18
organamnist,224,"BioMedCLIP,UNI,UNI2",self_attention,512,1,0.9453,0.9984,0.0,0.0,12.37,0.18
organamnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B",self_attention,512,1,0.9529,0.9987,0.0,0.0,12.72,0.18
organamnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",self_attention,512,1,0.9475,0.9987,0.0,0.0,12.77,0.19
organamnist,224,"BioMedCLIP,Prov-GigaPath,UNI2",self_attention,512,1,0.9481,0.9983,0.0,0.0,12.57,0.19
organamnist,224,"BioMedCLIP,Hibou-B,CheXagent",self_attention,512,1,0.947,0.9986,0.0,0.0,12.54,0.18
organamnist,224,"BioMedCLIP,Hibou-B,UNI2",self_attention,512,1,0.9476,0.9988,0.0,0.0,12.5,0.19
organamnist,224,"BioMedCLIP,CheXagent,UNI2",self_attention,512,1,0.9492,0.9984,0.0,0.0,12.63,0.18
organamnist,224,"PubMedCLIP,CONCH,rad-dino",self_attention,512,1,0.9325,0.9977,0.0,0.0,12.33,0.19
organamnist,224,"PubMedCLIP,CONCH,UNI",self_attention,512,1,0.8804,0.9937,0.0,0.0,12.84,0.19
organamnist,224,"PubMedCLIP,CONCH,Prov-GigaPath",self_attention,512,1,0.9319,0.9976,0.0,0.0,13.05,0.19
organamnist,224,"PubMedCLIP,CONCH,Hibou-B",self_attention,512,1,0.9005,0.9958,0.0,0.0,12.38,0.19
organamnist,224,"PubMedCLIP,CONCH,CheXagent",self_attention,512,1,0.9388,0.9979,0.0,0.0,11.87,0.18
