Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
octmnist,224,BioMedCLIP,self_attention,768,1,0.9195,0.9773,0.0,0.0,22.87,0.3
octmnist,224,PubMedCLIP,self_attention,768,1,0.9241,0.9814,0.0,0.0,22.25,0.29
octmnist,224,CONCH,self_attention,768,1,0.9117,0.9757,0.0,0.0,22.25,0.29
octmnist,224,rad-dino,self_attention,768,1,0.9252,0.9794,0.0,0.0,22.66,0.3
octmnist,224,UNI,self_attention,768,1,0.9286,0.9837,0.0,0.0,22.19,0.3
octmnist,224,Prov-GigaPath,self_attention,768,1,0.924,0.9841,0.0,0.0,22.97,0.29
octmnist,224,Hibou-B,self_attention,768,1,0.9175,0.9769,0.0,0.0,22.71,0.29
octmnist,224,CheXagent,self_attention,768,1,0.9407,0.9875,0.0,0.0,22.55,0.29
octmnist,224,UNI2,self_attention,768,1,0.9289,0.9838,0.0,0.0,22.42,0.3
octmnist,224,"BioMedCLIP,PubMedCLIP",self_attention,768,1,0.9215,0.9776,0.0,0.0,22.77,0.29
octmnist,224,"BioMedCLIP,CONCH",self_attention,768,1,0.925,0.98,0.0,0.0,22.62,0.3
octmnist,224,"BioMedCLIP,rad-dino",self_attention,768,1,0.9244,0.9793,0.0,0.0,22.55,0.3
octmnist,224,"BioMedCLIP,UNI",self_attention,768,1,0.9279,0.9825,0.0,0.0,23.15,0.3
octmnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,768,1,0.9264,0.9809,0.0,0.0,22.86,0.33
octmnist,224,"BioMedCLIP,Hibou-B",self_attention,768,1,0.9227,0.9785,0.0,0.0,22.72,0.3
octmnist,224,"BioMedCLIP,CheXagent",self_attention,768,1,0.9275,0.9813,0.0,0.0,22.59,0.29
octmnist,224,"BioMedCLIP,UNI2",self_attention,768,1,0.9242,0.9796,0.0,0.0,23.0,0.34
octmnist,224,"PubMedCLIP,CONCH",self_attention,768,1,0.9244,0.9811,0.0,0.0,22.47,0.29
octmnist,224,"PubMedCLIP,rad-dino",self_attention,768,1,0.9327,0.9852,0.0,0.0,22.87,0.3
octmnist,224,"PubMedCLIP,UNI",self_attention,768,1,0.9348,0.9846,0.0,0.0,23.03,0.31
octmnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,768,1,0.9334,0.9857,0.0,0.0,23.02,0.3
octmnist,224,"PubMedCLIP,Hibou-B",self_attention,768,1,0.9263,0.9824,0.0,0.0,22.67,0.3
octmnist,224,"PubMedCLIP,CheXagent",self_attention,768,1,0.9445,0.9898,0.0,0.0,22.77,0.29
octmnist,224,"PubMedCLIP,UNI2",self_attention,768,1,0.9355,0.9852,0.0,0.0,22.89,0.3
octmnist,224,"CONCH,rad-dino",self_attention,768,1,0.9267,0.9824,0.0,0.0,22.55,0.29
octmnist,224,"CONCH,UNI",self_attention,768,1,0.9347,0.9849,0.0,0.0,22.85,0.3
octmnist,224,"CONCH,Prov-GigaPath",self_attention,768,1,0.9322,0.9846,0.0,0.0,23.1,0.3
octmnist,224,"CONCH,Hibou-B",self_attention,768,1,0.9273,0.9817,0.0,0.0,22.67,0.3
octmnist,224,"CONCH,CheXagent",self_attention,768,1,0.9381,0.9866,0.0,0.0,22.75,0.31
octmnist,224,"CONCH,UNI2",self_attention,768,1,0.9281,0.9832,0.0,0.0,22.61,0.3
octmnist,224,"rad-dino,UNI",self_attention,768,1,0.9338,0.9851,0.0,0.0,22.96,0.3
octmnist,224,"rad-dino,Prov-GigaPath",self_attention,768,1,0.9366,0.986,0.0,0.0,22.7,0.3
