Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
organsmnist,224,BioMedCLIP,self_attention,768,1,0.8483,0.9889,0.0,0.0,11.05,0.16
organsmnist,224,PubMedCLIP,self_attention,768,1,0.8401,0.9881,0.0,0.0,10.58,0.14
organsmnist,224,CONCH,self_attention,768,1,0.7953,0.9838,0.0,0.0,10.67,0.16
organsmnist,224,rad-dino,self_attention,768,1,0.8128,0.9843,0.0,0.0,10.86,0.15
organsmnist,224,UNI,self_attention,768,1,0.8254,0.9864,0.0,0.0,10.42,0.15
organsmnist,224,Prov-GigaPath,self_attention,768,1,0.8165,0.9858,0.0,0.0,11.48,0.15
organsmnist,224,Hibou-B,self_attention,768,1,0.8405,0.9876,0.0,0.0,10.18,0.15
organsmnist,224,CheXagent,self_attention,768,1,0.8626,0.9901,0.0,0.0,10.21,0.15
organsmnist,224,UNI2,self_attention,768,1,0.8593,0.9903,0.0,0.0,11.05,0.15
organsmnist,224,"BioMedCLIP,PubMedCLIP",self_attention,768,1,0.8528,0.9889,0.0,0.0,10.95,0.15
organsmnist,224,"BioMedCLIP,CONCH",self_attention,768,1,0.8405,0.9877,0.0,0.0,10.93,0.16
organsmnist,224,"BioMedCLIP,rad-dino",self_attention,768,1,0.8422,0.9887,0.0,0.0,10.98,0.16
organsmnist,224,"BioMedCLIP,UNI",self_attention,768,1,0.8642,0.9906,0.0,0.0,10.6,0.15
organsmnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,768,1,0.843,0.9895,0.0,0.0,10.76,0.15
organsmnist,224,"BioMedCLIP,Hibou-B",self_attention,768,1,0.8479,0.9894,0.0,0.0,10.73,0.15
organsmnist,224,"BioMedCLIP,CheXagent",self_attention,768,1,0.8524,0.9888,0.0,0.0,10.94,0.15
organsmnist,224,"BioMedCLIP,UNI2",self_attention,768,1,0.8471,0.9885,0.0,0.0,10.7,0.14
organsmnist,224,"PubMedCLIP,CONCH",self_attention,768,1,0.8161,0.9858,0.0,0.0,10.69,0.14
organsmnist,224,"PubMedCLIP,rad-dino",self_attention,768,1,0.843,0.9881,0.0,0.0,10.72,0.15
organsmnist,224,"PubMedCLIP,UNI",self_attention,768,1,0.8295,0.9858,0.0,0.0,10.38,0.14
organsmnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,768,1,0.8303,0.9881,0.0,0.0,11.14,0.15
organsmnist,224,"PubMedCLIP,Hibou-B",self_attention,768,1,0.8573,0.9877,0.0,0.0,10.37,0.15
organsmnist,224,"PubMedCLIP,CheXagent",self_attention,768,1,0.8687,0.9913,0.0,0.0,9.95,0.14
organsmnist,224,"PubMedCLIP,UNI2",self_attention,768,1,0.8581,0.9901,0.0,0.0,10.5,0.14
organsmnist,224,"CONCH,rad-dino",self_attention,768,1,0.8144,0.9853,0.0,0.0,10.6,0.15
organsmnist,224,"CONCH,UNI",self_attention,768,1,0.8226,0.9865,0.0,0.0,10.64,0.15
organsmnist,224,"CONCH,Prov-GigaPath",self_attention,768,1,0.8487,0.9893,0.0,0.0,10.83,0.15
organsmnist,224,"CONCH,Hibou-B",self_attention,768,1,0.8446,0.9867,0.0,0.0,10.31,0.15
organsmnist,224,"CONCH,CheXagent",self_attention,768,1,0.8487,0.9887,0.0,0.0,10.26,0.15
organsmnist,224,"CONCH,UNI2",self_attention,768,1,0.8397,0.9874,0.0,0.0,10.54,0.15
organsmnist,224,"rad-dino,UNI",self_attention,768,1,0.8254,0.9878,0.0,0.0,10.76,0.15
organsmnist,224,"rad-dino,Prov-GigaPath",self_attention,768,1,0.8222,0.9874,0.0,0.0,11.01,0.15
organsmnist,224,"rad-dino,Hibou-B",self_attention,768,1,0.8458,0.9884,0.0,0.0,10.31,0.15
organsmnist,224,"rad-dino,CheXagent",self_attention,768,1,0.8585,0.9896,0.0,0.0,9.92,0.16
organsmnist,224,"rad-dino,UNI2",self_attention,768,1,0.8462,0.9892,0.0,0.0,10.74,0.15
organsmnist,224,"UNI,Prov-GigaPath",self_attention,768,1,0.8263,0.9886,0.0,0.0,10.99,0.14
organsmnist,224,"UNI,Hibou-B",self_attention,768,1,0.8544,0.9886,0.0,0.0,10.55,0.14
organsmnist,224,"UNI,CheXagent",self_attention,768,1,0.8442,0.9878,0.0,0.0,10.44,0.15
organsmnist,224,"UNI,UNI2",self_attention,768,1,0.8332,0.9881,0.0,0.0,10.43,0.14
organsmnist,224,"Prov-GigaPath,Hibou-B",self_attention,768,1,0.8389,0.9894,0.0,0.0,10.86,0.14
organsmnist,224,"Prov-GigaPath,CheXagent",self_attention,768,1,0.8467,0.99,0.0,0.0,10.74,0.15
organsmnist,224,"Prov-GigaPath,UNI2",self_attention,768,1,0.8303,0.989,0.0,0.0,11.38,0.15
organsmnist,224,"Hibou-B,CheXagent",self_attention,768,1,0.865,0.9891,0.0,0.0,10.22,0.15
organsmnist,224,"Hibou-B,UNI2",self_attention,768,1,0.8381,0.9881,0.0,0.0,10.43,0.15
organsmnist,224,"CheXagent,UNI2",self_attention,768,1,0.8654,0.9907,0.0,0.0,10.08,0.15
organsmnist,224,"BioMedCLIP,PubMedCLIP,CONCH",self_attention,768,1,0.8483,0.99,0.0,0.0,10.9,0.15
organsmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",self_attention,768,1,0.8499,0.9891,0.0,0.0,10.98,0.16
organsmnist,224,"BioMedCLIP,PubMedCLIP,UNI",self_attention,768,1,0.8593,0.99,0.0,0.0,10.82,0.15
organsmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",self_attention,768,1,0.8438,0.9899,0.0,0.0,10.84,0.14
organsmnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",self_attention,768,1,0.8503,0.9895,0.0,0.0,10.67,0.15
organsmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",self_attention,768,1,0.8479,0.989,0.0,0.0,10.58,0.15
organsmnist,224,"BioMedCLIP,PubMedCLIP,UNI2",self_attention,768,1,0.8515,0.9905,0.0,0.0,10.99,0.15
organsmnist,224,"BioMedCLIP,CONCH,rad-dino",self_attention,768,1,0.852,0.99,0.0,0.0,10.96,0.15
organsmnist,224,"BioMedCLIP,CONCH,UNI",self_attention,768,1,0.8723,0.9908,0.0,0.0,10.86,0.15
