Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
pneumoniamnist,224,BioMedCLIP,self_attention,768,1,0.979,0.9967,0.0,0.0,1.4,0.04
pneumoniamnist,224,PubMedCLIP,self_attention,768,1,0.9542,0.9874,0.0,0.0,1.32,0.03
pneumoniamnist,224,CONCH,self_attention,768,1,0.9447,0.9865,0.0,0.0,1.31,0.03
pneumoniamnist,224,rad-dino,self_attention,768,1,0.9637,0.9938,0.0,0.0,1.27,0.03
pneumoniamnist,224,UNI,self_attention,768,1,0.9618,0.9922,0.0,0.0,1.3,0.03
pneumoniamnist,224,Prov-GigaPath,self_attention,768,1,0.958,0.9902,0.0,0.0,1.33,0.03
pneumoniamnist,224,Hibou-B,self_attention,768,1,0.9599,0.9934,0.0,0.0,1.39,0.03
pneumoniamnist,224,CheXagent,self_attention,768,1,0.9866,0.9992,0.0,0.0,1.21,0.03
pneumoniamnist,224,UNI2,self_attention,768,1,0.9656,0.9889,0.0,0.0,1.37,0.03
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP",self_attention,768,1,0.9695,0.9943,0.0,0.0,1.26,0.03
pneumoniamnist,224,"BioMedCLIP,CONCH",self_attention,768,1,0.9695,0.9953,0.0,0.0,1.24,0.03
pneumoniamnist,224,"BioMedCLIP,rad-dino",self_attention,768,1,0.9752,0.9974,0.0,0.0,1.22,0.03
pneumoniamnist,224,"BioMedCLIP,UNI",self_attention,768,1,0.9752,0.997,0.0,0.0,1.23,0.03
pneumoniamnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,768,1,0.9637,0.9942,0.0,0.0,1.24,0.03
pneumoniamnist,224,"BioMedCLIP,Hibou-B",self_attention,768,1,0.9714,0.9958,0.0,0.0,1.27,0.03
pneumoniamnist,224,"BioMedCLIP,CheXagent",self_attention,768,1,0.9695,0.9971,0.0,0.0,1.22,0.03
pneumoniamnist,224,"BioMedCLIP,UNI2",self_attention,768,1,0.979,0.9959,0.0,0.0,1.21,0.03
pneumoniamnist,224,"PubMedCLIP,CONCH",self_attention,768,1,0.9542,0.9895,0.0,0.0,1.33,0.03
pneumoniamnist,224,"PubMedCLIP,rad-dino",self_attention,768,1,0.9809,0.9966,0.0,0.0,1.23,0.03
pneumoniamnist,224,"PubMedCLIP,UNI",self_attention,768,1,0.9637,0.9917,0.0,0.0,1.28,0.03
pneumoniamnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,768,1,0.958,0.9907,0.0,0.0,1.24,0.03
pneumoniamnist,224,"PubMedCLIP,Hibou-B",self_attention,768,1,0.9656,0.9938,0.0,0.0,1.28,0.03
