Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
retinamnist,224,BioMedCLIP,self_attention,768,1,0.5167,0.8125,0.0,0.0,2.15,0.05
retinamnist,224,PubMedCLIP,self_attention,768,1,0.625,0.8567,0.0,0.0,2.23,0.04
retinamnist,224,CONCH,self_attention,768,1,0.6083,0.833,0.0,0.0,2.08,0.04
retinamnist,224,rad-dino,self_attention,768,1,0.6,0.7844,0.0,0.0,2.26,0.04
retinamnist,224,UNI,self_attention,768,1,0.6417,0.8896,0.0,0.0,2.08,0.04
retinamnist,224,Prov-GigaPath,self_attention,768,1,0.5583,0.8413,0.0,0.0,2.13,0.04
retinamnist,224,Hibou-B,self_attention,768,1,0.5667,0.8504,0.0,0.0,2.06,0.04
retinamnist,224,CheXagent,self_attention,768,1,0.6333,0.8365,0.0,0.0,2.01,0.03
retinamnist,224,UNI2,self_attention,768,1,0.6167,0.8565,0.0,0.0,2.03,0.04
retinamnist,224,"BioMedCLIP,PubMedCLIP",self_attention,768,1,0.6167,0.8131,0.0,0.0,2.07,0.04
retinamnist,224,"BioMedCLIP,CONCH",self_attention,768,1,0.5917,0.8217,0.0,0.0,2.04,0.04
retinamnist,224,"BioMedCLIP,rad-dino",self_attention,768,1,0.625,0.8213,0.0,0.0,2.07,0.04
retinamnist,224,"BioMedCLIP,UNI",self_attention,768,1,0.6333,0.8222,0.0,0.0,2.16,0.04
retinamnist,224,"BioMedCLIP,Prov-GigaPath",self_attention,768,1,0.5833,0.8308,0.0,0.0,2.05,0.04
retinamnist,224,"BioMedCLIP,Hibou-B",self_attention,768,1,0.5667,0.8226,0.0,0.0,2.06,0.04
retinamnist,224,"BioMedCLIP,CheXagent",self_attention,768,1,0.575,0.8048,0.0,0.0,2.06,0.04
retinamnist,224,"BioMedCLIP,UNI2",self_attention,768,1,0.575,0.823,0.0,0.0,2.07,0.04
retinamnist,224,"PubMedCLIP,CONCH",self_attention,768,1,0.6,0.816,0.0,0.0,2.09,0.04
retinamnist,224,"PubMedCLIP,rad-dino",self_attention,768,1,0.6083,0.814,0.0,0.0,2.11,0.04
retinamnist,224,"PubMedCLIP,UNI",self_attention,768,1,0.6,0.8705,0.0,0.0,2.19,0.04
retinamnist,224,"PubMedCLIP,Prov-GigaPath",self_attention,768,1,0.5667,0.8202,0.0,0.0,2.14,0.04
retinamnist,224,"PubMedCLIP,Hibou-B",self_attention,768,1,0.6083,0.8513,0.0,0.0,2.06,0.04
retinamnist,224,"PubMedCLIP,CheXagent",self_attention,768,1,0.6083,0.8519,0.0,0.0,2.0,0.04
retinamnist,224,"PubMedCLIP,UNI2",self_attention,768,1,0.6083,0.8499,0.0,0.0,2.03,0.04
retinamnist,224,"CONCH,rad-dino",self_attention,768,1,0.6,0.8316,0.0,0.0,2.17,0.04
retinamnist,224,"CONCH,UNI",self_attention,768,1,0.675,0.8629,0.0,0.0,2.06,0.04
retinamnist,224,"CONCH,Prov-GigaPath",self_attention,768,1,0.6,0.8281,0.0,0.0,2.05,0.04
retinamnist,224,"CONCH,Hibou-B",self_attention,768,1,0.6333,0.8257,0.0,0.0,2.06,0.04
retinamnist,224,"CONCH,CheXagent",self_attention,768,1,0.5917,0.8156,0.0,0.0,2.03,0.04
retinamnist,224,"CONCH,UNI2",self_attention,768,1,0.6333,0.8523,0.0,0.0,2.17,0.04
retinamnist,224,"rad-dino,UNI",self_attention,768,1,0.7167,0.8813,0.0,0.0,2.06,0.04
retinamnist,224,"rad-dino,Prov-GigaPath",self_attention,768,1,0.5167,0.7696,0.0,0.0,2.16,0.04
retinamnist,224,"rad-dino,Hibou-B",self_attention,768,1,0.6083,0.8533,0.0,0.0,2.05,0.04
retinamnist,224,"rad-dino,CheXagent",self_attention,768,1,0.5917,0.8356,0.0,0.0,2.03,0.04
retinamnist,224,"rad-dino,UNI2",self_attention,768,1,0.575,0.8326,0.0,0.0,2.04,0.04
retinamnist,224,"UNI,Prov-GigaPath",self_attention,768,1,0.6167,0.8677,0.0,0.0,2.05,0.04
retinamnist,224,"UNI,Hibou-B",self_attention,768,1,0.6167,0.854,0.0,0.0,2.05,0.04
retinamnist,224,"UNI,CheXagent",self_attention,768,1,0.5667,0.8545,0.0,0.0,2.05,0.04
retinamnist,224,"UNI,UNI2",self_attention,768,1,0.5833,0.8586,0.0,0.0,2.08,0.04
retinamnist,224,"Prov-GigaPath,Hibou-B",self_attention,768,1,0.6417,0.8638,0.0,0.0,2.02,0.04
retinamnist,224,"Prov-GigaPath,CheXagent",self_attention,768,1,0.575,0.8167,0.0,0.0,2.0,0.03
retinamnist,224,"Prov-GigaPath,UNI2",self_attention,768,1,0.6083,0.8426,0.0,0.0,2.02,0.04
retinamnist,224,"Hibou-B,CheXagent",self_attention,768,1,0.6333,0.864,0.0,0.0,2.04,0.04
retinamnist,224,"Hibou-B,UNI2",self_attention,768,1,0.65,0.8589,0.0,0.0,2.02,0.04
retinamnist,224,"CheXagent,UNI2",self_attention,768,1,0.6,0.8511,0.0,0.0,1.98,0.03
retinamnist,224,"BioMedCLIP,PubMedCLIP,CONCH",self_attention,768,1,0.5833,0.8212,0.0,0.0,2.19,0.04
retinamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",self_attention,768,1,0.6,0.8056,0.0,0.0,2.08,0.04
retinamnist,224,"BioMedCLIP,PubMedCLIP,UNI",self_attention,768,1,0.575,0.8102,0.0,0.0,2.05,0.04
retinamnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",self_attention,768,1,0.5917,0.8151,0.0,0.0,2.04,0.03
