Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
bloodmnist,224,BioMedCLIP,concat,0,1,0.947,0.997,0.947,0.997,0.948
bloodmnist,224,CONCH,concat,0,1,0.964,0.999,0.963,0.998,0.952
bloodmnist,224,PubMedCLIP,concat,0,1,0.940,0.997,0.937,0.996,0.947
bloodmnist,224,rad-dino,concat,0,1,0.924,0.994,0.908,0.994,0.943
bloodmnist,224,UNI,concat,0,1,0.971,0.999,0.975,0.999,0.954
bloodmnist,224,Hibou-B,concat,0,1,0.982,1.000,0.982,0.999,0.956
bloodmnist,224,Prov-GigaPath,concat,0,1,0.972,0.999,0.958,0.998,0.954
bloodmnist,224,CheXagent,concat,0,1,0.974,0.999,0.967,0.999,0.954
bloodmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.971,0.999,0.973,0.999,0.954
bloodmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.959,0.998,0.963,0.998,0.951
bloodmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.962,0.998,0.960,0.998,0.952
bloodmnist,224,"BioMedCLIP,UNI",concat,0,1,0.971,0.999,0.977,0.999,0.954
bloodmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.981,1.000,0.985,0.999,0.956
bloodmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.973,0.999,0.971,0.999,0.954
bloodmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.978,0.999,0.975,0.999,0.955
bloodmnist,224,"CONCH,PubMedCLIP",concat,0,1,0.969,0.999,0.971,0.999,0.953
bloodmnist,224,"CONCH,rad-dino",concat,0,1,0.968,0.999,0.968,0.999,0.953
bloodmnist,224,"CONCH,UNI",concat,0,1,0.975,0.999,0.977,0.999,0.955
bloodmnist,224,"CONCH,Hibou-B",concat,0,1,0.981,1.000,0.984,0.999,0.956
bloodmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.978,1.000,0.976,0.999,0.956
bloodmnist,224,"CONCH,CheXagent",concat,0,1,0.980,1.000,0.979,0.999,0.956
bloodmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.950,0.998,0.954,0.998,0.949
bloodmnist,224,"PubMedCLIP,UNI",concat,0,1,0.971,0.999,0.976,0.999,0.954
bloodmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.980,1.000,0.986,0.999,0.956
bloodmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.977,0.999,0.967,0.999,0.955
bloodmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.977,0.999,0.970,0.999,0.955
bloodmnist,224,"rad-dino,UNI",concat,0,1,0.972,0.999,0.977,0.999,0.954
bloodmnist,224,"rad-dino,Hibou-B",concat,0,1,0.982,1.000,0.984,0.999,0.956
bloodmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.971,0.999,0.968,0.999,0.954
bloodmnist,224,"rad-dino,CheXagent",concat,0,1,0.974,0.999,0.972,0.999,0.955
bloodmnist,224,"UNI,Hibou-B",concat,0,1,0.982,1.000,0.984,0.999,0.956
bloodmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.976,1.000,0.981,0.999,0.955
bloodmnist,224,"UNI,CheXagent",concat,0,1,0.980,1.000,0.980,0.999,0.956
bloodmnist,224,"Hibou-B,Prov-GigaPath",concat,0,1,0.985,1.000,0.987,1.000,0.957
bloodmnist,224,"Hibou-B,CheXagent",concat,0,1,0.988,1.000,0.986,1.000,0.957
bloodmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.978,0.999,0.975,0.999,0.955
bloodmnist,224,"BioMedCLIP,CONCH,PubMedCLIP",concat,0,1,0.974,0.999,0.975,0.999,0.954
bloodmnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.970,0.999,0.976,0.999,0.954
bloodmnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.978,0.999,0.979,0.999,0.955
bloodmnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.980,1.000,0.983,0.999,0.956
bloodmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.978,1.000,0.980,0.999,0.955
bloodmnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.981,1.000,0.979,0.999,0.956
bloodmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.967,0.999,0.966,0.999,0.953
bloodmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.974,0.999,0.977,0.999,0.955
bloodmnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",concat,0,1,0.980,1.000,0.985,0.999,0.956
bloodmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.975,0.999,0.970,0.999,0.955
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.977,0.999,0.977,0.999,0.955
bloodmnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.972,0.999,0.979,0.999,0.954
bloodmnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.981,1.000,0.984,0.999,0.956
bloodmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.975,0.999,0.972,0.999,0.955
bloodmnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.976,0.999,0.975,0.999,0.955
bloodmnist,224,"BioMedCLIP,UNI,Hibou-B",concat,0,1,0.983,1.000,0.985,0.999,0.956
bloodmnist,224,"BioMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.978,1.000,0.983,0.999,0.955
bloodmnist,224,"BioMedCLIP,UNI,CheXagent",concat,0,1,0.980,1.000,0.981,0.999,0.956
bloodmnist,224,"BioMedCLIP,Hibou-B,Prov-GigaPath",concat,0,1,0.984,1.000,0.986,1.000,0.957
bloodmnist,224,"BioMedCLIP,Hibou-B,CheXagent",concat,0,1,0.987,1.000,0.986,1.000,0.957
bloodmnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.980,0.999,0.979,0.999,0.956
bloodmnist,224,"CONCH,PubMedCLIP,rad-dino",concat,0,1,0.971,0.999,0.973,0.999,0.954
