Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
breastmnist,224,BioMedCLIP,concat,0,1,0.897,0.920,0.872,0.904,0.907
breastmnist,224,CONCH,concat,0,1,0.923,0.944,0.853,0.886,0.922
breastmnist,224,PubMedCLIP,concat,0,1,0.897,0.910,0.846,0.880,0.903
breastmnist,224,rad-dino,concat,0,1,0.897,0.931,0.827,0.892,0.912
breastmnist,224,UNI,concat,0,1,0.897,0.983,0.865,0.902,0.932
breastmnist,224,Hibou-B,concat,0,1,0.885,0.917,0.859,0.927,0.901
breastmnist,224,Prov-GigaPath,concat,0,1,0.859,0.952,0.872,0.937,0.904
breastmnist,224,CheXagent,concat,0,1,0.897,0.931,0.878,0.926,0.911
breastmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.897,0.941,0.885,0.931,0.915
breastmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.910,0.931,0.865,0.927,0.915
breastmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.885,0.931,0.885,0.916,0.906
breastmnist,224,"BioMedCLIP,UNI",concat,0,1,0.910,0.926,0.910,0.935,0.912
breastmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.872,0.947,0.872,0.931,0.908
breastmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.859,0.931,0.897,0.935,0.896
breastmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.872,0.957,0.878,0.924,0.911
breastmnist,224,"CONCH,PubMedCLIP",concat,0,1,0.872,0.930,0.840,0.913,0.901
breastmnist,224,"CONCH,rad-dino",concat,0,1,0.936,0.955,0.859,0.914,0.929
breastmnist,224,"CONCH,UNI",concat,0,1,0.923,0.947,0.878,0.922,0.924
breastmnist,224,"CONCH,Hibou-B",concat,0,1,0.872,0.952,0.859,0.925,0.909
breastmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.910,0.956,0.872,0.954,0.924
breastmnist,224,"CONCH,CheXagent",concat,0,1,0.910,0.950,0.853,0.941,0.922
breastmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.885,0.926,0.840,0.881,0.904
breastmnist,224,"PubMedCLIP,UNI",concat,0,1,0.872,0.942,0.853,0.882,0.906
breastmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.859,0.924,0.840,0.899,0.893
breastmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.885,0.931,0.827,0.881,0.906
breastmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.885,0.942,0.846,0.903,0.910
breastmnist,224,"rad-dino,UNI",concat,0,1,0.923,0.961,0.891,0.923,0.929
breastmnist,224,"rad-dino,Hibou-B",concat,0,1,0.846,0.909,0.846,0.925,0.882
breastmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.897,0.953,0.859,0.938,0.920
breastmnist,224,"rad-dino,CheXagent",concat,0,1,0.910,0.947,0.865,0.927,0.921
breastmnist,224,"UNI,Hibou-B",concat,0,1,0.885,0.953,0.878,0.928,0.915
breastmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.936,0.974,0.859,0.934,0.937
breastmnist,224,"UNI,CheXagent",concat,0,1,0.910,0.952,0.872,0.911,0.923
breastmnist,224,"Hibou-B,Prov-GigaPath",concat,0,1,0.885,0.933,0.878,0.935,0.907
breastmnist,224,"Hibou-B,CheXagent",concat,0,1,0.872,0.938,0.853,0.937,0.904
breastmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.872,0.958,0.859,0.940,0.912
breastmnist,224,"BioMedCLIP,CONCH,PubMedCLIP",concat,0,1,0.923,0.941,0.885,0.930,0.921
breastmnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.897,0.939,0.891,0.936,0.915
breastmnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.910,0.938,0.897,0.937,0.917
breastmnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.897,0.949,0.872,0.935,0.919
breastmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.885,0.922,0.897,0.942,0.903
breastmnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.910,0.937,0.885,0.937,0.917
breastmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.897,0.940,0.865,0.925,0.915
breastmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.910,0.946,0.885,0.921,0.920
breastmnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",concat,0,1,0.885,0.943,0.885,0.940,0.911
breastmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.897,0.934,0.865,0.931,0.913
breastmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.910,0.939,0.872,0.927,0.918
breastmnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.910,0.936,0.904,0.943,0.916
breastmnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.846,0.924,0.885,0.925,0.888
breastmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.885,0.937,0.910,0.938,0.909
breastmnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.885,0.967,0.885,0.929,0.921
breastmnist,224,"BioMedCLIP,UNI,Hibou-B",concat,0,1,0.897,0.947,0.891,0.940,0.918
breastmnist,224,"BioMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.885,0.936,0.910,0.941,0.908
breastmnist,224,"BioMedCLIP,UNI,CheXagent",concat,0,1,0.885,0.949,0.897,0.949,0.913
breastmnist,224,"BioMedCLIP,Hibou-B,Prov-GigaPath",concat,0,1,0.859,0.934,0.891,0.936,0.897
breastmnist,224,"BioMedCLIP,Hibou-B,CheXagent",concat,0,1,0.910,0.960,0.878,0.935,0.926
breastmnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.897,0.963,0.897,0.931,0.924
breastmnist,224,"CONCH,PubMedCLIP,rad-dino",concat,0,1,0.923,0.941,0.833,0.913,0.921
breastmnist,224,"CONCH,PubMedCLIP,UNI",concat,0,1,0.885,0.937,0.859,0.911,0.909
breastmnist,224,"CONCH,PubMedCLIP,Hibou-B",concat,0,1,0.859,0.923,0.840,0.920,0.893
breastmnist,224,"CONCH,PubMedCLIP,Prov-GigaPath",concat,0,1,0.897,0.944,0.833,0.934,0.917
breastmnist,224,"CONCH,PubMedCLIP,CheXagent",concat,0,1,0.885,0.941,0.865,0.926,0.910
breastmnist,224,"CONCH,rad-dino,UNI",concat,0,1,0.936,0.947,0.885,0.944,0.926
breastmnist,224,"CONCH,rad-dino,Hibou-B",concat,0,1,0.897,0.935,0.859,0.934,0.913
breastmnist,224,"CONCH,rad-dino,Prov-GigaPath",concat,0,1,0.923,0.956,0.872,0.949,0.927
