Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
chestmnist,224,BioMedCLIP,concat,0,1,0.949,0.775,0.948,0.770,0.835
chestmnist,224,CONCH,concat,0,1,0.949,0.715,0.947,0.711,0.799
chestmnist,224,PubMedCLIP,concat,0,1,0.949,0.733,0.947,0.734,0.809
chestmnist,224,rad-dino,concat,0,1,0.950,0.824,0.948,0.814,0.865
chestmnist,224,UNI,concat,0,1,0.949,0.756,0.947,0.754,0.824
chestmnist,224,Hibou-B,concat,0,1,0.949,0.726,0.948,0.720,0.806
chestmnist,224,Prov-GigaPath,concat,0,1,0.949,0.757,0.948,0.754,0.824
chestmnist,224,CheXagent,concat,0,1,0.950,0.831,0.949,0.831,0.869
chestmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.949,0.776,0.948,0.775,0.835
chestmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.949,0.778,0.948,0.779,0.837
chestmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.950,0.828,0.948,0.820,0.867
chestmnist,224,"BioMedCLIP,UNI",concat,0,1,0.949,0.789,0.948,0.789,0.843
chestmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.950,0.776,0.948,0.778,0.835
chestmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.949,0.792,0.948,0.788,0.845
chestmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.950,0.832,0.949,0.829,0.869
chestmnist,224,"CONCH,PubMedCLIP",concat,0,1,0.949,0.744,0.947,0.738,0.816
chestmnist,224,"CONCH,rad-dino",concat,0,1,0.950,0.821,0.948,0.813,0.863
chestmnist,224,"CONCH,UNI",concat,0,1,0.949,0.758,0.948,0.755,0.825
chestmnist,224,"CONCH,Hibou-B",concat,0,1,0.949,0.735,0.948,0.734,0.811
chestmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.949,0.762,0.948,0.757,0.827
chestmnist,224,"CONCH,CheXagent",concat,0,1,0.950,0.831,0.949,0.829,0.869
chestmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.950,0.827,0.948,0.817,0.866
chestmnist,224,"PubMedCLIP,UNI",concat,0,1,0.949,0.765,0.947,0.760,0.829
chestmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.949,0.747,0.948,0.742,0.818
chestmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.949,0.763,0.948,0.760,0.827
chestmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.950,0.829,0.949,0.829,0.868
chestmnist,224,"rad-dino,UNI",concat,0,1,0.950,0.827,0.948,0.816,0.866
chestmnist,224,"rad-dino,Hibou-B",concat,0,1,0.950,0.823,0.948,0.817,0.864
chestmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.950,0.825,0.948,0.814,0.865
chestmnist,224,"rad-dino,CheXagent",concat,0,1,0.950,0.838,0.949,0.836,0.873
chestmnist,224,"UNI,Hibou-B",concat,0,1,0.949,0.760,0.947,0.757,0.826
chestmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.949,0.771,0.948,0.770,0.832
chestmnist,224,"UNI,CheXagent",concat,0,1,0.950,0.830,0.949,0.829,0.868
chestmnist,224,"Hibou-B,Prov-GigaPath",concat,0,1,0.949,0.758,0.948,0.761,0.825
chestmnist,224,"Hibou-B,CheXagent",concat,0,1,0.950,0.829,0.949,0.829,0.867
chestmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.950,0.829,0.949,0.829,0.867
