Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
dermamnist,224,BioMedCLIP,concat,0,1,0.789,0.934,0.787,0.943,0.869
dermamnist,224,CONCH,concat,0,1,0.782,0.927,0.771,0.934,0.863
dermamnist,224,PubMedCLIP,concat,0,1,0.786,0.926,0.775,0.926,0.865
dermamnist,224,rad-dino,concat,0,1,0.742,0.898,0.737,0.902,0.835
dermamnist,224,UNI,concat,0,1,0.813,0.950,0.811,0.944,0.885
dermamnist,224,Hibou-B,concat,0,1,0.813,0.952,0.806,0.951,0.886
dermamnist,224,Prov-GigaPath,concat,0,1,0.813,0.943,0.809,0.951,0.882
dermamnist,224,CheXagent,concat,0,1,0.842,0.964,0.813,0.952,0.903
dermamnist,224,"BioMedCLIP,CONCH",concat,0,1,0.811,0.951,0.809,0.953,0.885
dermamnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.810,0.947,0.801,0.949,0.883
dermamnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.790,0.943,0.806,0.946,0.873
dermamnist,224,"BioMedCLIP,UNI",concat,0,1,0.829,0.957,0.826,0.956,0.894
dermamnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.838,0.961,0.809,0.954,0.900
dermamnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.823,0.954,0.822,0.957,0.891
dermamnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.862,0.966,0.838,0.957,0.911
dermamnist,224,"CONCH,PubMedCLIP",concat,0,1,0.794,0.949,0.794,0.942,0.877
dermamnist,224,"CONCH,rad-dino",concat,0,1,0.783,0.937,0.781,0.946,0.868
dermamnist,224,"CONCH,UNI",concat,0,1,0.817,0.949,0.817,0.951,0.886
dermamnist,224,"CONCH,Hibou-B",concat,0,1,0.813,0.960,0.812,0.954,0.889
dermamnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.818,0.948,0.814,0.954,0.886
dermamnist,224,"CONCH,CheXagent",concat,0,1,0.846,0.962,0.826,0.960,0.903
dermamnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.773,0.932,0.789,0.936,0.862
dermamnist,224,"PubMedCLIP,UNI",concat,0,1,0.806,0.949,0.819,0.945,0.882
dermamnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.817,0.954,0.806,0.950,0.888
dermamnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.813,0.947,0.823,0.955,0.884
dermamnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.839,0.960,0.825,0.953,0.900
dermamnist,224,"rad-dino,UNI",concat,0,1,0.808,0.948,0.807,0.943,0.882
dermamnist,224,"rad-dino,Hibou-B",concat,0,1,0.816,0.955,0.804,0.954,0.888
dermamnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.802,0.949,0.801,0.947,0.880
dermamnist,224,"rad-dino,CheXagent",concat,0,1,0.843,0.963,0.819,0.956,0.902
dermamnist,224,"UNI,Hibou-B",concat,0,1,0.833,0.957,0.822,0.955,0.896
dermamnist,224,"UNI,Prov-GigaPath",concat,0,1,0.829,0.958,0.822,0.957,0.895
dermamnist,224,"UNI,CheXagent",concat,0,1,0.845,0.963,0.835,0.957,0.904
dermamnist,224,"Hibou-B,Prov-GigaPath",concat,0,1,0.821,0.957,0.828,0.957,0.891
dermamnist,224,"Hibou-B,CheXagent",concat,0,1,0.858,0.967,0.833,0.959,0.910
dermamnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.844,0.966,0.828,0.957,0.904
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP",concat,0,1,0.820,0.952,0.812,0.955,0.889
dermamnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.806,0.951,0.811,0.952,0.883
dermamnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.833,0.957,0.825,0.959,0.896
dermamnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.833,0.961,0.817,0.958,0.897
dermamnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.832,0.952,0.831,0.962,0.894
dermamnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.859,0.965,0.837,0.958,0.910
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.800,0.947,0.805,0.948,0.879
dermamnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.827,0.953,0.828,0.956,0.892
dermamnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",concat,0,1,0.829,0.962,0.818,0.956,0.896
dermamnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.832,0.953,0.827,0.961,0.894
dermamnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.850,0.964,0.838,0.959,0.906
dermamnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.823,0.959,0.818,0.957,0.892
dermamnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.833,0.959,0.816,0.958,0.897
dermamnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.832,0.958,0.829,0.959,0.896
dermamnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.852,0.965,0.836,0.960,0.907
dermamnist,224,"BioMedCLIP,UNI,Hibou-B",concat,0,1,0.842,0.960,0.824,0.960,0.901
dermamnist,224,"BioMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.830,0.962,0.831,0.964,0.897
dermamnist,224,"BioMedCLIP,UNI,CheXagent",concat,0,1,0.853,0.964,0.840,0.964,0.907
dermamnist,224,"BioMedCLIP,Hibou-B,Prov-GigaPath",concat,0,1,0.841,0.963,0.829,0.964,0.902
dermamnist,224,"BioMedCLIP,Hibou-B,CheXagent",concat,0,1,0.863,0.969,0.845,0.964,0.913
dermamnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.853,0.965,0.837,0.964,0.907
dermamnist,224,"CONCH,PubMedCLIP,rad-dino",concat,0,1,0.800,0.949,0.794,0.946,0.879
dermamnist,224,"CONCH,PubMedCLIP,UNI",concat,0,1,0.814,0.946,0.810,0.952,0.884
dermamnist,224,"CONCH,PubMedCLIP,Hibou-B",concat,0,1,0.818,0.959,0.810,0.951,0.891
dermamnist,224,"CONCH,PubMedCLIP,Prov-GigaPath",concat,0,1,0.828,0.950,0.819,0.956,0.891
dermamnist,224,"CONCH,PubMedCLIP,CheXagent",concat,0,1,0.838,0.961,0.828,0.957,0.900
dermamnist,224,"CONCH,rad-dino,UNI",concat,0,1,0.818,0.955,0.806,0.954,0.889
dermamnist,224,"CONCH,rad-dino,Hibou-B",concat,0,1,0.809,0.959,0.811,0.954,0.887
dermamnist,224,"CONCH,rad-dino,Prov-GigaPath",concat,0,1,0.816,0.949,0.817,0.956,0.886
dermamnist,224,"CONCH,rad-dino,CheXagent",concat,0,1,0.840,0.961,0.822,0.957,0.901
dermamnist,224,"CONCH,UNI,Hibou-B",concat,0,1,0.824,0.960,0.825,0.956,0.894
dermamnist,224,"CONCH,UNI,Prov-GigaPath",concat,0,1,0.831,0.962,0.820,0.960,0.897
dermamnist,224,"CONCH,UNI,CheXagent",concat,0,1,0.853,0.965,0.831,0.957,0.907
dermamnist,224,"CONCH,Hibou-B,Prov-GigaPath",concat,0,1,0.826,0.962,0.821,0.960,0.895
dermamnist,224,"CONCH,Hibou-B,CheXagent",concat,0,1,0.845,0.965,0.830,0.958,0.904
dermamnist,224,"CONCH,Prov-GigaPath,CheXagent",concat,0,1,0.847,0.967,0.831,0.958,0.906
dermamnist,224,"PubMedCLIP,rad-dino,UNI",concat,0,1,0.815,0.949,0.809,0.948,0.885
dermamnist,224,"PubMedCLIP,rad-dino,Hibou-B",concat,0,1,0.807,0.956,0.814,0.952,0.885
dermamnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.812,0.952,0.814,0.954,0.885
dermamnist,224,"PubMedCLIP,rad-dino,CheXagent",concat,0,1,0.843,0.958,0.824,0.956,0.901
dermamnist,224,"PubMedCLIP,UNI,Hibou-B",concat,0,1,0.827,0.958,0.822,0.955,0.894
dermamnist,224,"PubMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.828,0.955,0.822,0.961,0.893
dermamnist,224,"PubMedCLIP,UNI,CheXagent",concat,0,1,0.850,0.960,0.829,0.957,0.904
dermamnist,224,"PubMedCLIP,Hibou-B,Prov-GigaPath",concat,0,1,0.824,0.957,0.832,0.960,0.892
dermamnist,224,"PubMedCLIP,Hibou-B,CheXagent",concat,0,1,0.848,0.961,0.831,0.959,0.904
dermamnist,224,"PubMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.839,0.965,0.828,0.960,0.902
dermamnist,224,"rad-dino,UNI,Hibou-B",concat,0,1,0.827,0.957,0.816,0.955,0.893
dermamnist,224,"rad-dino,UNI,Prov-GigaPath",concat,0,1,0.818,0.960,0.825,0.958,0.891
dermamnist,224,"rad-dino,UNI,CheXagent",concat,0,1,0.847,0.965,0.830,0.957,0.905
dermamnist,224,"rad-dino,Hibou-B,Prov-GigaPath",concat,0,1,0.830,0.961,0.830,0.958,0.896
dermamnist,224,"rad-dino,Hibou-B,CheXagent",concat,0,1,0.846,0.965,0.825,0.958,0.905
dermamnist,224,"rad-dino,Prov-GigaPath,CheXagent",concat,0,1,0.841,0.966,0.832,0.957,0.903
dermamnist,224,"UNI,Hibou-B,Prov-GigaPath",concat,0,1,0.833,0.961,0.828,0.961,0.897
dermamnist,224,"UNI,Hibou-B,CheXagent",concat,0,1,0.852,0.965,0.836,0.958,0.907
dermamnist,224,"UNI,Prov-GigaPath,CheXagent",concat,0,1,0.850,0.967,0.839,0.961,0.907
dermamnist,224,"Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.854,0.969,0.839,0.961,0.909
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,rad-dino",concat,0,1,0.814,0.949,0.811,0.953,0.885
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,UNI",concat,0,1,0.828,0.955,0.827,0.959,0.893
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,Hibou-B",concat,0,1,0.831,0.961,0.813,0.957,0.897
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,Prov-GigaPath",concat,0,1,0.831,0.960,0.833,0.964,0.896
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,CheXagent",concat,0,1,0.853,0.965,0.841,0.959,0.907
dermamnist,224,"BioMedCLIP,CONCH,rad-dino,UNI",concat,0,1,0.830,0.959,0.819,0.960,0.895
dermamnist,224,"BioMedCLIP,CONCH,rad-dino,Hibou-B",concat,0,1,0.836,0.961,0.816,0.955,0.899
dermamnist,224,"BioMedCLIP,CONCH,rad-dino,Prov-GigaPath",concat,0,1,0.831,0.957,0.826,0.964,0.895
dermamnist,224,"BioMedCLIP,CONCH,rad-dino,CheXagent",concat,0,1,0.854,0.966,0.834,0.958,0.908
dermamnist,224,"BioMedCLIP,CONCH,UNI,Hibou-B",concat,0,1,0.842,0.962,0.826,0.959,0.902
dermamnist,224,"BioMedCLIP,CONCH,UNI,Prov-GigaPath",concat,0,1,0.833,0.964,0.841,0.965,0.899
dermamnist,224,"BioMedCLIP,CONCH,UNI,CheXagent",concat,0,1,0.859,0.967,0.836,0.964,0.911
dermamnist,224,"BioMedCLIP,CONCH,Hibou-B,Prov-GigaPath",concat,0,1,0.844,0.963,0.829,0.966,0.903
dermamnist,224,"BioMedCLIP,CONCH,Hibou-B,CheXagent",concat,0,1,0.860,0.970,0.835,0.964,0.912
dermamnist,224,"BioMedCLIP,CONCH,Prov-GigaPath,CheXagent",concat,0,1,0.856,0.967,0.840,0.965,0.910
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,UNI",concat,0,1,0.820,0.954,0.823,0.957,0.889
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,Hibou-B",concat,0,1,0.833,0.956,0.817,0.956,0.896
