Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
octmnist,224,BioMedCLIP,concat,0,1,0.908,0.972,0.744,0.972,0.930
octmnist,224,CONCH,concat,0,1,0.896,0.968,0.675,0.952,0.926
octmnist,224,PubMedCLIP,concat,0,1,0.913,0.977,0.731,0.978,0.933
octmnist,224,rad-dino,concat,0,1,0.913,0.975,0.665,0.963,0.933
octmnist,224,UNI,concat,0,1,0.926,0.982,0.749,0.981,0.938
octmnist,224,Hibou-B,concat,0,1,0.906,0.972,0.656,0.969,0.930
octmnist,224,Prov-GigaPath,concat,0,1,0.921,0.982,0.744,0.985,0.937
octmnist,224,CheXagent,concat,0,1,0.932,0.986,0.689,0.963,0.941
octmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.920,0.980,0.743,0.976,0.936
octmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.929,0.982,0.785,0.986,0.939
octmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.927,0.981,0.747,0.978,0.938
octmnist,224,"BioMedCLIP,UNI",concat,0,1,0.934,0.985,0.774,0.986,0.941
octmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.925,0.980,0.726,0.980,0.937
octmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.937,0.984,0.759,0.988,0.941
octmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.938,0.987,0.713,0.972,0.942
octmnist,224,"CONCH,PubMedCLIP",concat,0,1,0.925,0.982,0.778,0.980,0.938
octmnist,224,"CONCH,rad-dino",concat,0,1,0.923,0.981,0.714,0.974,0.937
octmnist,224,"CONCH,UNI",concat,0,1,0.930,0.984,0.763,0.982,0.940
octmnist,224,"CONCH,Hibou-B",concat,0,1,0.923,0.979,0.745,0.978,0.936
octmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.933,0.985,0.758,0.986,0.941
octmnist,224,"CONCH,CheXagent",concat,0,1,0.936,0.987,0.700,0.967,0.942
octmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.927,0.983,0.758,0.981,0.939
octmnist,224,"PubMedCLIP,UNI",concat,0,1,0.936,0.986,0.770,0.987,0.941
octmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.926,0.982,0.741,0.985,0.938
octmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.937,0.987,0.767,0.992,0.942
octmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.942,0.988,0.726,0.979,0.943
octmnist,224,"rad-dino,UNI",concat,0,1,0.933,0.985,0.774,0.984,0.941
octmnist,224,"rad-dino,Hibou-B",concat,0,1,0.927,0.980,0.717,0.979,0.938
octmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.936,0.986,0.767,0.986,0.942
octmnist,224,"rad-dino,CheXagent",concat,0,1,0.940,0.987,0.714,0.974,0.943
octmnist,224,"UNI,Hibou-B",concat,0,1,0.931,0.984,0.780,0.985,0.940
octmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.939,0.987,0.772,0.989,0.943
octmnist,224,"UNI,CheXagent",concat,0,1,0.943,0.988,0.739,0.983,0.944
octmnist,224,"Hibou-B,Prov-GigaPath",concat,0,1,0.937,0.986,0.712,0.988,0.942
octmnist,224,"Hibou-B,CheXagent",concat,0,1,0.936,0.987,0.694,0.971,0.942
octmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.943,0.989,0.734,0.983,0.944
octmnist,224,"BioMedCLIP,CONCH,PubMedCLIP",concat,0,1,0.934,0.985,0.802,0.985,0.941
octmnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.932,0.984,0.761,0.981,0.940
octmnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.935,0.986,0.781,0.986,0.941
octmnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.930,0.983,0.767,0.983,0.939
octmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.939,0.986,0.769,0.989,0.942
octmnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.941,0.988,0.714,0.975,0.943
octmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.935,0.985,0.787,0.985,0.941
octmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.939,0.987,0.796,0.990,0.942
octmnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",concat,0,1,0.932,0.984,0.798,0.987,0.940
octmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.940,0.987,0.785,0.992,0.943
octmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.944,0.988,0.740,0.981,0.944
octmnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.938,0.987,0.799,0.987,0.942
octmnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.933,0.984,0.753,0.983,0.940
octmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.941,0.988,0.776,0.988,0.943
octmnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.943,0.988,0.717,0.977,0.944
octmnist,224,"BioMedCLIP,UNI,Hibou-B",concat,0,1,0.939,0.986,0.797,0.990,0.942
octmnist,224,"BioMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.943,0.988,0.767,0.990,0.944
octmnist,224,"BioMedCLIP,UNI,CheXagent",concat,0,1,0.945,0.989,0.747,0.986,0.945
octmnist,224,"BioMedCLIP,Hibou-B,Prov-GigaPath",concat,0,1,0.942,0.986,0.748,0.989,0.943
octmnist,224,"BioMedCLIP,Hibou-B,CheXagent",concat,0,1,0.941,0.987,0.707,0.977,0.943
octmnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.944,0.989,0.728,0.984,0.944
octmnist,224,"CONCH,PubMedCLIP,rad-dino",concat,0,1,0.934,0.985,0.791,0.983,0.941
octmnist,224,"CONCH,PubMedCLIP,UNI",concat,0,1,0.935,0.986,0.791,0.986,0.942
