Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
organamnist,224,BioMedCLIP,concat,0,1,0.938,0.998,0.860,0.989,0.947
organamnist,224,CONCH,concat,0,1,0.826,0.989,0.785,0.981,0.906
organamnist,224,PubMedCLIP,concat,0,1,0.946,0.998,0.893,0.993,0.948
organamnist,224,rad-dino,concat,0,1,0.920,0.997,0.854,0.986,0.943
organamnist,224,UNI,concat,0,1,0.883,0.994,0.851,0.988,0.931
organamnist,224,Hibou-B,concat,0,1,0.891,0.995,0.844,0.987,0.934
organamnist,224,Prov-GigaPath,concat,0,1,0.940,0.998,0.853,0.988,0.947
organamnist,224,CheXagent,concat,0,1,0.933,0.999,0.901,0.994,0.946
organamnist,224,"BioMedCLIP,CONCH",concat,0,1,0.945,0.998,0.891,0.993,0.948
organamnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.965,0.999,0.904,0.994,0.953
organamnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.956,0.999,0.893,0.992,0.951
organamnist,224,"BioMedCLIP,UNI",concat,0,1,0.942,0.998,0.894,0.993,0.948
organamnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.954,0.999,0.891,0.992,0.950
organamnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.958,0.999,0.885,0.993,0.951
organamnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.944,0.999,0.911,0.995,0.948
organamnist,224,"CONCH,PubMedCLIP",concat,0,1,0.956,0.999,0.897,0.994,0.951
organamnist,224,"CONCH,rad-dino",concat,0,1,0.936,0.998,0.872,0.990,0.947
organamnist,224,"CONCH,UNI",concat,0,1,0.884,0.994,0.848,0.988,0.931
organamnist,224,"CONCH,Hibou-B",concat,0,1,0.892,0.996,0.846,0.988,0.935
organamnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.939,0.999,0.877,0.992,0.947
organamnist,224,"CONCH,CheXagent",concat,0,1,0.933,0.999,0.901,0.994,0.946
organamnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.964,0.999,0.900,0.993,0.952
organamnist,224,"PubMedCLIP,UNI",concat,0,1,0.942,0.999,0.901,0.993,0.948
organamnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.953,0.999,0.893,0.992,0.950
organamnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.961,0.999,0.900,0.994,0.952
organamnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.952,0.999,0.918,0.995,0.950
organamnist,224,"rad-dino,UNI",concat,0,1,0.936,0.998,0.886,0.991,0.946
organamnist,224,"rad-dino,Hibou-B",concat,0,1,0.942,0.998,0.879,0.990,0.948
organamnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.955,0.999,0.890,0.992,0.951
