Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
organcmnist,224,BioMedCLIP,concat,0,1,0.914,0.997,0.826,0.985,0.942
organcmnist,224,CONCH,concat,0,1,0.818,0.989,0.759,0.973,0.903
organcmnist,224,PubMedCLIP,concat,0,1,0.916,0.997,0.817,0.985,0.942
organcmnist,224,rad-dino,concat,0,1,0.912,0.997,0.797,0.981,0.941
organcmnist,224,UNI,concat,0,1,0.893,0.995,0.794,0.981,0.936
organcmnist,224,Hibou-B,concat,0,1,0.906,0.997,0.811,0.984,0.940
organcmnist,224,Prov-GigaPath,concat,0,1,0.894,0.996,0.797,0.982,0.936
organcmnist,224,CheXagent,concat,0,1,0.944,0.998,0.846,0.988,0.948
organcmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.925,0.997,0.839,0.987,0.944
organcmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.938,0.998,0.847,0.989,0.947
organcmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.939,0.999,0.851,0.989,0.947
organcmnist,224,"BioMedCLIP,UNI",concat,0,1,0.941,0.998,0.849,0.989,0.948
organcmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.944,0.999,0.852,0.989,0.948
organcmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.933,0.998,0.845,0.989,0.946
organcmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.959,0.999,0.870,0.991,0.951
organcmnist,224,"CONCH,PubMedCLIP",concat,0,1,0.918,0.997,0.825,0.986,0.943
organcmnist,224,"CONCH,rad-dino",concat,0,1,0.921,0.998,0.820,0.984,0.943
organcmnist,224,"CONCH,UNI",concat,0,1,0.897,0.996,0.799,0.982,0.937
organcmnist,224,"CONCH,Hibou-B",concat,0,1,0.907,0.996,0.819,0.984,0.940
organcmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.905,0.996,0.814,0.985,0.939
organcmnist,224,"CONCH,CheXagent",concat,0,1,0.943,0.998,0.848,0.988,0.948
organcmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.935,0.998,0.847,0.988,0.946
organcmnist,224,"PubMedCLIP,UNI",concat,0,1,0.931,0.998,0.828,0.988,0.946
organcmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.948,0.999,0.845,0.989,0.949
organcmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.927,0.998,0.842,0.988,0.944
organcmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.951,0.999,0.860,0.990,0.950
organcmnist,224,"rad-dino,UNI",concat,0,1,0.938,0.998,0.832,0.986,0.947
organcmnist,224,"rad-dino,Hibou-B",concat,0,1,0.930,0.998,0.838,0.987,0.945
organcmnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.926,0.998,0.831,0.987,0.944
organcmnist,224,"rad-dino,CheXagent",concat,0,1,0.949,0.999,0.858,0.989,0.949
organcmnist,224,"UNI,Hibou-B",concat,0,1,0.909,0.997,0.819,0.985,0.941
organcmnist,224,"UNI,Prov-GigaPath",concat,0,1,0.926,0.998,0.824,0.986,0.944
organcmnist,224,"UNI,CheXagent",concat,0,1,0.945,0.998,0.849,0.988,0.948
organcmnist,224,"Hibou-B,Prov-GigaPath",concat,0,1,0.925,0.998,0.835,0.988,0.944
organcmnist,224,"Hibou-B,CheXagent",concat,0,1,0.950,0.999,0.852,0.989,0.950
organcmnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.951,0.999,0.852,0.989,0.950
organcmnist,224,"BioMedCLIP,CONCH,PubMedCLIP",concat,0,1,0.944,0.998,0.853,0.990,0.948
organcmnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.943,0.999,0.857,0.989,0.948
organcmnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.950,0.999,0.850,0.990,0.949
organcmnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.943,0.999,0.854,0.989,0.948
organcmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.939,0.998,0.851,0.990,0.947
organcmnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.959,0.999,0.866,0.991,0.952
organcmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.936,0.998,0.863,0.990,0.947
organcmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.956,0.999,0.858,0.990,0.951
organcmnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",concat,0,1,0.957,0.999,0.864,0.990,0.951
organcmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.940,0.998,0.858,0.990,0.947
organcmnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.959,0.999,0.874,0.991,0.952
organcmnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.957,0.999,0.859,0.990,0.951
organcmnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.948,0.999,0.863,0.990,0.949
organcmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.944,0.999,0.859,0.990,0.948
organcmnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.956,0.999,0.872,0.991,0.951
organcmnist,224,"BioMedCLIP,UNI,Hibou-B",concat,0,1,0.950,0.999,0.846,0.989,0.950
organcmnist,224,"BioMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.949,0.999,0.861,0.990,0.949
organcmnist,224,"BioMedCLIP,UNI,CheXagent",concat,0,1,0.959,0.999,0.872,0.991,0.952
organcmnist,224,"BioMedCLIP,Hibou-B,Prov-GigaPath",concat,0,1,0.942,0.999,0.857,0.990,0.948
organcmnist,224,"BioMedCLIP,Hibou-B,CheXagent",concat,0,1,0.957,0.999,0.867,0.991,0.951
organcmnist,224,"BioMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.958,0.999,0.870,0.991,0.951
organcmnist,224,"CONCH,PubMedCLIP,rad-dino",concat,0,1,0.936,0.998,0.845,0.989,0.946
organcmnist,224,"CONCH,PubMedCLIP,UNI",concat,0,1,0.934,0.998,0.837,0.988,0.946
organcmnist,224,"CONCH,PubMedCLIP,Hibou-B",concat,0,1,0.945,0.999,0.845,0.988,0.948
organcmnist,224,"CONCH,PubMedCLIP,Prov-GigaPath",concat,0,1,0.930,0.998,0.842,0.988,0.945
organcmnist,224,"CONCH,PubMedCLIP,CheXagent",concat,0,1,0.952,0.999,0.859,0.991,0.950
organcmnist,224,"CONCH,rad-dino,UNI",concat,0,1,0.938,0.998,0.835,0.986,0.947
organcmnist,224,"CONCH,rad-dino,Hibou-B",concat,0,1,0.934,0.998,0.841,0.987,0.946
organcmnist,224,"CONCH,rad-dino,Prov-GigaPath",concat,0,1,0.929,0.998,0.840,0.987,0.945
organcmnist,224,"CONCH,rad-dino,CheXagent",concat,0,1,0.950,0.999,0.856,0.989,0.950
organcmnist,224,"CONCH,UNI,Hibou-B",concat,0,1,0.912,0.997,0.819,0.985,0.941
organcmnist,224,"CONCH,UNI,Prov-GigaPath",concat,0,1,0.921,0.997,0.823,0.987,0.943
organcmnist,224,"CONCH,UNI,CheXagent",concat,0,1,0.949,0.999,0.852,0.989,0.949
organcmnist,224,"CONCH,Hibou-B,Prov-GigaPath",concat,0,1,0.927,0.998,0.837,0.987,0.945
organcmnist,224,"CONCH,Hibou-B,CheXagent",concat,0,1,0.946,0.999,0.855,0.989,0.949
organcmnist,224,"CONCH,Prov-GigaPath,CheXagent",concat,0,1,0.950,0.999,0.854,0.989,0.949
organcmnist,224,"PubMedCLIP,rad-dino,UNI",concat,0,1,0.949,0.999,0.845,0.989,0.949
organcmnist,224,"PubMedCLIP,rad-dino,Hibou-B",concat,0,1,0.946,0.999,0.856,0.989,0.949
organcmnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.934,0.998,0.850,0.989,0.946
organcmnist,224,"PubMedCLIP,rad-dino,CheXagent",concat,0,1,0.951,0.999,0.868,0.991,0.950
organcmnist,224,"PubMedCLIP,UNI,Hibou-B",concat,0,1,0.945,0.999,0.842,0.988,0.948
organcmnist,224,"PubMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.940,0.999,0.838,0.990,0.947
organcmnist,224,"PubMedCLIP,UNI,CheXagent",concat,0,1,0.952,0.999,0.867,0.991,0.950
