Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
organsmnist,224,BioMedCLIP,concat,0,1,0.837,0.989,0.705,0.959,0.910
organsmnist,224,CONCH,concat,0,1,0.775,0.980,0.699,0.958,0.882
organsmnist,224,PubMedCLIP,concat,0,1,0.831,0.988,0.732,0.968,0.908
organsmnist,224,rad-dino,concat,0,1,0.801,0.983,0.704,0.959,0.894
organsmnist,224,UNI,concat,0,1,0.843,0.988,0.750,0.970,0.912
organsmnist,224,Hibou-B,concat,0,1,0.840,0.987,0.745,0.968,0.911
organsmnist,224,Prov-GigaPath,concat,0,1,0.830,0.987,0.722,0.965,0.907
organsmnist,224,CheXagent,concat,0,1,0.843,0.990,0.757,0.971,0.913
organsmnist,224,"BioMedCLIP,CONCH",concat,0,1,0.855,0.990,0.730,0.966,0.918
organsmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.852,0.990,0.748,0.970,0.917
organsmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.858,0.990,0.745,0.968,0.919
organsmnist,224,"BioMedCLIP,UNI",concat,0,1,0.873,0.991,0.763,0.973,0.926
organsmnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.873,0.990,0.753,0.971,0.925
organsmnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.870,0.992,0.745,0.970,0.925
organsmnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.860,0.990,0.768,0.973,0.920
organsmnist,224,"CONCH,PubMedCLIP",concat,0,1,0.829,0.989,0.744,0.971,0.907
organsmnist,224,"CONCH,rad-dino",concat,0,1,0.811,0.986,0.730,0.966,0.899
organsmnist,224,"CONCH,UNI",concat,0,1,0.838,0.986,0.755,0.971,0.910
organsmnist,224,"CONCH,Hibou-B",concat,0,1,0.854,0.987,0.748,0.969,0.916
organsmnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.850,0.989,0.744,0.970,0.916
organsmnist,224,"CONCH,CheXagent",concat,0,1,0.847,0.990,0.759,0.973,0.915
organsmnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.848,0.990,0.747,0.972,0.915
organsmnist,224,"PubMedCLIP,UNI",concat,0,1,0.865,0.990,0.770,0.975,0.922
organsmnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.864,0.989,0.759,0.973,0.921
organsmnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.853,0.990,0.753,0.973,0.917
organsmnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.858,0.991,0.768,0.974,0.920
organsmnist,224,"rad-dino,UNI",concat,0,1,0.844,0.989,0.762,0.972,0.913
organsmnist,224,"rad-dino,Hibou-B",concat,0,1,0.860,0.988,0.749,0.970,0.919
