Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
pneumoniamnist,224,BioMedCLIP,concat,0,1,0.975,0.996,0.896,0.980,0.953
pneumoniamnist,224,CONCH,concat,0,1,0.943,0.985,0.843,0.959,0.943
pneumoniamnist,224,PubMedCLIP,concat,0,1,0.964,0.990,0.870,0.981,0.949
pneumoniamnist,224,rad-dino,concat,0,1,0.977,0.994,0.958,0.998,0.953
pneumoniamnist,224,UNI,concat,0,1,0.960,0.991,0.888,0.982,0.948
pneumoniamnist,224,Hibou-B,concat,0,1,0.966,0.994,0.845,0.968,0.951
pneumoniamnist,224,Prov-GigaPath,concat,0,1,0.954,0.990,0.897,0.981,0.947
pneumoniamnist,224,CheXagent,concat,0,1,0.992,1.000,0.933,0.991,0.958
pneumoniamnist,224,"BioMedCLIP,CONCH",concat,0,1,0.973,0.997,0.894,0.984,0.953
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.973,0.996,0.886,0.985,0.953
pneumoniamnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.981,0.999,0.936,0.997,0.956
pneumoniamnist,224,"BioMedCLIP,UNI",concat,0,1,0.979,0.998,0.891,0.987,0.955
pneumoniamnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.985,1.000,0.886,0.984,0.957
pneumoniamnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.969,0.997,0.897,0.989,0.953
pneumoniamnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.990,1.000,0.931,0.992,0.958
pneumoniamnist,224,"CONCH,PubMedCLIP",concat,0,1,0.962,0.991,0.861,0.981,0.949
pneumoniamnist,224,"CONCH,rad-dino",concat,0,1,0.979,0.998,0.942,0.997,0.955
pneumoniamnist,224,"CONCH,UNI",concat,0,1,0.948,0.990,0.888,0.979,0.946
pneumoniamnist,224,"CONCH,Hibou-B",concat,0,1,0.966,0.995,0.827,0.965,0.951
pneumoniamnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.960,0.993,0.891,0.979,0.949
pneumoniamnist,224,"CONCH,CheXagent",concat,0,1,0.990,1.000,0.936,0.991,0.958
pneumoniamnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.979,0.998,0.921,0.997,0.955
pneumoniamnist,224,"PubMedCLIP,UNI",concat,0,1,0.971,0.992,0.878,0.987,0.951
pneumoniamnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.968,0.996,0.849,0.979,0.952
pneumoniamnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.968,0.994,0.888,0.985,0.951
pneumoniamnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.990,1.000,0.933,0.990,0.958
pneumoniamnist,224,"rad-dino,UNI",concat,0,1,0.983,0.998,0.920,0.997,0.956
pneumoniamnist,224,"rad-dino,Hibou-B",concat,0,1,0.990,0.999,0.912,0.993,0.958
pneumoniamnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.977,0.996,0.929,0.998,0.954
pneumoniamnist,224,"rad-dino,CheXagent",concat,0,1,0.994,1.000,0.941,0.996,0.959
pneumoniamnist,224,"UNI,Hibou-B",concat,0,1,0.964,0.994,0.856,0.977,0.950
pneumoniamnist,224,"UNI,Prov-GigaPath",concat,0,1,0.964,0.990,0.893,0.985,0.949
pneumoniamnist,224,"UNI,CheXagent",concat,0,1,0.994,1.000,0.936,0.990,0.959
pneumoniamnist,224,"Hibou-B,Prov-GigaPath",concat,0,1,0.975,0.996,0.870,0.979,0.953
pneumoniamnist,224,"Hibou-B,CheXagent",concat,0,1,0.990,1.000,0.931,0.991,0.958
pneumoniamnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.992,1.000,0.931,0.992,0.958
pneumoniamnist,224,"BioMedCLIP,CONCH,PubMedCLIP",concat,0,1,0.969,0.997,0.878,0.986,0.953
pneumoniamnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.983,0.999,0.934,0.997,0.956
pneumoniamnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.979,0.998,0.896,0.987,0.955
pneumoniamnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.979,0.999,0.889,0.984,0.955
pneumoniamnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.969,0.998,0.909,0.988,0.953
pneumoniamnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.989,1.000,0.928,0.991,0.958
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.989,0.999,0.926,0.997,0.957
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.979,0.998,0.883,0.989,0.955
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",concat,0,1,0.983,0.999,0.891,0.987,0.956
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.975,0.997,0.902,0.989,0.954
pneumoniamnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.996,1.000,0.931,0.991,0.959
pneumoniamnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.987,0.999,0.925,0.996,0.957
pneumoniamnist,224,"BioMedCLIP,rad-dino,Hibou-B",concat,0,1,0.985,0.999,0.918,0.996,0.957
pneumoniamnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.985,0.998,0.928,0.996,0.956
pneumoniamnist,224,"BioMedCLIP,rad-dino,CheXagent",concat,0,1,0.992,1.000,0.938,0.995,0.958
pneumoniamnist,224,"BioMedCLIP,UNI,Hibou-B",concat,0,1,0.985,0.999,0.878,0.987,0.957
pneumoniamnist,224,"BioMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.985,0.998,0.899,0.990,0.956
pneumoniamnist,224,"BioMedCLIP,UNI,CheXagent",concat,0,1,0.989,1.000,0.928,0.992,0.958
pneumoniamnist,224,"BioMedCLIP,Hibou-B,Prov-GigaPath",concat,0,1,0.983,0.998,0.881,0.987,0.956
pneumoniamnist,224,"BioMedCLIP,Hibou-B,CheXagent",concat,0,1,0.992,1.000,0.928,0.992,0.958
