Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
retinamnist,224,BioMedCLIP,concat,0,1,0.533,0.803,0.562,0.801,0.695
retinamnist,224,CONCH,concat,0,1,0.608,0.834,0.580,0.815,0.744
retinamnist,224,PubMedCLIP,concat,0,1,0.567,0.818,0.575,0.805,0.718
retinamnist,224,rad-dino,concat,0,1,0.550,0.808,0.565,0.789,0.705
retinamnist,224,UNI,concat,0,1,0.617,0.863,0.590,0.812,0.765
retinamnist,224,Hibou-B,concat,0,1,0.617,0.856,0.585,0.818,0.760
retinamnist,224,Prov-GigaPath,concat,0,1,0.533,0.825,0.623,0.862,0.709
retinamnist,224,CheXagent,concat,0,1,0.617,0.840,0.657,0.864,0.751
retinamnist,224,"BioMedCLIP,CONCH",concat,0,1,0.642,0.834,0.600,0.825,0.757
retinamnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.617,0.827,0.565,0.803,0.743
retinamnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.575,0.827,0.583,0.807,0.726
retinamnist,224,"BioMedCLIP,UNI",concat,0,1,0.600,0.842,0.613,0.825,0.745
retinamnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.583,0.852,0.600,0.830,0.745
retinamnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.575,0.822,0.635,0.847,0.723
retinamnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.600,0.831,0.632,0.855,0.739
retinamnist,224,"CONCH,PubMedCLIP",concat,0,1,0.583,0.835,0.600,0.824,0.734
retinamnist,224,"CONCH,rad-dino",concat,0,1,0.633,0.845,0.610,0.823,0.760
retinamnist,224,"CONCH,UNI",concat,0,1,0.642,0.864,0.615,0.837,0.775
retinamnist,224,"CONCH,Hibou-B",concat,0,1,0.625,0.851,0.598,0.822,0.760
retinamnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.583,0.834,0.640,0.865,0.734
retinamnist,224,"CONCH,CheXagent",concat,0,1,0.625,0.841,0.640,0.863,0.755
retinamnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.600,0.843,0.560,0.808,0.746
retinamnist,224,"PubMedCLIP,UNI",concat,0,1,0.592,0.844,0.585,0.821,0.743
retinamnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.633,0.860,0.590,0.813,0.770
retinamnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.583,0.843,0.620,0.853,0.739
retinamnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.592,0.834,0.647,0.860,0.737
retinamnist,224,"rad-dino,UNI",concat,0,1,0.658,0.855,0.595,0.817,0.777
retinamnist,224,"rad-dino,Hibou-B",concat,0,1,0.600,0.865,0.600,0.822,0.759
retinamnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.567,0.815,0.623,0.848,0.716
retinamnist,224,"rad-dino,CheXagent",concat,0,1,0.575,0.841,0.615,0.853,0.734
retinamnist,224,"UNI,Hibou-B",concat,0,1,0.617,0.850,0.605,0.821,0.757
retinamnist,224,"UNI,Prov-GigaPath",concat,0,1,0.633,0.866,0.637,0.849,0.773
retinamnist,224,"UNI,CheXagent",concat,0,1,0.600,0.854,0.627,0.856,0.752
retinamnist,224,"Hibou-B,Prov-GigaPath",concat,0,1,0.567,0.841,0.620,0.852,0.731
retinamnist,224,"Hibou-B,CheXagent",concat,0,1,0.608,0.845,0.647,0.856,0.750
retinamnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.583,0.834,0.635,0.866,0.734
retinamnist,224,"BioMedCLIP,CONCH,PubMedCLIP",concat,0,1,0.600,0.832,0.570,0.829,0.739
retinamnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.617,0.834,0.605,0.831,0.747
retinamnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.667,0.865,0.627,0.842,0.786
retinamnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.617,0.848,0.595,0.837,0.756
