Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
tissuemnist,224,BioMedCLIP,concat,0,1,0.573,0.873,0.569,0.873,0.753
tissuemnist,224,CONCH,concat,0,1,0.549,0.855,0.550,0.856,0.733
tissuemnist,224,PubMedCLIP,concat,0,1,0.577,0.874,0.577,0.875,0.756
tissuemnist,224,rad-dino,concat,0,1,0.555,0.864,0.553,0.862,0.740
tissuemnist,224,UNI,concat,0,1,0.602,0.890,0.599,0.890,0.775
tissuemnist,224,Hibou-B,concat,0,1,0.641,0.910,0.637,0.910,0.800
tissuemnist,224,Prov-GigaPath,concat,0,1,0.612,0.895,0.609,0.897,0.782
tissuemnist,224,CheXagent,concat,0,1,0.631,0.908,0.633,0.907,0.796
tissuemnist,224,"BioMedCLIP,CONCH",concat,0,1,0.596,0.885,0.591,0.887,0.770
tissuemnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.601,0.888,0.598,0.889,0.774
tissuemnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.597,0.887,0.592,0.886,0.771
tissuemnist,224,"BioMedCLIP,UNI",concat,0,1,0.617,0.898,0.613,0.898,0.786
tissuemnist,224,"BioMedCLIP,Hibou-B",concat,0,1,0.646,0.912,0.643,0.912,0.803
tissuemnist,224,"BioMedCLIP,Prov-GigaPath",concat,0,1,0.628,0.903,0.624,0.905,0.792
tissuemnist,224,"BioMedCLIP,CheXagent",concat,0,1,0.641,0.910,0.638,0.909,0.800
tissuemnist,224,"CONCH,PubMedCLIP",concat,0,1,0.601,0.888,0.599,0.889,0.773
tissuemnist,224,"CONCH,rad-dino",concat,0,1,0.583,0.879,0.581,0.879,0.761
tissuemnist,224,"CONCH,UNI",concat,0,1,0.615,0.895,0.611,0.896,0.783
tissuemnist,224,"CONCH,Hibou-B",concat,0,1,0.647,0.912,0.642,0.912,0.803
tissuemnist,224,"CONCH,Prov-GigaPath",concat,0,1,0.633,0.905,0.631,0.907,0.795
tissuemnist,224,"CONCH,CheXagent",concat,0,1,0.639,0.911,0.642,0.910,0.800
tissuemnist,224,"PubMedCLIP,rad-dino",concat,0,1,0.598,0.887,0.596,0.887,0.771
tissuemnist,224,"PubMedCLIP,UNI",concat,0,1,0.615,0.896,0.610,0.897,0.784
tissuemnist,224,"PubMedCLIP,Hibou-B",concat,0,1,0.644,0.911,0.640,0.912,0.802
tissuemnist,224,"PubMedCLIP,Prov-GigaPath",concat,0,1,0.621,0.902,0.623,0.904,0.789
tissuemnist,224,"PubMedCLIP,CheXagent",concat,0,1,0.638,0.910,0.638,0.909,0.799
tissuemnist,224,"rad-dino,UNI",concat,0,1,0.613,0.896,0.608,0.894,0.783
tissuemnist,224,"rad-dino,Hibou-B",concat,0,1,0.643,0.911,0.640,0.911,0.801
tissuemnist,224,"rad-dino,Prov-GigaPath",concat,0,1,0.624,0.903,0.623,0.905,0.791
tissuemnist,224,"rad-dino,CheXagent",concat,0,1,0.638,0.911,0.637,0.910,0.800
tissuemnist,224,"UNI,Hibou-B",concat,0,1,0.643,0.911,0.639,0.911,0.802
tissuemnist,224,"UNI,Prov-GigaPath",concat,0,1,0.635,0.908,0.635,0.910,0.797
tissuemnist,224,"UNI,CheXagent",concat,0,1,0.646,0.913,0.646,0.912,0.804
tissuemnist,224,"Hibou-B,Prov-GigaPath",concat,0,1,0.658,0.918,0.658,0.920,0.811
tissuemnist,224,"Hibou-B,CheXagent",concat,0,1,0.661,0.920,0.662,0.920,0.813
tissuemnist,224,"Prov-GigaPath,CheXagent",concat,0,1,0.646,0.914,0.648,0.914,0.804
tissuemnist,224,"BioMedCLIP,CONCH,PubMedCLIP",concat,0,1,0.613,0.895,0.610,0.896,0.782
tissuemnist,224,"BioMedCLIP,CONCH,rad-dino",concat,0,1,0.610,0.894,0.603,0.893,0.780
tissuemnist,224,"BioMedCLIP,CONCH,UNI",concat,0,1,0.626,0.901,0.619,0.901,0.791
tissuemnist,224,"BioMedCLIP,CONCH,Hibou-B",concat,0,1,0.650,0.913,0.645,0.914,0.805
tissuemnist,224,"BioMedCLIP,CONCH,Prov-GigaPath",concat,0,1,0.639,0.908,0.634,0.910,0.799
tissuemnist,224,"BioMedCLIP,CONCH,CheXagent",concat,0,1,0.644,0.912,0.643,0.911,0.803
tissuemnist,224,"BioMedCLIP,PubMedCLIP,rad-dino",concat,0,1,0.613,0.895,0.608,0.895,0.782
tissuemnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.624,0.901,0.620,0.901,0.790
tissuemnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B",concat,0,1,0.647,0.913,0.645,0.913,0.804
tissuemnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath",concat,0,1,0.633,0.906,0.633,0.909,0.796
tissuemnist,224,"BioMedCLIP,PubMedCLIP,CheXagent",concat,0,1,0.641,0.911,0.641,0.911,0.801
