Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
bloodmnist,28,BioMedCLIP,concat,0,1,0.882,0.986,0.850,0.981
bloodmnist,28,rad-dino,concat,0,1,0.782,0.966,0.765,0.964
bloodmnist,28,PubMedCLIP,concat,0,1,0.857,0.984,0.850,0.981
bloodmnist,28,"BioMedCLIP,rad-dino",concat,0,1,0.883,0.990,0.869,0.986
bloodmnist,28,"BioMedCLIP,PubMedCLIP",concat,0,1,0.890,0.990,0.871,0.987
bloodmnist,28,"rad-dino,PubMedCLIP",concat,0,1,0.878,0.988,0.863,0.985
bloodmnist,28,"BioMedCLIP,rad-dino,PubMedCLIP",concat,0,1,0.895,0.991,0.885,0.988
bloodmnist,28,CONCH,concat,0,1,0.913,0.993,0.909,0.993
bloodmnist,28,Prov-GigaPath,concat,0,1,0.922,0.994,0.901,0.991
bloodmnist,28,Hibou-B,concat,0,1,0.939,0.996,0.924,0.995
bloodmnist,28,UNI,concat,0,1,0.906,0.992,0.900,0.991
bloodmnist,28,"BioMedCLIP,UNI",concat,0,1,0.919,0.994,0.898,0.992
bloodmnist,28,"rad-dino,UNI",concat,0,1,0.907,0.992,0.902,0.991
bloodmnist,28,"PubMedCLIP,UNI",concat,0,1,0.907,0.993,0.901,0.992
bloodmnist,28,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.921,0.995,0.908,0.992
bloodmnist,28,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.916,0.995,0.907,0.992
bloodmnist,28,"rad-dino,PubMedCLIP,UNI",concat,0,1,0.910,0.993,0.902,0.992
bloodmnist,28,"BioMedCLIP,rad-dino,PubMedCLIP,UNI",concat,0,1,0.919,0.995,0.909,0.993
