Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
chestmnist,28,BioMedCLIP,concat,0,1,0.948,0.676,0.946,0.669
chestmnist,28,rad-dino,concat,0,1,0.948,0.754,0.946,0.747
chestmnist,28,PubMedCLIP,concat,0,1,0.948,0.664,0.946,0.651
chestmnist,28,"BioMedCLIP,rad-dino",concat,0,1,0.948,0.748,0.946,0.750
chestmnist,28,"BioMedCLIP,PubMedCLIP",concat,0,1,0.947,0.684,0.946,0.680
chestmnist,28,"rad-dino,PubMedCLIP",concat,0,1,0.947,0.750,0.946,0.752
chestmnist,28,"BioMedCLIP,rad-dino,PubMedCLIP",concat,0,1,0.948,0.757,0.946,0.751
chestmnist,28,CONCH,concat,0,1,0.948,0.657,0.946,0.657
chestmnist,28,Prov-GigaPath,concat,0,1,0.947,0.684,0.946,0.680
chestmnist,28,Hibou-B,concat,0,1,0.948,0.662,0.946,0.660
chestmnist,28,UNI,concat,0,1,0.948,0.658,0.946,0.653
chestmnist,28,"BioMedCLIP,UNI",concat,0,1,0.948,0.685,0.946,0.677
chestmnist,28,"rad-dino,UNI",concat,0,1,0.948,0.751,0.946,0.751
chestmnist,28,"PubMedCLIP,UNI",concat,0,1,0.947,0.675,0.946,0.662
chestmnist,28,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.948,0.752,0.946,0.747
chestmnist,28,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.947,0.686,0.946,0.683
chestmnist,28,"rad-dino,PubMedCLIP,UNI",concat,0,1,0.948,0.750,0.946,0.745
chestmnist,28,"BioMedCLIP,rad-dino,PubMedCLIP,UNI",concat,0,1,0.948,0.753,0.946,0.744
