Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
octmnist,224,BioMedCLIP,concat,0,1,0.908,0.972,0.736,0.973
octmnist,224,rad-dino,concat,0,1,0.915,0.975,0.671,0.963
octmnist,224,PubMedCLIP,concat,0,1,0.913,0.977,0.727,0.977
octmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.927,0.982,0.741,0.979
octmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.930,0.982,0.791,0.986
octmnist,224,"rad-dino,PubMedCLIP",concat,0,1,0.928,0.983,0.771,0.981
octmnist,224,"BioMedCLIP,rad-dino,PubMedCLIP",concat,0,1,0.936,0.985,0.784,0.985
octmnist,224,CONCH,concat,0,1,0.897,0.968,0.672,0.953
octmnist,224,Prov-GigaPath,concat,0,1,0.921,0.982,0.741,0.985
octmnist,224,Hibou-B,concat,0,1,0.906,0.973,0.652,0.968
octmnist,224,UNI,concat,0,1,0.927,0.982,0.739,0.981
octmnist,224,"BioMedCLIP,UNI",concat,0,1,0.934,0.985,0.768,0.986
octmnist,224,"rad-dino,UNI",concat,0,1,0.933,0.985,0.777,0.982
octmnist,224,"PubMedCLIP,UNI",concat,0,1,0.933,0.986,0.770,0.986
octmnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.939,0.987,0.791,0.987
octmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.938,0.987,0.796,0.990
octmnist,224,"rad-dino,PubMedCLIP,UNI",concat,0,1,0.937,0.987,0.810,0.986
octmnist,224,"BioMedCLIP,rad-dino,PubMedCLIP,UNI",concat,0,1,0.939,0.988,0.812,0.990
