Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
organamnist,224,BioMedCLIP,concat,0,1,0.939,0.998,0.860,0.989
organamnist,224,rad-dino,concat,0,1,0.923,0.997,0.854,0.987
organamnist,224,PubMedCLIP,concat,0,1,0.947,0.998,0.893,0.993
organamnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.958,0.999,0.893,0.993
organamnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.966,0.999,0.904,0.994
organamnist,224,"rad-dino,PubMedCLIP",concat,0,1,0.960,0.999,0.899,0.993
organamnist,224,"BioMedCLIP,rad-dino,PubMedCLIP",concat,0,1,0.971,0.999,0.909,0.995
organamnist,224,CONCH,concat,0,1,0.829,0.989,0.786,0.981
organamnist,224,Prov-GigaPath,concat,0,1,0.941,0.998,0.855,0.988
organamnist,224,Hibou-B,concat,0,1,0.890,0.995,0.844,0.987
organamnist,224,UNI,concat,0,1,0.884,0.994,0.849,0.988
organamnist,224,"BioMedCLIP,UNI",concat,0,1,0.943,0.998,0.894,0.993
organamnist,224,"rad-dino,UNI",concat,0,1,0.937,0.998,0.888,0.992
organamnist,224,"PubMedCLIP,UNI",concat,0,1,0.942,0.999,0.902,0.993
organamnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.956,0.999,0.901,0.993
organamnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.962,0.999,0.912,0.995
organamnist,224,"rad-dino,PubMedCLIP,UNI",concat,0,1,0.957,0.999,0.905,0.994
organamnist,224,"BioMedCLIP,rad-dino,PubMedCLIP,UNI",concat,0,1,0.965,0.999,0.913,0.995
organamnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI,BioMedCLIP,rad-dino",concat,1024,100,0.979,1.000,0.932,0.997
organamnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI,BioMedCLIP,rad-dino",concat,2048,100,0.978,1.000,0.932,0.997
organamnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI,BioMedCLIP,rad-dino",ifusion,1024,100,0.977,1.000,0.929,0.996
