Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
pathmnist,28,BioMedCLIP,concat,0,1,0.919,0.995,0.877,0.988
pathmnist,28,rad-dino,concat,0,1,0.813,0.977,0.799,0.970
pathmnist,28,PubMedCLIP,concat,0,1,0.909,0.994,0.880,0.987
pathmnist,28,"BioMedCLIP,rad-dino",concat,0,1,0.926,0.996,0.899,0.990
pathmnist,28,"BioMedCLIP,PubMedCLIP",concat,0,1,0.938,0.997,0.897,0.991
pathmnist,28,"rad-dino,PubMedCLIP",concat,0,1,0.916,0.995,0.886,0.988
pathmnist,28,"BioMedCLIP,rad-dino,PubMedCLIP",concat,0,1,0.940,0.997,0.908,0.991
pathmnist,28,CONCH,concat,0,1,0.958,0.998,0.898,0.989
pathmnist,28,Prov-GigaPath,concat,0,1,0.938,0.997,0.909,0.993
pathmnist,28,Hibou-B,concat,0,1,0.985,1.000,0.942,0.996
pathmnist,28,UNI,concat,0,1,0.987,1.000,0.941,0.996
pathmnist,28,"BioMedCLIP,UNI",concat,0,1,0.986,1.000,0.939,0.996
pathmnist,28,"rad-dino,UNI",concat,0,1,0.986,1.000,0.939,0.996
pathmnist,28,"PubMedCLIP,UNI",concat,0,1,0.986,1.000,0.943,0.996
pathmnist,28,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.986,1.000,0.941,0.996
pathmnist,28,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.985,1.000,0.942,0.996
pathmnist,28,"rad-dino,PubMedCLIP,UNI",concat,0,1,0.986,1.000,0.943,0.996
pathmnist,28,"BioMedCLIP,rad-dino,PubMedCLIP,UNI",concat,0,1,0.985,1.000,0.941,0.996
